block_key	block_id	chrom	start	end	length_bp	n_positions	n_variant_alleles	n_scored	n_missing_avi	avi_max	avi_top10_mean	avi_top1_count	avi_top1_fraction	avi_top1_per_kb	avi_top1_mean	avi_mean	chr	block	block_length	n_haplotypes	n_clusters	max_cluster_size	singleton_count	dominance	shannon_entropy
chr10:100796471-100836361	chr10_100796471_100836361	chr10	100796471.0	100836361.0	39890.0	39890.0	119670.0	119670.0	0.0	49.60188	46.004137	6058.0	0.050622545	151.86764	22.483568	7.0612735	chr10	chr10_100796471-100836361	39890	5096	90	3422	47	0.671507	1.9838
chr10:100836361-100861550	chr10_100836361_100861550	chr10	100836361.0	100861550.0	25189.0	25189.0	75567.0	75567.0	0.0	23.10251	22.633308	651.0	0.0086148716	25.844615	21.077709	4.1775685	chr10	chr10_100836361-100861550	25189	5096	159	3333	69	0.654042	2.55651
chr10:100861550-100881934	chr10_100861550_100881934	chr10	100861550.0	100881934.0	20384.0	20384.0	61152.0	61152.0	0.0	26.51337	26.438918	2714.0	0.044381214	133.14364	21.461015	6.4708799	chr10	chr10_100861550-100881934	20384	5096	19	2602	11	0.510597	1.17155
chr10:100881934-101015191	chr10_100881934_101015191	chr10	100881934.0	101015191.0	133257.0	133257.0	399771.0	399771.0	0.0	65.12953	57.056367	27023.0	0.067596199	202.7886	24.376022	7.6217453	chr10	chr10_100881934-101015191	133257	5096	816	1741	633	0.341641	4.55105
chr10:101015191-101032154	chr10_101015191_101032154	chr10	101015191.0	101032154.0	16963.0	16963.0	50889.0	50889.0	0.0	54.83246	50.337707	3735.0	0.073395036	220.18511	24.694378	7.095226	chr10	chr10_101015191-101032154	16963	5096	240	1851	140	0.363226	3.32223
chr10:101032154-101063667	chr10_101032154_101063667	chr10	101032154.0	101063667.0	31513.0	31513.0	94539.0	94539.0	0.0	49.1661	45.452969	4032.0	0.042649065	127.9472	25.041514	6.4016146	chr10	chr10_101032154-101063667	31513	5096	120	1763	61	0.345958	2.9955
chr10:101063667-101138672	chr10_101063667_101138672	chr10	101063667.0	101138672.0	75005.0	75005.0	225015.0	225015.0	0.0	57.67873	48.995294	6848.0	0.030433527	91.30058	23.410468	5.6371145	chr10	chr10_101063667-101138672	75005	5096	481	2252	314	0.441915	4.30149
chr10:101138672-101198485	chr10_101138672_101198485	chr10	101138672.0	101198485.0	59813.0	59813.0	179439.0	179439.0	0.0	27.90656	25.951501	311.0	0.0017331795	5.1995386	21.4373	3.7748762	chr10	chr10_101138672-101198485	59813	5096	241	3971	151	0.779239	1.95528
chr10:10117755-10136504	chr10_10117755_10136504	chr10	10117755.0	10136504.0	18749.0	18749.0	56247.0	56247.0	0.0	22.00344	21.401829	29.0	0.00051558305	1.5467492	20.735438	3.7008959	chr10	chr10_10117755-10136504	18749	5096	11	3003	2	0.589286	1.77931
chr10:101198485-101260127	chr10_101198485_101260127	chr10	101198485.0	101260127.0	61642.0	61642.0	184926.0	184926.0	0.0	42.09937	39.502897	6015.0	0.032526524	97.579572	22.677359	5.5926117	chr10	chr10_101198485-101260127	61642	5096	373	1676	241	0.328885	4.11667
chr10:101260127-101287301	chr10_101260127_101287301	chr10	101260127.0	101287301.0	27174.0	27174.0	81522.0	81522.0	0.0	33.40182	27.430633	1826.0	0.022398862	67.196585	21.489651	5.2907943	chr10	chr10_101260127-101287301	27174	5096	367	1859	206	0.364796	4.58339
chr10:101287301-101323082	chr10_101287301_101323082	chr10	101287301.0	101323082.0	35781.0	35781.0	107343.0	107343.0	0.0	25.41312	24.956507	3794.0	0.035344643	106.03393	21.440271	6.0918956	chr10	chr10_101287301-101323082	35781	5096	138	1988	83	0.39011	2.77427
chr10:101323082-101578251	chr10_101323082_101578251	chr10	101323082.0	101578251.0	255169.0	255169.0	765507.0	765507.0	0.0	56.71309	53.557624	18339.0	0.023956672	71.870016	22.866388	6.4650895	chr10	chr10_101323082-101578251	255169	5096	472	3768	452	0.739403	2.1729
chr10:10136504-10146864	chr10_10136504_10146864	chr10	10136504.0	10146864.0	10360.0	10360.0	31080.0	31080.0	0.0	21.09471	21.014054	22.0	0.00070785071	2.1235521	20.717111	3.073096	chr10	chr10_10136504-10146864	10360	5096	170	723	88	0.141876	4.38142
chr10:10146864-10207433	chr10_10146864_10207433	chr10	10146864.0	10207433.0	60569.0	60569.0	181707.0	181707.0	0.0	23.33176	22.715115	250.0	0.0013758413	4.127524	21.107255	3.4314514	chr10	chr10_10146864-10207433	60569	5096	653	1828	430	0.358713	5.23173
chr10:101578251-101733469	chr10_101578251_101733469	chr10	101578251.0	101733469.0	155218.0	155218.0	465654.0	465654.0	0.0	69.13716	55.179919	16829.0	0.036140568	108.4217	23.227307	6.769874	chr10	chr10_101578251-101733469	155218	5096	874	2057	628	0.40365	5.41908
chr10:101733469-102078740	chr10_101733469_102078740	chr10	101733469.0	102078740.0	345271.0	345271.0	1035813.0	1035813.0	0.0	86.19288	62.872661	30905.0	0.029836467	89.5094	24.547938	6.2815514	chr10	chr10_101733469-102078740	345271	5096	1076	1418	831	0.278257	5.53445
chr10:10207433-10268699	chr10_10207433_10268699	chr10	10207433.0	10268699.0	61266.0	61266.0	183798.0	183798.0	0.0	24.30523	23.006677	97.0	0.00052775329	1.5832599	20.945398	3.171812	chr10	chr10_10207433-10268699	61266	5096	10	4997	6	0.980573	0.15413
chr10:102078740-102176867	chr10_102078740_102176867	chr10	102078740.0	102176867.0	98127.0	98127.0	294381.0	294381.0	0.0	58.96872	55.331809	16342.0	0.055513094	166.53928	24.863482	6.5907675	chr10	chr10_102078740-102176867	98127	5096	267	1564	182	0.306907	3.74326
chr10:102176867-102392676	chr10_102176867_102392676	chr10	102176867.0	102392676.0	215809.0	215809.0	647427.0	647427.0	0.0	62.76269	57.353313	21377.0	0.033018394	99.055183	24.837633	6.4777952	chr10	chr10_102176867-102392676	215809	5096	305	2936	232	0.576138	2.24632
chr10:102392676-102451301	chr10_102392676_102451301	chr10	102392676.0	102451301.0	58625.0	58625.0	175875.0	175875.0	0.0	70.00637	58.565205	19423.0	0.11043639	331.30917	24.879281	8.5716744	chr10	chr10_102392676-102451301	58625	5096	65	4482	44	0.879513	0.938922
chr10:102451301-102689256	chr10_102451301_102689256	chr10	102451301.0	102689256.0	237955.0	237955.0	713865.0	713865.0	0.0	64.78252	59.963813	24053.0	0.033694046	101.08214	24.299685	6.6577954	chr10	chr10_102451301-102689256	237955	5096	151	3278	142	0.64325	1.3426
chr10:10268699-10360177	chr10_10268699_10360177	chr10	10268699.0	10360177.0	91478.0	91478.0	274434.0	274434.0	0.0	23.71722	22.967954	291.0	0.0010603642	3.1810927	20.896333	3.6675019	chr10	chr10_10268699-10360177	91478	5096	25	4158	13	0.815934	0.982636
chr10:102689256-102784131	chr10_102689256_102784131	chr10	102689256.0	102784131.0	94875.0	94875.0	284625.0	284625.0	0.0	56.16741	50.798746	5464.0	0.019197189	57.591568	24.500251	6.1142663	chr10	chr10_102689256-102784131	94875	5096	2	3133	0	0.614796	0.961635
chr10:102784131-103204136	chr10_102784131_103204136	chr10	102784131.0	103204136.0	420005.0	420005.0	1260015.0	1260015.0	0.0	68.46479	59.972663	24860.0	0.019729924	59.189772	24.885956	5.5740936	chr10	chr10_102784131-103204136	420005	5096	52	2833	41	0.555926	1.92067
chr10:103204136-103455175	chr10_103204136_103455175	chr10	103204136.0	103455175.0	251039.0	251039.0	753117.0	753117.0	0.0	59.44253	56.217656	24923.0	0.033093132	99.279395	25.127897	5.4573591	chr10	chr10_103204136-103455175	251039	5096	5	2803	1	0.550039	1.018
chr10:103455175-103486224	chr10_103455175_103486224	chr10	103455175.0	103486224.0	31049.0	31049.0	93147.0	93147.0	0.0	48.89837	42.864802	4007.0	0.043018025	129.05408	24.697	5.4427091	chr10	chr10_103455175-103486224	31049	5096	27	4250	14	0.833987	0.791319
chr10:103486224-103533831	chr10_103486224_103533831	chr10	103486224.0	103533831.0	47607.0	47607.0	142821.0	142821.0	0.0	37.41917	35.668055	1146.0	0.0080240301	24.07209	22.107441	5.2625583	chr10	chr10_103486224-103533831	47607	5096	134	2694	76	0.52865	2.48636
chr10:103533831-103562616	chr10_103533831_103562616	chr10	103533831.0	103562616.0	28785.0	28785.0	86355.0	86355.0	0.0	36.25199	32.893799	858.0	0.0099357304	29.807191	22.045033	5.3341063	chr10	chr10_103533831-103562616	28785	5096	33	2799	12	0.549254	2.12465
chr10:103562616-103700830	chr10_103562616_103700830	chr10	103562616.0	103700830.0	138214.0	138214.0	414642.0	414642.0	0.0	61.86208	53.558624	13617.0	0.032840378	98.521134	24.059244	6.2681341	chr10	chr10_103562616-103700830	138214	5096	1111	2651	821	0.520212	5.06838
chr10:10360177-10425972	chr10_10360177_10425972	chr10	10360177.0	10425972.0	65795.0	65795.0	197385.0	197385.0	0.0	24.5556	24.211098	782.0	0.0039618005	11.885402	21.263947	3.6642082	chr10	chr10_10360177-10425972	65795	5096	359	4034	247	0.791601	2.18562
chr10:103700830-103717454	chr10_103700830_103717454	chr10	103700830.0	103717454.0	16624.0	16624.0	49872.0	49872.0	0.0	28.99184	27.367589	180.0	0.0036092397	10.827719	22.234411	4.3404106	chr10	chr10_103700830-103717454	16624	5096	76	3230	37	0.63383	1.94967
chr10:103717454-103797933	chr10_103717454_103797933	chr10	103717454.0	103797933.0	80479.0	80479.0	241437.0	241437.0	0.0	49.94633	44.345561	2700.0	0.011183042	33.549125	23.012054	5.6153408	chr10	chr10_103717454-103797933	80479	5096	984	900	671	0.176609	6.73368
chr10:103797933-103822548	chr10_103797933_103822548	chr10	103797933.0	103822548.0	24615.0	24615.0	73845.0	73845.0	0.0	43.53944	38.761262	1187.0	0.016074209	48.222628	22.697962	5.7465423	chr10	chr10_103797933-103822548	24615	5096	2	2978	0	0.58438	0.979357
chr10:103822548-103934886	chr10_103822548_103934886	chr10	103822548.0	103934886.0	112338.0	112338.0	337014.0	337014.0	0.0	56.01121	47.298397	4889.0	0.014506816	43.520447	23.221973	5.9925547	chr10	chr10_103822548-103934886	112338	5096	4	3077	1	0.603807	0.98432
chr10:103934886-104045552	chr10_103934886_104045552	chr10	103934886.0	104045552.0	110666.0	110666.0	331998.0	331998.0	0.0	62.81423	58.026422	11406.0	0.034355629	103.06689	26.07119	6.2544144	chr10	chr10_103934886-104045552	110666	5096	532	3258	438	0.639325	2.57059
chr10:104045552-104167148	chr10_104045552_104167148	chr10	104045552.0	104167148.0	121596.0	121596.0	364788.0	364788.0	0.0	68.13991	62.902004	10648.0	0.029189557	87.56867	25.338912	5.7138806	chr10	chr10_104045552-104167148	121596	5096	7	3490	2	0.684851	1.26599
chr10:104167148-104242542	chr10_104167148_104242542	chr10	104167148.0	104242542.0	75394.0	75394.0	226182.0	226182.0	0.0	62.81423	53.309377	4550.0	0.020116543	60.34963	25.443719	5.1960505	chr10	chr10_104167148-104242542	75394	5096	11	2526	3	0.495683	2.30111
chr10:104242542-104327754	chr10_104242542_104327754	chr10	104242542.0	104327754.0	85212.0	85212.0	255636.0	255636.0	0.0	60.13408	52.653037	6605.0	0.025837519	77.512557	24.56624	6.0508071	chr10	chr10_104242542-104327754	85212	5096	76	3199	42	0.627747	2.09837
chr10:10425972-10500550	chr10_10425972_10500550	chr10	10425972.0	10500550.0	74578.0	74578.0	223734.0	223734.0	0.0	30.29426	26.649326	716.0	0.0032002288	9.6006865	21.514936	3.7439161	chr10	chr10_10425972-10500550	74578	5096	33	3446	16	0.676217	1.49109
chr10:104327754-104379323	chr10_104327754_104379323	chr10	104327754.0	104379323.0	51569.0	51569.0	154707.0	154707.0	0.0	56.47688	49.824808	3252.0	0.02102038	63.061141	24.218865	5.9016493	chr10	chr10_104327754-104379323	51569	5096	412	2624	253	0.514914	3.76506
chr10:104379323-104447693	chr10_104379323_104447693	chr10	104379323.0	104447693.0	68370.0	68370.0	205110.0	205110.0	0.0	52.39043	47.525613	3372.0	0.016439959	49.319877	23.640488	5.8314342	chr10	chr10_104379323-104447693	68370	5096	15	2339	4	0.458987	2.0562
chr10:104447693-104486315	chr10_104447693_104486315	chr10	104447693.0	104486315.0	38622.0	38622.0	115866.0	115866.0	0.0	52.43854	45.640882	1189.0	0.010261854	30.785563	23.407471	5.2586761	chr10	chr10_104447693-104486315	38622	5096	200	1192	101	0.233909	4.0593
chr10:104486315-104519545	chr10_104486315_104519545	chr10	104486315.0	104519545.0	33230.0	33230.0	99690.0	99690.0	0.0	22.78861	22.334149	96.0	0.00096298525	2.8889558	20.90269	3.8196442	chr10	chr10_104486315-104519545	33230	5096	3	2398	0	0.470565	1.51176
chr10:104519545-104567227	chr10_104519545_104567227	chr10	104519545.0	104567227.0	47682.0	47682.0	143046.0	143046.0	0.0	24.57897	23.881889	361.0	0.0025236637	7.5709911	21.318177	3.7216791	chr10	chr10_104519545-104567227	47682	5096	318	1154	172	0.226452	4.52529
chr10:104567227-104624857	chr10_104567227_104624857	chr10	104567227.0	104624857.0	57630.0	57630.0	172890.0	172890.0	0.0	25.10935	24.217913	375.0	0.0021690092	6.5070276	21.214119	4.1472207	chr10	chr10_104567227-104624857	57630	5096	241	3561	134	0.698783	2.38617
chr10:104624857-104694074	chr10_104624857_104694074	chr10	104624857.0	104694074.0	69217.0	69217.0	207651.0	207651.0	0.0	41.82502	38.274804	1143.0	0.0055044281	16.513284	22.840701	4.2759254	chr10	chr10_104624857-104694074	69217	5096	335	1614	192	0.316719	3.99661
chr10:104694074-104798267	chr10_104694074_104798267	chr10	104694074.0	104798267.0	104193.0	104193.0	312579.0	312579.0	0.0	25.5735	24.867295	890.0	0.0028472802	8.5418406	21.216067	4.6056379	chr10	chr10_104694074-104798267	104193	5096	38	1803	27	0.353807	1.76409
chr10:104798267-105012134	chr10_104798267_105012134	chr10	104798267.0	105012134.0	213867.0	213867.0	641601.0	641601.0	0.0	54.40649	46.949801	2050.0	0.0031951322	9.5853965	23.130852	4.5212273	chr10	chr10_104798267-105012134	213867	5096	51	2430	30	0.476845	2.25492
chr10:10500550-10536232	chr10_10500550_10536232	chr10	10500550.0	10536232.0	35682.0	35682.0	107046.0	107046.0	0.0	24.35209	23.84126	508.0	0.0047456234	14.23687	21.282245	4.3305504	chr10	chr10_10500550-10536232	35682	5096	479	2012	270	0.394819	4.70834
chr10:105012134-105072493	chr10_105012134_105072493	chr10	105012134.0	105072493.0	60359.0	60359.0	181077.0	181077.0	0.0	52.1036	42.025304	711.0	0.0039265064	11.779519	22.981101	4.4759969	chr10	chr10_105012134-105072493	60359	5096	55	2429	29	0.476648	2.45336
chr10:105072493-105161855	chr10_105072493_105161855	chr10	105072493.0	105161855.0	89362.0	89362.0	268086.0	268086.0	0.0	50.40919	46.487171	2081.0	0.0077624344	23.287303	24.849137	4.4631231	chr10	chr10_105072493-105161855	89362	5096	12	2604	2	0.510989	2.02294
chr10:105161855-105278963	chr10_105161855_105278963	chr10	105161855.0	105278963.0	117108.0	117108.0	351324.0	351324.0	0.0	58.84612	52.62421	5247.0	0.014934932	44.804796	24.973093	4.5510198	chr10	chr10_105161855-105278963	117108	5096	280	2803	163	0.550039	3.34347
chr10:105278963-105491086	chr10_105278963_105491086	chr10	105278963.0	105491086.0	212123.0	212123.0	636369.0	636369.0	0.0	23.67602	23.280717	466.0	0.00073227954	2.1968386	21.074982	3.3173895	chr10	chr10_105278963-105491086	212123	5096	346	3508	284	0.688383	2.18827
chr10:10536232-10546358	chr10_10536232_10546358	chr10	10536232.0	10546358.0	10126.0	10126.0	30378.0	30378.0	0.0	21.38212	21.004672	26.0	0.00085588255	2.5676476	20.728444	4.1140749	chr10	chr10_10536232-10546358	10126	5096	54	3244	35	0.636578	1.84042
chr10:10546358-10588161	chr10_10546358_10588161	chr10	10546358.0	10588161.0	41803.0	41803.0	125409.0	125409.0	0.0	24.60819	24.255474	239.0	0.0019057643	5.717293	21.384943	3.9082447	chr10	chr10_10546358-10588161	41803	5096	79	2559	40	0.502159	2.17464
chr10:105491086-105599632	chr10_105491086_105599632	chr10	105491086.0	105599632.0	108546.0	108546.0	325638.0	325638.0	0.0	24.06617	22.279786	151.0	0.0004637051	1.3911153	20.955643	3.5745579	chr10	chr10_105491086-105599632	108546	5096	86	2640	61	0.518053	2.03762
chr10:105599632-105711320	chr10_105599632_105711320	chr10	105599632.0	105711320.0	111688.0	111688.0	335064.0	335064.0	0.0	25.30057	25.28081	349.0	0.0010415921	3.1247762	21.28969	3.8333663	chr10	chr10_105599632-105711320	111688	5096	2	4381	0	0.859694	0.58504
chr10:105711320-105808394	chr10_105711320_105808394	chr10	105711320.0	105808394.0	97074.0	97074.0	291222.0	291222.0	0.0	24.14712	23.976188	220.0	0.00075543743	2.2663123	21.138981	3.6479837	chr10	chr10_105711320-105808394	97074	5096	172	4007	115	0.786303	1.71605
chr10:105808394-105919960	chr10_105808394_105919960	chr10	105808394.0	105919960.0	111566.0	111566.0	334698.0	334698.0	0.0	23.73937	23.623634	291.0	0.00086944051	2.6083215	21.203824	3.3611803	chr10	chr10_105808394-105919960	111566	5096	453	2135	291	0.418956	3.85045
chr10:10588161-10616593	chr10_10588161_10616593	chr10	10588161.0	10616593.0	28432.0	28432.0	85296.0	85296.0	0.0	24.4337	24.123976	589.0	0.0069053648	20.716095	21.207762	4.7850536	chr10	chr10_10588161-10616593	28432	5096	217	1265	138	0.248234	4.05672
chr10:105919960-106021093	chr10_105919960_106021093	chr10	105919960.0	106021093.0	101133.0	101133.0	303399.0	303399.0	0.0	24.42786	24.233203	235.0	0.0007745576	2.3236728	21.326368	3.4614364	chr10	chr10_105919960-106021093	101133	5096	196	3410	133	0.669152	2.34186
chr10:106021093-106109168	chr10_106021093_106109168	chr10	106021093.0	106109168.0	88075.0	88075.0	264225.0	264225.0	0.0	27.54075	23.038077	119.0	0.00045037373	1.3511212	21.017244	3.2600943	chr10	chr10_106021093-106109168	88075	5096	171	2055	106	0.403257	2.48292
chr10:106109168-106128783	chr10_106109168_106128783	chr10	106109168.0	106128783.0	19615.0	19615.0	58845.0	58845.0	0.0	20.63613	19.603417	2.0	3.3987595e-05	0.10196278	20.592265	3.3369837	chr10	chr10_106109168-106128783	19615	5096	47	2619	26	0.513932	1.70078
chr10:106128783-106203013	chr10_106128783_106203013	chr10	106128783.0	106203013.0	74230.0	74230.0	222690.0	222690.0	0.0	24.96993	24.947743	71.0	0.00031882887	0.9564866	22.352068	3.1252564	chr10	chr10_106128783-106203013	74230	5096	117	3415	65	0.670133	1.7624
chr10:10616593-10639832	chr10_10616593_10639832	chr10	10616593.0	10639832.0	23239.0	23239.0	69717.0	69717.0	0.0	22.47078	22.12508	95.0	0.0013626519	4.0879556	20.865806	4.2329997	chr10	chr10_10616593-10639832	23239	5096	41	2635	16	0.517072	1.848
chr10:106203013-106236097	chr10_106203013_106236097	chr10	106203013.0	106236097.0	33084.0	33084.0	99252.0	99252.0	0.0	21.77857	21.269664	20.0	0.00020150727	0.60452182	20.821477	3.4734109	chr10	chr10_106203013-106236097	33084	5096	113	1914	76	0.375589	2.69021
chr10:106236097-106286129	chr10_106236097_106286129	chr10	106236097.0	106286129.0	50032.0	50032.0	150096.0	150096.0	0.0	21.30678	21.200698	29.0	0.00019320968	0.57962904	20.708003	3.2446968	chr10	chr10_106236097-106286129	50032	5096	79	3856	58	0.756672	1.21137
chr10:106286129-106343324	chr10_106286129_106343324	chr10	106286129.0	106343324.0	57195.0	57195.0	171585.0	171585.0	0.0	22.84753	22.27827	88.0	0.00051286534	1.538596	20.994843	3.5268335	chr10	chr10_106286129-106343324	57195	5096	76	2534	52	0.497253	1.93713
chr10:106343324-106449727	chr10_106343324_106449727	chr10	106343324.0	106449727.0	106403.0	106403.0	319209.0	319209.0	0.0	22.5876	22.337167	185.0	0.00057955759	1.7386728	20.820126	3.5259874	chr10	chr10_106343324-106449727	106403	5096	611	1024	431	0.200942	5.05766
chr10:10639832-10733493	chr10_10639832_10733493	chr10	10639832.0	10733493.0	93661.0	93661.0	280983.0	280983.0	0.0	23.7072	23.223732	982.0	0.0034948734	10.48462	21.041754	4.534112	chr10	chr10_10639832-10733493	93661	5096	93	2566	59	0.503532	2.21002
chr10:106449727-106494590	chr10_106449727_106494590	chr10	106449727.0	106494590.0	44863.0	44863.0	134589.0	134589.0	0.0	22.70289	21.339513	53.0	0.00039379147	1.1813744	20.629851	3.3052701	chr10	chr10_106449727-106494590	44863	5096	236	2443	138	0.479396	3.45874
chr10:106494590-106596085	chr10_106494590_106596085	chr10	106494590.0	106596085.0	101495.0	101495.0	304485.0	304485.0	0.0	57.92068	46.250865	2414.0	0.007928141	23.784423	22.626514	4.4792156	chr10	chr10_106494590-106596085	101495	5096	877	1939	656	0.380495	4.98581
chr10:106596085-106713189	chr10_106596085_106713189	chr10	106596085.0	106713189.0	117104.0	117104.0	351312.0	351312.0	0.0	60.37977	54.334708	6023.0	0.017144305	51.432914	25.735969	4.4375702	chr10	chr10_106596085-106713189	117104	5096	396	2665	270	0.522959	3.55632
chr10:106713189-106801677	chr10_106713189_106801677	chr10	106713189.0	106801677.0	88488.0	88488.0	265464.0	265464.0	0.0	49.4423	42.023385	1210.0	0.0045580568	13.674171	24.391778	4.1549231	chr10	chr10_106713189-106801677	88488	5096	396	955	270	0.187402	4.13445
chr10:106801677-106911970	chr10_106801677_106911970	chr10	106801677.0	106911970.0	110293.0	110293.0	330879.0	330879.0	0.0	52.57056	41.950948	839.0	0.0025356701	7.6070104	22.955123	4.5709167	chr10	chr10_106801677-106911970	110293	5096	1467	424	1076	0.0832025	7.9416
chr10:106911970-106966733	chr10_106911970_106966733	chr10	106911970.0	106966733.0	54763.0	54763.0	164289.0	164289.0	0.0	52.24134	41.864101	552.0	0.0033599328	10.079798	23.685428	4.356716	chr10	chr10_106911970-106966733	54763	5096	68	2661	36	0.522174	1.7672
chr10:106966733-107038379	chr10_106966733_107038379	chr10	106966733.0	107038379.0	71646.0	71646.0	214938.0	214938.0	0.0	31.9952	27.422419	594.0	0.0027635876	8.2907629	21.513368	4.6204484	chr10	chr10_106966733-107038379	71646	5096	323	3010	244	0.590659	2.76121
chr10:107038379-107102983	chr10_107038379_107102983	chr10	107038379.0	107102983.0	64604.0	64604.0	193812.0	193812.0	0.0	27.65896	23.515265	184.0	0.00094937362	2.8481209	20.913955	4.3306312	chr10	chr10_107038379-107102983	64604	5096	136	2592	96	0.508634	2.22475
chr10:107102983-107159551	chr10_107102983_107159551	chr10	107102983.0	107159551.0	56568.0	56568.0	169704.0	169704.0	0.0	24.86221	24.283485	332.0	0.0019563475	5.8690426	21.197328	4.1044114	chr10	chr10_107102983-107159551	56568	5096	208	2055	123	0.403257	3.0919
chr10:107159551-107246695	chr10_107159551_107246695	chr10	107159551.0	107246695.0	87144.0	87144.0	261432.0	261432.0	0.0	41.58114	37.697525	828.0	0.0031671716	9.5015147	23.232982	3.22631	chr10	chr10_107159551-107246695	87144	5096	63	3132	40	0.6146	1.70972
chr10:107246695-107362910	chr10_107246695_107362910	chr10	107246695.0	107362910.0	116215.0	116215.0	348645.0	348645.0	0.0	22.96444	22.621785	54.0	0.00015488534	0.46465603	20.985679	2.7502333	chr10	chr10_107246695-107362910	116215	5096	44	3011	27	0.590856	1.67383
chr10:10733493-10748555	chr10_10733493_10748555	chr10	10733493.0	10748555.0	15062.0	15062.0	45186.0	45186.0	0.0	23.3011	22.550582	75.0	0.0016598061	4.9794184	20.838883	4.1349921	chr10	chr10_10733493-10748555	15062	5096	215	1744	142	0.342229	3.17187
chr10:107362910-107595881	chr10_107362910_107595881	chr10	107362910.0	107595881.0	232971.0	232971.0	698913.0	698913.0	0.0	23.47325	22.87201	253.0	0.00036199069	1.0859721	21.083823	3.2056727	chr10	chr10_107362910-107595881	232971	5096	45	2232	30	0.437991	2.04877
chr10:10748555-10871111	chr10_10748555_10871111	chr10	10748555.0	10871111.0	122556.0	122556.0	367668.0	367668.0	0.0	48.76581	41.544942	1895.0	0.0051541064	15.462319	21.540537	4.9520441	chr10	chr10_10748555-10871111	122556	5096	923	777	650	0.152473	6.45079
chr10:107595881-107617803	chr10_107595881_107617803	chr10	107595881.0	107617803.0	21922.0	21922.0	65766.0	65766.0	0.0	21.00803	20.795894	17.0	0.00025849223	0.77547669	20.535011	3.1110904	chr10	chr10_107595881-107617803	21922	5096	172	2077	93	0.407575	3.363
chr10:107617803-107638759	chr10_107617803_107638759	chr10	107617803.0	107638759.0	20956.0	20956.0	62868.0	62868.0	0.0	21.1308	20.011433	5.0	7.9531717e-05	0.23859515	20.54886	2.8569411	chr10	chr10_107617803-107638759	20956	5096	52	2290	26	0.449372	2.06473
