block_id	chrom	start	end	recomb_rate_cm_per_mb
chr1_12015506_12054235	chr1	12015506	12054235	3.3488
chr1_12054235_12097824	chr1	12054235	12097824	5.08412
chr1_12097824_12116740	chr1	12097824	12116740	5.74717
chr1_12116740_12138578	chr1	12116740	12138578	8.01211
chr1_12138578_12180767	chr1	12138578	12180767	2.5007
chr1_12180767_12207235	chr1	12180767	12207235	9.40252
chr1_12207235_12407567	chr1	12207235	12407567	1.0213
chr1_12407567_12527631	chr1	12407567	12527631	0.265525
chr1_12527631_12543232	chr1	12527631	12543232	8.16704
chr1_12543232_12589320	chr1	12543232	12589320	3.1548
chr1_12589320_12609748	chr1	12589320	12609748	1.84687
chr1_12609748_12615956	chr1	12609748	12615956	2.6924
chr1_12615956_12627807	chr1	12615956	12627807	8.4887
chr1_12627807_12710318	chr1	12627807	12710318	2.34937
chr1_12710318_12717928	chr1	12710318	12717928	1.57085
chr1_12717928_12769849	chr1	12717928	12769849	1.54708
chr1_12769849_12807124	chr1	12769849	12807124	0.98085
chr1_12807124_13376677	chr1	12807124	13376677	0.343971
chr1_13376677_13417181	chr1	13376677	13417181	0.997013
chr1_13417181_13446109	chr1	13417181	13446109	1.00274
chr1_13446109_13481690	chr1	13446109	13481690	2.0566
chr1_13481690_13493080	chr1	13481690	13493080	9.54552
chr1_13493080_13516186	chr1	13493080	13516186	7.85638
chr1_13516186_13542578	chr1	13516186	13542578	1.31843
chr1_13542578_13569479	chr1	13542578	13569479	2.54587
chr1_13569479_13578723	chr1	13569479	13578723	3.62215
chr1_13578723_13604664	chr1	13578723	13604664	5.74622
chr1_13604664_13621842	chr1	13604664	13621842	3.08193
chr1_13621842_13630519	chr1	13621842	13630519	10.422
chr1_13630519_13803003	chr1	13630519	13803003	0.877796
chr1_13803003_13832260	chr1	13803003	13832260	4.04747
chr1_13832260_13844386	chr1	13832260	13844386	14.1784
chr1_13844386_13877514	chr1	13844386	13877514	2.64456
chr1_13877514_13913797	chr1	13877514	13913797	3.1811
chr1_13913797_13954956	chr1	13913797	13954956	1.74207
chr1_13954956_13975307	chr1	13954956	13975307	1.28458
chr1_13975307_14026700	chr1	13975307	14026700	1.37114
chr1_14026700_14066132	chr1	14026700	14066132	2.53548
chr1_14066132_14114856	chr1	14066132	14114856	1.38961
chr1_14114856_14139590	chr1	14114856	14139590	2.29955
chr1_14139590_14181195	chr1	14139590	14181195	2.79668
chr1_14181195_14262226	chr1	14181195	14262226	1.38817
chr1_14262226_14299469	chr1	14262226	14299469	2.03834
chr1_14299469_14325023	chr1	14299469	14325023	5.23454
chr1_14325023_14364916	chr1	14325023	14364916	1.42743
chr1_14364916_14380313	chr1	14364916	14380313	2.68188
chr1_14380313_14393794	chr1	14380313	14393794	5.64848
chr1_14393794_14406664	chr1	14393794	14406664	5.79237
chr1_14406664_14466753	chr1	14406664	14466753	0.982413
chr1_14466753_14551306	chr1	14466753	14551306	2.20433
chr1_14551306_14603075	chr1	14551306	14603075	4.42101
chr1_14603075_14668759	chr1	14603075	14668759	1.11287
chr1_14668759_14733452	chr1	14668759	14733452	1.14566
chr1_14733452_14773226	chr1	14733452	14773226	5.857
chr1_14773226_14801973	chr1	14773226	14801973	2.49541
chr1_14801973_14827510	chr1	14801973	14827510	5.19123
chr1_14827510_14855657	chr1	14827510	14855657	3.99348
chr1_14855657_14866420	chr1	14855657	14866420	8.90001
chr1_14866420_14888678	chr1	14866420	14888678	3.0737
chr1_14888678_14946249	chr1	14888678	14946249	2.89555
chr1_14946249_14985000	chr1	14946249	14985000	1.61269
chr1_14985000_15021926	chr1	14985000	15021926	4.77051
chr1_15021926_15046542	chr1	15021926	15046542	4.74576
chr1_15046542_15099573	chr1	15046542	15099573	5.50434
chr1_15099573_15123295	chr1	15099573	15123295	2.84711
chr1_15123295_15180914	chr1	15123295	15180914	0.506916
chr1_15180914_15211362	chr1	15180914	15211362	1.02771
chr1_15211362_15244771	chr1	15211362	15244771	5.93184
chr1_15244771_15293528	chr1	15244771	15293528	2.23348
chr1_15293528_15322535	chr1	15293528	15322535	1.59943
chr1_15322535_15360068	chr1	15322535	15360068	3.26935
chr1_15360068_15419366	chr1	15360068	15419366	3.81679
chr1_15419366_15470313	chr1	15419366	15470313	1.64536
chr1_15470313_15742120	chr1	15470313	15742120	0.224267
chr1_15742120_15799466	chr1	15742120	15799466	2.22477
chr1_15799466_16040454	chr1	15799466	16040454	0.314881
chr1_16040454_16052154	chr1	16040454	16052154	1.53285
chr1_16052154_16116736	chr1	16052154	16116736	1.3955
chr1_16116736_16165566	chr1	16116736	16165566	1.22468
chr1_16165566_16220471	chr1	16165566	16220471	1.1003
chr1_16220471_16407941	chr1	16220471	16407941	0.187204
chr1_16407941_16479926	chr1	16407941	16479926	0.783065
chr1_16479926_16857205	chr1	16479926	16857205	2.12604
chr1_16857205_16975177	chr1	16857205	16975177	0.842965
chr1_16975177_17010026	chr1	16975177	17010026	0.727711
chr1_17010026_17104073	chr1	17010026	17104073	0.757476
chr1_17104073_17134576	chr1	17104073	17134576	0.520426
chr1_17134576_17171239	chr1	17134576	17171239	3.28541
chr1_17171239_17214200	chr1	17171239	17214200	4.68029
chr1_17214200_17222032	chr1	17214200	17222032	13.879
chr1_17222032_17229436	chr1	17222032	17229436	24.2063
chr1_17229436_17236721	chr1	17229436	17236721	9.58384
chr1_17236721_17271815	chr1	17236721	17271815	1.37671
chr1_17271815_17310923	chr1	17271815	17310923	1.06563
chr1_17310923_17352277	chr1	17310923	17352277	2.27561
chr1_17352277_17381263	chr1	17352277	17381263	2.86662
chr1_17381263_17475388	chr1	17381263	17475388	0.49479
chr1_17475388_17548912	chr1	17475388	17548912	1.14277
chr1_17548912_17583006	chr1	17548912	17583006	3.30034
chr1_17583006_17593322	chr1	17583006	17593322	10.9181
chr1_17593322_17640351	chr1	17593322	17640351	2.47205
chr1_17640351_17694158	chr1	17640351	17694158	0.524667
chr1_17694158_17718017	chr1	17694158	17718017	2.09323
chr1_17718017_17758795	chr1	17718017	17758795	2.18711
chr1_17758795_17784206	chr1	17758795	17784206	3.62284
chr1_17784206_17805774	chr1	17784206	17805774	0.852114
chr1_17805774_17825352	chr1	17805774	17825352	1.0479
chr1_17825352_17856722	chr1	17825352	17856722	3.44804
chr1_17856722_17884014	chr1	17856722	17884014	1.90743
chr1_17884014_17937863	chr1	17884014	17937863	1.1035
chr1_17937863_17950986	chr1	17937863	17950986	3.80723
chr1_17950986_17996991	chr1	17950986	17996991	2.09305
chr1_17996991_18006620	chr1	17996991	18006620	5.02684
chr1_18006620_18028918	chr1	18006620	18028918	0.842158
chr1_18028918_18066997	chr1	18028918	18066997	0.587513
chr1_18066997_18101121	chr1	18066997	18101121	2.74544
chr1_18101121_18113497	chr1	18101121	18113497	3.25571
chr1_18113497_18133212	chr1	18113497	18133212	2.15807
chr1_18133212_18161316	chr1	18133212	18161316	5.73451
chr1_18161316_18164093	chr1	18161316	18164093	34.052
chr1_18164093_18186489	chr1	18164093	18186489	8.23401
chr1_18186489_18227851	chr1	18186489	18227851	3.40031
chr1_18227851_18243016	chr1	18227851	18243016	7.48331
chr1_18243016_18253174	chr1	18243016	18253174	15.6759
chr1_18253174_18283612	chr1	18253174	18283612	1.51372
chr1_18283612_18319588	chr1	18283612	18319588	3.16341
chr1_18319588_18336987	chr1	18319588	18336987	6.1985
chr1_18336987_18377178	chr1	18336987	18377178	0.802338
chr1_18377178_18407223	chr1	18377178	18407223	2.3638
chr1_18407223_18440319	chr1	18407223	18440319	1.11261
chr1_18440319_18454102	chr1	18440319	18454102	3.93447
chr1_18454102_18488551	chr1	18454102	18488551	1.83928
chr1_18488551_18545596	chr1	18488551	18545596	4.97356
chr1_18545596_18578075	chr1	18545596	18578075	2.25456
chr1_18578075_18597677	chr1	18578075	18597677	4.38183
chr1_18597677_18634767	chr1	18597677	18634767	0.639446
chr1_18634767_18677099	chr1	18634767	18677099	2.2203
chr1_18677099_18705778	chr1	18677099	18705778	3.6448
chr1_18705778_18718383	chr1	18705778	18718383	6.41694
chr1_18718383_18724413	chr1	18718383	18724413	12.9115
chr1_18724413_18732251	chr1	18724413	18732251	12.8283
chr1_18732251_18779086	chr1	18732251	18779086	5.20247
chr1_18779086_18807496	chr1	18779086	18807496	6.51486
chr1_18807496_18852250	chr1	18807496	18852250	2.64494
chr1_18852250_18878764	chr1	18852250	18878764	7.36438
chr1_18878764_18913701	chr1	18878764	18913701	5.82834
chr1_18913701_18964100	chr1	18913701	18964100	1.89473
chr1_18964100_19064683	chr1	18964100	19064683	0.93772
chr1_19064683_19238844	chr1	19064683	19238844	0.146068
chr1_19238844_19319942	chr1	19238844	19319942	0.626635
chr1_19319942_19353625	chr1	19319942	19353625	0.719483
chr1_19353625_19471691	chr1	19353625	19471691	0.700499
chr1_19471691_19492004	chr1	19471691	19492004	5.05276
chr1_19492004_19561827	chr1	19492004	19561827	0.5452
chr1_19561827_19648300	chr1	19561827	19648300	0.643326
chr1_19648300_19661236	chr1	19648300	19661236	1.37444
chr1_19661236_19700265	chr1	19661236	19700265	3.82469
chr1_19700265_19734895	chr1	19700265	19734895	7.89591
chr1_19734895_19783943	chr1	19734895	19783943	1.55782
chr1_19783943_19813769	chr1	19783943	19813769	4.52082
chr1_19813769_19820452	chr1	19813769	19820452	11.0055
chr1_19820452_19834595	chr1	19820452	19834595	6.59444
chr1_19834595_19923113	chr1	19834595	19923113	1.35349
chr1_19923113_19956239	chr1	19923113	19956239	2.09296
chr1_19956239_19978292	chr1	19956239	19978292	2.65804
chr1_19978292_20110578	chr1	19978292	20110578	1.38992
chr1_20110578_20120908	chr1	20110578	20120908	6.67746
chr1_20120908_20141662	chr1	20120908	20141662	9.63944
chr1_20141662_20176433	chr1	20141662	20176433	2.2818
chr1_20176433_20230269	chr1	20176433	20230269	5.92051
chr1_20230269_20278881	chr1	20230269	20278881	2.37965
chr1_20278881_20309229	chr1	20278881	20309229	4.11797
chr1_20309229_20390322	chr1	20309229	20390322	0.478731
chr1_20390322_20435789	chr1	20390322	20435789	2.30405
chr1_20435789_20477278	chr1	20435789	20477278	3.49489
chr1_20477278_20557029	chr1	20477278	20557029	0.948215
chr1_20557029_20588948	chr1	20557029	20588948	2.09272
chr1_20588948_20683895	chr1	20588948	20683895	2.33012
chr1_20683895_20702739	chr1	20683895	20702739	5.21974
chr1_20702739_20728146	chr1	20702739	20728146	0.712026
chr1_20728146_21208837	chr1	20728146	21208837	0.0745549
chr1_21208837_21246878	chr1	21208837	21246878	1.08466
chr1_21246878_21340133	chr1	21246878	21340133	0.917572
chr1_21340133_21410405	chr1	21340133	21410405	3.26165
chr1_21410405_21497136	chr1	21410405	21497136	0.702772
chr1_21497136_21522219	chr1	21497136	21522219	4.55347
chr1_21522219_21601851	chr1	21522219	21601851	1.04413
chr1_21601851_21653456	chr1	21601851	21653456	1.85059
chr1_21653456_21680086	chr1	21653456	21680086	1.47934
chr1_21680086_21817172	chr1	21680086	21817172	0.796706
chr1_21817172_21858967	chr1	21817172	21858967	1.35534
chr1_21858967_21958002	chr1	21858967	21958002	0.644524
chr1_21958002_22019911	chr1	21958002	22019911	0.957688
chr1_22019911_22151433	chr1	22019911	22151433	0.340421
chr1_22151433_22167179	chr1	22151433	22167179	3.44204
chr1_22167179_22186354	chr1	22167179	22186354	1.55002
chr1_22186354_22248683	chr1	22186354	22248683	0.812521
chr1_22248683_22268463	chr1	22248683	22268463	4.07867
chr1_22268463_22296020	chr1	22268463	22296020	1.27496
chr1_22296020_22325086	chr1	22296020	22325086	4.54986
chr1_22325086_22386590	chr1	22325086	22386590	2.35987
chr1_22386590_22411096	chr1	22386590	22411096	6.33837
chr1_22411096_22540413	chr1	22411096	22540413	1.03848
chr1_22540413_22563354	chr1	22540413	22563354	4.25919
chr1_22563354_22591066	chr1	22563354	22591066	1.19772
chr1_22591066_22631825	chr1	22591066	22631825	1.10965
chr1_22631825_22704958	chr1	22631825	22704958	1.4145
chr1_22704958_22760390	chr1	22704958	22760390	2.44435
chr1_22760390_22775195	chr1	22760390	22775195	4.32302
chr1_22775195_22802742	chr1	22775195	22802742	1.44648
chr1_22802742_22858097	chr1	22802742	22858097	3.07408
chr1_22858097_22905907	chr1	22858097	22905907	4.22361
chr1_22905907_22956887	chr1	22905907	22956887	0.908123
chr1_22956887_23184826	chr1	22956887	23184826	0.20109
chr1_23184826_23252434	chr1	23184826	23252434	0.502398
chr1_23252434_23389521	chr1	23252434	23389521	0.263498
chr1_23389521_23505348	chr1	23389521	23505348	0.730023
chr1_23505348_23559582	chr1	23505348	23559582	0.773176
chr1_23559582_23582700	chr1	23559582	23582700	2.49049
chr1_23582700_23609883	chr1	23582700	23609883	3.83173
chr1_23609883_23642846	chr1	23609883	23642846	1.78301
chr1_23642846_23691734	chr1	23642846	23691734	0.686559
chr1_23691734_23880376	chr1	23691734	23880376	0.325705
chr1_23880376_24063887	chr1	23880376	24063887	0.893078
chr1_24063887_24092278	chr1	24063887	24092278	0.879451
chr1_24092278_24121857	chr1	24092278	24121857	1.95053
chr1_24121857_24141939	chr1	24121857	24141939	0.816049
chr1_24141939_24181986	chr1	24141939	24181986	1.79396
chr1_24181986_24199645	chr1	24181986	24199645	7.45605
chr1_24199645_24209542	chr1	24199645	24209542	9.45957
chr1_24209542_24248855	chr1	24209542	24248855	1.96919
chr1_24248855_24321278	chr1	24248855	24321278	1.09627
chr1_24321278_24336413	chr1	24321278	24336413	3.75981
chr1_24336413_24471893	chr1	24336413	24471893	0.865509
chr1_24471893_24552944	chr1	24471893	24552944	1.19704
chr1_24552944_24577764	chr1	24552944	24577764	2.01869
chr1_24577764_24688927	chr1	24577764	24688927	0.749973
chr1_24688927_24859178	chr1	24688927	24859178	0.415779
chr1_24859178_24897519	chr1	24859178	24897519	2.34289
chr1_24897519_24939955	chr1	24897519	24939955	1.50711
chr1_24939955_24980073	chr1	24939955	24980073	2.10112
chr1_24980073_25016163	chr1	24980073	25016163	4.83606
chr1_25016163_25073178	chr1	25016163	25073178	1.43874
chr1_25073178_25098398	chr1	25073178	25098398	5.87261
chr1_25098398_25187440	chr1	25098398	25187440	2.66631
chr1_25187440_25412573	chr1	25187440	25412573	0.812308
chr1_25412573_25553165	chr1	25412573	25553165	1.04571
chr1_25553165_25582314	chr1	25553165	25582314	2.26687
chr1_25582314_25677265	chr1	25582314	25677265	1.14559
chr1_25677265_25746952	chr1	25677265	25746952	0.976214
chr1_25746952_25785479	chr1	25746952	25785479	1.07978
chr1_25785479_25923568	chr1	25785479	25923568	0.647062
chr1_25923568_26011814	chr1	25923568	26011814	0.454457
chr1_26011814_26061134	chr1	26011814	26061134	1.10402
chr1_26061134_26154619	chr1	26061134	26154619	0.862192
chr1_26154619_26201372	chr1	26154619	26201372	0.91148
chr1_26201372_26354781	chr1	26201372	26354781	0.685161
chr1_26354781_26389381	chr1	26354781	26389381	3.13707
chr1_26389381_26420316	chr1	26389381	26420316	3.57903
chr1_26420316_26576921	chr1	26420316	26576921	0.459626
chr1_26576921_26661155	chr1	26576921	26661155	1.64915
chr1_26661155_26888588	chr1	26661155	26888588	0.0573479
chr1_26888588_27076911	chr1	26888588	27076911	1.11251
chr1_27076911_27199878	chr1	27076911	27199878	0.346704
chr1_27199878_27353463	chr1	27199878	27353463	0.305658
chr1_27353463_27372521	chr1	27353463	27372521	2.98943
chr1_27372521_27513318	chr1	27372521	27513318	0.251531
chr1_27513318_27644093	chr1	27513318	27644093	0.50954
chr1_27644093_27872742	chr1	27644093	27872742	0.610674
chr1_27872742_27946911	chr1	27872742	27946911	0.67811
chr1_27946911_28097691	chr1	27946911	28097691	0.710786
chr1_28097691_28132596	chr1	28097691	28132596	2.90907
chr1_28132596_28307639	chr1	28132596	28307639	0.420625
chr1_28307639_28567060	chr1	28307639	28567060	0.117408
chr1_28567060_28748471	chr1	28567060	28748471	0.300203
chr1_28748471_28843366	chr1	28748471	28843366	0.445027
chr1_28843366_28862203	chr1	28843366	28862203	6.09584
chr1_28862203_29134621	chr1	28862203	29134621	0.131325
