block_id	recomb_rate_cm_per_mb	avi_top1_fraction	eqtl_variants_per_kb	shannon_entropy
chr1_4673288_4691841	7.54362	0.0054977632	0.1617	1.95678
chr1_4691841_4711993	4.73876	0.0067321689	0.0496	5.10672
chr1_4711993_4736498	2.89649	0.0092770183	0.3673	3.07016
chr1_4736498_4755417	1.0236	0.001268566	2.1671	2.48505
chr1_4755417_4793850	1.62077	0.011301052	1.7693	3.30459
chr1_4793850_4840415	2.08197	0.00085901428	0.0215	5.24193
chr1_4840415_4881350	1.59075	0.00024428973	0.0733	1.60701
chr1_4881350_4920299	0.7613	0.0002481878	0.0257	4.7007
chr1_4920299_4942008	7.75591	0.00050670229	0.4606	3.55409
chr1_4942008_4959493	4.99567	0.00095319798	0.0	4.26206
chr1_4959493_4978033	7.2976	0.001995685	0.5933	4.99264
chr1_4978033_5030937	3.35747	0.00066787641	0.2646	2.17241
chr1_5030937_5076783	2.94615	0.00021812154	0.0	2.26853
chr1_5076783_5082492	3.4575	0.0	0.3503	1.40621
chr1_5082492_5162536	1.76835	0.00051221828	0.0375	4.57879
chr1_5162536_5200350	1.68223	0.00069639111	0.0529	2.74334
chr1_5200350_5251254	1.48861	0.0014144272	0.0786	3.24857
chr1_5251254_5287567	5.84695	0.00027538347	0.1928	2.62247
chr1_5287567_5297013	5.38187	0.0013409556	0.0	1.15634
chr1_5297013_5343525	0.825448	0.0012398234	0.086	1.90334
chr1_5343525_5411457	2.93779	0.00077037822	0.5447	4.01097
chr1_5411457_5479850	4.02086	0.0014718855	0.1462	6.54755
chr1_5479850_5514835	5.67218	0.0023915011	0.4002	1.40419
chr1_5514835_5571302	1.96917	0.00026564188	0.3188	2.26462
chr1_5571302_5599527	9.46492	0.00051963389	0.3189	6.74877
chr1_5599527_5618723	5.83687	0.0011634368	0.4168	4.83556
chr1_5618723_5629550	4.30853	0.001878021	1.1083	1.19996
chr1_5629550_5649168	4.25371	0.00090053352	0.4588	3.55069
chr1_5649168_5684903	2.69571	0.0014738119	0.4757	2.14865
chr1_5684903_5725512	3.88326	0.00089471135	0.5418	4.46137
chr1_5725512_5745545	4.54276	0.001331137	0.0499	4.40755
chr1_5745545_5780200	1.72691	0.0011349974	0.8945	4.22795
chr1_5780200_5841621	8.88417	0.00033104856	1.3513	3.08215
chr1_5841621_5854228	8.60378	0.0	1.7451	3.23751
chr1_5854228_6003595	0.416884	0.01653645	2.9257	4.65399
chr1_6003595_6040795	0.648336	0.0071863799	2.043	1.3619
chr1_6040795_6084675	7.61667	0.013673655	1.5497	5.76024
chr1_6084675_6137354	1.17648	0.066357878	0.6834	3.98621
chr1_6137354_6159303	3.56984	0.070193023	1.4579	3.2027
chr1_6159303_6198732	2.80378	0.022411592	2.7391	2.78678
chr1_6198732_6268780	3.04759	0.048604766	2.7838	4.72673
chr1_6268780_6363444	1.34592	0.011380602	3.4332	3.20641
chr1_6363444_6441736	0.40778	0.01876735	3.4231	3.23982
chr1_6441736_6502103	2.28045	0.083025494	2.5345	4.03259
chr1_6502103_6580056	2.3635	0.029462197	3.0659	0.0924969
chr1_6580056_6734025	0.284757	0.035671683	2.0264	4.175
chr1_6734025_6916308	0.337983	0.0086916132	1.9311	6.35285
chr1_6916308_6976742	0.436281	0.010623159	1.4892	2.20087
chr1_6976742_7046903	0.609609	0.0056346593	0.3706	2.73085
chr1_7046903_7069445	1.01741	0.00094638157	0.5323	1.78903
chr1_7069445_7109719	1.84826	0.0057026038	0.1986	2.97357
chr1_7109719_7187141	1.48898	0.0029965643	0.5037	3.47041
chr1_7187141_7264899	1.29289	0.006485935	0.5916	1.50848
chr1_7264899_7303439	1.90548	0.0045580349	0.0519	1.19672
chr1_7303439_7351991	0.969212	0.0037554237	0.9886	1.60306
chr1_7351991_7429435	1.52205	0.0046183909	2.363	3.43207
chr1_7429435_7449624	6.06413	0.0050687668	1.9317	1.8083
chr1_7449624_7477070	5.20557	0.0089630547	0.4008	4.23703
chr1_7477070_7508211	1.58852	0.0081564497	0.3532	1.81683
chr1_7508211_7547445	5.94904	0.0036108137	0.1274	5.22494
chr1_7547445_7556533	11.6544	0.0024574531	1.7606	5.14368
chr1_7556533_7584742	4.10875	0.004643908	0.8862	2.76724
chr1_7584742_7650389	2.80779	0.0073727665	0.6855	2.89965
chr1_7650389_7661288	4.68206	0.0055662599	3.3948	1.93189
chr1_7661288_7677591	1.27925	0.08802061	2.5149	3.58431
chr1_7677591_7739126	0.578048	0.020297392	2.7464	1.11931
chr1_7739126_7850331	0.737377	0.028463948	3.1833	1.779
chr1_7850331_7909447	1.46411	0.0040034283	4.7026	6.03459
chr1_7909447_8126081	0.223908	0.013875938	2.6912	3.37102
chr1_8126081_8139203	4.22986	0.0025910684	4.4201	2.45369
chr1_8139203_8213791	1.55389	0.0044243042	1.3943	2.12604
chr1_8213791_8230022	1.41788	0.0029162303	2.1564	3.29053
chr1_8230022_8290697	1.97394	0.0027743442	0.3791	1.88513
chr1_8290697_8447516	1.23557	0.029622261	2.0788	6.13821
chr1_8447516_8828055	0.115718	0.00750602	1.3087	2.23769
chr1_8828055_8891970	0.634684	0.01977105	1.9714	0.800983
chr1_8891970_8925891	2.30259	0.0027220109	4.0683	2.8115
chr1_8925891_8942850	5.8915	0.0018869037	3.1252	6.04199
chr1_8942850_8985236	5.59999	0.011088567	1.0617	7.15453
chr1_8985236_9007994	4.33695	0.0099745145	1.1864	4.5946
chr1_9007994_9019095	12.2914	0.026213855	2.0719	1.66703
chr1_9019095_9073966	0.870091	0.022975099	2.843	3.50295
chr1_9073966_9145120	1.0086	0.011369705	2.8108	3.61814
chr1_9145120_9186290	1.4267	0.0045907214	1.3602	3.93714
chr1_9186290_9222350	0.837159	0.0055740433	2.8286	1.70499
chr1_9222350_9263398	1.6079	0.018084519	2.7285	6.39173
chr1_9263398_9279146	2.43684	0.042354585	6.35	2.71565
chr1_9279146_9306426	6.28475	0.006769306	3.0425	7.02129
chr1_9306426_9322745	3.74411	0.0082112875	0.7966	2.31436
chr1_9322745_9352349	7.09923	0.0089740125	1.3512	2.75208
chr1_9352349_9371164	5.31835	0.033165028	1.1161	3.26445
chr1_9371164_9411592	4.36001	0.010998978	0.5194	2.98881
chr1_9411592_9450869	4.56403	0.011779583	0.6874	0.990062
chr1_9450869_9473179	1.94649	0.0067682654	0.4034	1.73394
chr1_9473179_9496002	1.78753	0.0018986695	0.7887	0.913296
chr1_9496002_9515653	3.07732	0.0016284159	0.9669	2.74581
chr1_9515653_9631661	1.18701	0.018964209	1.1896	2.49469
chr1_9631661_9639319	4.30582	0.0	1.3058	2.58521
chr1_9639319_9694823	1.75755	0.0066481695	1.8918	3.93605
chr1_9694823_9838135	1.31166	0.032032675	1.3816	2.41393
chr1_9838135_9910413	2.04127	0.011935398	1.6049	2.1197
chr1_9910413_10023878	0.662077	0.012746956	1.9301	4.52971
chr1_10023878_10175888	0.291907	0.020965726	2.1051	3.9896
chr1_10175888_10424113	0.363343	0.031989794	3.1786	5.15772
chr1_10424113_10583662	0.635007	0.021420797	2.7264	1.04186
chr1_10583662_10629885	1.58126	0.035444115	1.4062	2.48773
chr1_10629885_10702147	2.63044	0.10121502	1.9789	5.43583
chr1_10702147_10717203	7.15111	0.052050124	0.5978	2.16039
chr1_10717203_10743471	3.0928	0.060555302	0.3426	3.53717
chr1_10743471_10754383	10.1744	0.02795088	0.3666	2.41331
chr1_10754383_10782329	4.23708	0.042164651	0.1789	1.75245
chr1_10782329_10799261	4.53795	0.063686117	0.2953	3.12917
chr1_10799261_10827148	5.0852	0.017917548	1.1475	4.71647
chr1_10827148_10851272	1.35746	0.015890123	0.9949	2.10398
chr1_10851272_10874817	4.31811	0.024916826	0.722	2.30028
chr1_10874817_10905343	3.988	0.016707069	0.9173	4.96051
chr1_10905343_10933117	7.17086	0.010561436	0.8641	4.7552
chr1_10933117_10947998	4.53295	0.028380709	3.6288	2.45012
chr1_10947998_10969421	4.57656	0.040983989	3.7343	3.08797
chr1_10969421_10994596	2.74277	0.0063025488	3.8133	4.09636
chr1_10994596_11329978	0.902985	0.039785478	2.6179	2.43037
chr1_11329978_11367600	1.1702	0.0044743324	1.6214	4.29702
chr1_11367600_11430687	1.37542	0.0014530199	0.7926	3.35849
chr1_11430687_11526939	1.2463	0.020667969	1.4545	3.57919
chr1_11526939_11559582	1.19895	0.031716856	1.3785	2.81476
chr1_11559582_11592148	1.61648	0.0015558149	0.9826	5.7192
chr1_11592148_11611007	1.61466	0.0010958517	1.0075	1.73625
chr1_11611007_11651323	4.24801	0.019686146	2.0339	1.82855
chr1_11651323_11667863	5.06512	0.058081419	3.5671	3.30264
chr1_11667863_11692083	4.88152	0.050701899	3.2618	3.26789
chr1_11692083_11716139	2.7624	0.019593171	2.4942	2.24531
chr1_11716139_11736183	5.79437	0.0093793654	1.8459	3.20397
chr1_11736183_11763099	6.47193	0.017325507	2.8608	3.18109
chr1_11763099_11853700	0.8785	0.054484314	6.0375	2.26979
chr1_11853700_11878809	2.61074	0.012518752	4.6199	4.95876
chr1_11878809_11926564	1.05755	0.034614177	4.7953	1.79491
chr1_11926564_12015506	1.81825	0.043061771	3.5191	1.78447
chr1_12015506_12054235	3.3488	0.013297529	2.6595	3.90175
chr1_12054235_12097824	5.08412	0.0094289844	1.2847	4.51956
chr1_12097824_12116740	5.74717	0.012846268	2.2203	3.29878
chr1_12116740_12138578	8.01211	0.012546937	0.9158	5.79526
chr1_12138578_12180767	2.5007	0.013273602	0.5689	3.46189
chr1_12180767_12207235	9.40252	0.022555539	0.0756	2.59376
chr1_12207235_12407567	1.0213	0.043318092	1.0283	6.08292
chr1_12407567_12527631	0.265525	0.023787313	0.3665	1.80429
chr1_12527631_12543232	8.16704	0.008589193	0.2564	2.25671
chr1_12543232_12589320	3.1548	0.016439565	0.7594	3.70011
chr1_12589320_12609748	1.84687	0.010149468	0.4895	2.51756
chr1_12609748_12615956	2.6924	0.0096649485	0.1611	1.13785
chr1_12615956_12627807	8.4887	0.051866228	0.5907	4.3961
chr1_12627807_12710318	2.34937	0.0053326223	0.8363	10.2157
chr1_12710318_12717928	1.57085	0.011563732	1.0512	1.4587
chr1_12717928_12769849	1.54708	0.012570379	2.6001	2.8441
chr1_12769849_12807124	0.98085	0.0068768165	7.2971	1.60292
chr1_12807124_13376677	0.343971	0.0057466065	1.8084	3.86458
chr1_13376677_13417181	0.997013	0.0027816183	1.9504	1.9108
chr1_13417181_13446109	1.00274	0.0033646755	2.1433	6.00645
chr1_13446109_13481690	2.0566	0.0048996187	1.602	4.49792
chr1_13481690_13493080	9.54552	0.0047410009	2.5461	1.16111
chr1_13493080_13516186	7.85638	0.018292507	2.3371	7.79716
chr1_13516186_13542578	1.31843	0.0015913913	1.8566	4.32302
chr1_13542578_13569479	2.54587	0.0038536362	1.6728	3.72533
chr1_13569479_13578723	3.62215	0.0013341988	2.5963	0.968758
chr1_13578723_13604664	5.74622	0.013209462	2.0816	5.46139
chr1_13604664_13621842	3.08193	0.011933869	3.3764	1.69346
chr1_13621842_13630519	10.422	0.0054550344	0.0	3.55754
chr1_13630519_13803003	0.877796	0.019004661	0.8754	2.65707
chr1_13803003_13832260	4.04747	0.0056168894	1.0596	1.39645
chr1_13832260_13844386	14.1784	0.0	0.0825	1.93572
chr1_13844386_13877514	2.64456	0.00017105369	0.0302	3.21814
chr1_13877514_13913797	3.1811	0.0037115637	0.0551	2.5728
chr1_13913797_13954956	1.74207	0.00061549924	0.9232	1.96956
chr1_13954956_13975307	1.28458	0.0016051627	0.0	2.71809
chr1_13975307_14026700	1.37114	0.00087560563	0.1167	0.915196
chr1_14026700_14066132	2.53548	0.0018935551	0.0761	3.1807
chr1_14066132_14114856	1.38961	0.0012656323	0.0205	2.57274
chr1_14114856_14139590	2.29955	0.00064688283	0.0	1.4022
chr1_14139590_14181195	2.79668	0.0040219525	0.024	3.08336
chr1_14181195_14262226	1.38817	0.0014027553	0.0123	2.41077
chr1_14262226_14299469	2.03834	0.0015931405	0.0537	2.43672
chr1_14299469_14325023	5.23454	0.0030001826	0.0	4.71462
chr1_14325023_14364916	1.42743	0.00045120698	0.1755	1.89197
chr1_14364916_14380313	2.68188	0.000995865	0.3247	3.17377
chr1_14380313_14393794	5.64848	0.00034616621	0.0742	2.12637
chr1_14393794_14406664	5.79237	0.0013209013	0.0	1.71418
chr1_14406664_14466753	0.982413	0.0015643462	0.1331	3.45809
chr1_14466753_14551306	2.20433	0.0037175894	0.4731	4.10643
chr1_14551306_14603075	4.42101	0.0091174255	0.2704	5.64038
chr1_14603075_14668759	1.11287	0.0034660902	0.3045	3.51362
chr1_14668759_14733452	1.14566	0.0013448132	0.2164	4.1702
chr1_14733452_14773226	5.857	0.0024639212	0.9805	2.72873
chr1_14773226_14801973	2.49541	0.0025857771	1.1479	4.27956
chr1_14801973_14827510	5.19123	0.0024800616	0.2741	4.0806
chr1_14827510_14855657	3.99348	0.0016816475	0.1066	1.66571
chr1_14855657_14866420	8.90001	0.0012697823	0.3716	3.73878
chr1_14866420_14888678	3.0737	0.0026657082	0.4043	1.49309
chr1_14888678_14946249	2.89555	0.0061315593	0.9553	4.81639
chr1_14946249_14985000	1.61269	0.006382631	0.2323	3.67938
chr1_14985000_15021926	4.77051	0.0045315857	0.4062	5.45509
chr1_15021926_15046542	4.74576	0.011049724	0.6094	3.69294
chr1_15046542_15099573	5.50434	0.018140333	0.66	4.47847
chr1_15099573_15123295	2.84711	0.022637214	5.0164	4.66294
chr1_15123295_15180914	0.506916	0.0052413266	6.3694	1.94338
chr1_15180914_15211362	1.02771	0.0041272552	5.0578	2.48333
chr1_15211362_15244771	5.93184	0.016771928	6.4354	2.89204
chr1_15244771_15293528	2.23348	0.0080945642	4.7173	3.23458
chr1_15293528_15322535	1.59943	0.015490514	1.4824	2.49845
chr1_15322535_15360068	3.26935	0.022460235	1.1989	2.03253
chr1_15360068_15419366	3.81679	0.022721396	3.3053	3.80723
chr1_15419366_15470313	1.64536	0.030397603	2.4535	5.38356
chr1_15470313_15742120	0.224267	0.02976254	3.359	3.37817
chr1_15742120_15799466	2.22477	0.026808031	2.7378	4.20542
chr1_15799466_16040454	0.314881	0.046588765	3.7097	6.45418
chr1_16040454_16052154	1.53285	0.08011396	10.1709	3.24919
chr1_16052154_16116736	1.3955	0.021012047	5.6982	3.42687
chr1_16116736_16165566	1.22468	0.056276879	2.3551	2.49605
chr1_16165566_16220471	1.1003	0.038496797	4.2255	2.67352
chr1_16220471_16407941	0.187204	0.020810441	3.0938	1.52778
chr1_16407941_16479926	0.783065	0.014901253	3.5007	2.95616
chr1_16479926_16857205	2.12604	0.012826976	1.6115	6.3324
chr1_16857205_16975177	0.842965	0.029928006	4.2129	6.32482
chr1_16975177_17010026	0.727711	0.074731939	2.8695	3.82676
chr1_17010026_17104073	0.757476	0.023502433	4.4552	2.06725
chr1_17104073_17134576	0.520426	0.012184594	3.0489	5.08834
chr1_17134576_17171239	3.28541	0.0020183837	3.7095	3.18352
chr1_17171239_17214200	4.68029	0.0060054468	3.9105	4.24018
chr1_17214200_17222032	13.879	0.0018726592	2.0429	2.00246
chr1_17222032_17229436	24.2063	0.047947056	0.2701	2.4579
chr1_17229436_17236721	9.58384	0.03372226	4.6671	1.2379
chr1_17236721_17271815	1.37671	0.030954959	2.5645	3.65812
chr1_17271815_17310923	1.06563	0.020089666	4.9606	1.58533
chr1_17310923_17352277	2.27561	0.012131031	4.2559	1.2394
chr1_17352277_17381263	2.86662	0.02235562	2.3115	2.54065
chr1_17381263_17475388	0.49479	0.025285525	3.0385	3.17198
chr1_17475388_17548912	1.14277	0.003989627	1.2513	4.74939
chr1_17548912_17583006	3.30034	0.0074597681	0.7039	1.10242
chr1_17583006_17593322	10.9181	0.014992891	1.4541	0.00922863
chr1_17593322_17640351	2.47205	0.03950045	1.0844	4.02624
chr1_17640351_17694158	0.524667	0.015487452	0.6319	1.57108
chr1_17694158_17718017	2.09323	0.016848988	0.1677	0.509088
chr1_17718017_17758795	2.18711	0.0014223356	0.515	5.67547
chr1_17758795_17784206	3.62284	0.0042238925	0.0787	4.3968
chr1_17784206_17805774	0.852114	0.0026582591	1.9473	2.55792
chr1_17805774_17825352	1.0479	0.012139476	0.0	1.00671
chr1_17825352_17856722	3.44804	0.01163532	0.3507	3.69686
chr1_17856722_17884014	1.90743	0.0031511066	0.2931	0.873777
chr1_17884014_17937863	1.1035	0.001702291	0.1486	4.87189
chr1_17937863_17950986	3.80723	0.00033020905	0.3048	2.74845
chr1_17950986_17996991	2.09305	0.0018113973	0.1739	1.40219
chr1_17996991_18006620	5.02684	0.0031155883	0.9347	2.95487
chr1_18006620_18028918	0.842158	0.00086704338	1.3006	3.58769
chr1_18028918_18066997	0.587513	0.0038516418	1.103	1.52981
chr1_18066997_18101121	2.74544	0.0010745126	0.9964	3.82373
chr1_18101121_18113497	3.25571	0.0080801551	2.2624	4.80247
chr1_18113497_18133212	2.15807	0.0057316764	1.0652	2.76894
chr1_18133212_18161316	5.73451	0.0033447196	1.0319	2.83912
chr1_18161316_18164093	34.052	0.00084023527	0.0	2.15157
chr1_18164093_18186489	8.23401	0.0028427695	0.9823	3.26904
chr1_18186489_18227851	3.40031	0.0026755637	1.9583	4.05012
chr1_18227851_18243016	7.48331	0.010638532	1.4507	1.51317
chr1_18243016_18253174	15.6759	0.00022970401	0.0	3.27194
chr1_18253174_18283612	1.51372	0.0040519526	0.2957	2.23523
chr1_18283612_18319588	3.16341	0.0081072567	0.5559	1.50466
chr1_18319588_18336987	6.1985	0.011973868	0.2299	1.39768
chr1_18336987_18377178	0.802338	0.016064956	1.3933	4.18096
chr1_18377178_18407223	2.3638	0.004726244	1.1316	4.07775
chr1_18407223_18440319	1.11261	0.0026589316	0.846	1.07155
chr1_18440319_18454102	3.93447	0.00099155965	3.4826	1.69358
chr1_18454102_18488551	1.83928	0.027238333	3.7447	1.62588
chr1_18488551_18545596	4.97356	0.0013205949	2.314	6.09241
chr1_18545596_18578075	2.25456	0.0018986627	0.4926	2.00325
chr1_18578075_18597677	4.38183	0.0017855321	0.051	3.12676
chr1_18597677_18634767	0.639446	0.016329649	0.3505	3.10881
chr1_18634767_18677099	2.2203	0.035953888	0.5669	3.6467
chr1_18677099_18705778	3.6448	0.019607843	0.3487	5.08968
chr1_18705778_18718383	6.41694	0.018458284	0.6347	3.89183
chr1_18718383_18724413	12.9115	0.021614151	0.1658	0.435604
chr1_18724413_18732251	12.8283	0.030917751	1.7862	2.47358
chr1_18732251_18779086	5.20247	0.012867869	2.1352	6.86718
chr1_18779086_18807496	6.51486	0.0072157691	0.704	3.37542
chr1_18807496_18852250	2.64494	0.012691603	0.5586	2.57558
chr1_18852250_18878764	7.36438	0.038671394	2.9041	3.80559
chr1_18878764_18913701	5.82834	0.041379245	2.7478	5.53024
chr1_18913701_18964100	1.89473	0.030582617	3.1945	2.05751
chr1_18964100_19064683	0.93772	0.0038939649	4.295	3.50489
chr1_19064683_19238844	0.146068	0.081057183	2.3369	4.14957
chr1_19238844_19319942	0.626635	0.040280484	4.8337	2.07731
chr1_19319942_19353625	0.719483	0.02775881	4.7799	3.08105
chr1_19353625_19471691	0.700499	0.011699671	4.0232	5.08989
chr1_19471691_19492004	5.05276	0.0098623213	1.7723	1.05124
chr1_19492004_19561827	0.5452	0.0034993245	3.6807	4.1028
chr1_19561827_19648300	0.643326	0.014393703	4.0359	3.43058
chr1_19648300_19661236	1.37444	0.039450629	2.9375	1.8352
chr1_19661236_19700265	3.82469	0.023145183	3.1515	2.06896
chr1_19700265_19734895	7.89591	0.0032534411	0.7508	3.8555
chr1_19734895_19783943	1.55782	0.018193063	3.6087	2.55761
chr1_19783943_19813769	4.52082	0.0049509377	3.5204	2.31833
chr1_19813769_19820452	11.0055	0.040600529	4.0401	2.05399
chr1_19820452_19834595	6.59444	0.00056565085	2.899	1.06688
chr1_19834595_19923113	1.35349	0.013259073	2.813	2.35412
chr1_19923113_19956239	2.09296	0.0051621083	2.7471	1.41485
chr1_19956239_19978292	2.65804	0.006257652	2.9474	2.51025
chr1_19978292_20110578	1.38992	0.0059240333	2.9406	3.05539
chr1_20110578_20120908	6.67746	0.024685382	1.0649	2.8152
chr1_20120908_20141662	9.63944	0.0092030452	0.8191	3.54777
chr1_20141662_20176433	2.2818	0.016498423	2.3295	3.26156
chr1_20176433_20230269	5.92051	0.015070461	1.8575	2.32581
chr1_20230269_20278881	2.37965	0.0029828026	3.4148	2.76744
chr1_20278881_20309229	4.11797	0.0063485787	3.5917	4.41628
chr1_20309229_20390322	0.478731	0.023836829	2.047	2.44424
chr1_20390322_20435789	2.30405	0.0040542225	1.2317	2.16596
chr1_20435789_20477278	3.49489	0.0060980019	1.6631	6.56328
chr1_20477278_20557029	0.948215	0.028751991	2.6207	5.96953
chr1_20557029_20588948	2.09272	0.0016708961	6.5478	3.78407
chr1_20588948_20683895	2.33012	0.033172893	4.1181	1.82135
chr1_20683895_20702739	5.21974	0.017282247	4.4577	5.35402
chr1_20702739_20728146	0.712026	0.06197767	3.7785	4.69527
chr1_20728146_21208837	0.0745549	0.014087359	1.968	5.15081
chr1_21208837_21246878	1.08466	0.026357527	2.4973	3.00658
chr1_21246878_21340133	0.917572	0.015902633	2.2197	4.63715
chr1_21340133_21410405	3.26165	0.0039845173	2.7465	1.72183
chr1_21410405_21497136	0.702772	0.011076393	4.1854	2.18706
chr1_21497136_21522219	4.55347	0.0083323366	3.5084	2.9822
chr1_21522219_21601851	1.04413	0.030059105	4.0185	3.71611
chr1_21601851_21653456	1.85059	0.044000904	2.4222	4.03584
chr1_21653456_21680086	1.47934	0.013894104	2.8164	2.61045
chr1_21680086_21817172	0.796706	0.023102286	3.2024	2.75302
chr1_21817172_21858967	1.35534	0.11510946	2.2969	1.14793
chr1_21858967_21958002	0.644524	0.049884721	2.4638	3.59255
chr1_21958002_22019911	0.957688	0.020266305	6.2673	3.06306
chr1_22019911_22151433	0.340421	0.026930856	3.6952	3.09396
chr1_22151433_22167179	3.44204	0.012574622	3.0484	3.06707
chr1_22167179_22186354	1.55002	0.011316819	4.1721	2.15431
chr1_22186354_22248683	0.812521	0.0075780669	3.2088	3.39105
chr1_22248683_22268463	4.07867	0.017425008	2.0222	2.30744
chr1_22268463_22296020	1.27496	0.0088422784	1.8507	3.02533
chr1_22296020_22325086	4.54986	0.0058946306	2.7524	4.67173
chr1_22325086_22386590	2.35987	0.0077068158	1.6747	5.66174
chr1_22386590_22411096	6.33837	0.0054272423	2.326	2.49806
chr1_22411096_22540413	1.03848	0.021381566	1.5311	0.780437
chr1_22540413_22563354	4.25919	0.0044752481	0.5231	3.51174
chr1_22563354_22591066	1.19772	0.041979407	2.8508	3.64229
chr1_22591066_22631825	1.10965	0.034364598	1.9382	5.91889
chr1_22631825_22704958	1.4145	0.021704748	1.2033	4.51158
chr1_22704958_22760390	2.44435	0.022171309	0.7396	0.80234
chr1_22760390_22775195	4.32302	0.013846673	0.8781	0.0
chr1_22775195_22802742	1.44648	0.040573081	1.1617	1.33014
chr1_22802742_22858097	3.07408	0.016047933	2.4027	4.3727
chr1_22858097_22905907	4.22361	0.021864324	1.5478	3.26661
chr1_22905907_22956887	0.908123	0.036341049	2.0989	3.74868
