block_id	avi_rank	avi_top1_fraction	avi_mean	eqtl_variant_count	eqtl_variants_per_kb
chr17_7035506_7059593	306	0.075711656	6.644639	84	3.4874
chr3_184219685_184288909	307	0.075643322	6.9226093	191	2.7592
chr14_21332977_21457704	308	0.075615812	6.8197889	171	1.371
chr19_54184080_54195501	309	0.07556256	6.5391327	40	3.5023
chr5_141921341_141959206	310	0.075461068	8.1099509	130	3.4332
chr19_17631427_17653869	311	0.075216113	5.1393407	22	0.9803
chr6_1383028_1395878	312	0.075019455	6.9581861	4	0.3113
chr8_37831448_37872850	313	0.074923917	6.7973462	35	0.8454
chr1_2472868_2536231	314	0.074912278	5.9676302	127	2.0043
chr1_43315969_43484139	315	0.074894452	7.2577036	219	1.3023
chr19_15439193_15483014	316	0.074880385	7.0851074	60	1.3692
chr3_52178645_52489389	317	0.074783959	7.2087501	490	1.5769
chr1_16975177_17010026	318	0.074731939	6.380977	100	2.8695
chr12_53056216_53118660	319	0.074674909	7.4326838	167	2.6744
chr8_143557291_143634399	320	0.074471304	6.2776698	370	4.7985
chr4_125445779_125502950	321	0.074460828	5.6090727	1	0.0175
chr1_41365342_41386275	322	0.074396089	8.1336142	55	2.6274
chr16_1194877_1261017	323	0.074392702	5.7735272	351	5.3069
chr9_137011367_137142184	324	0.074371068	6.1312936	392	2.9966
chr8_22563483_22586073	325	0.074265899	7.7926598	69	3.0544
chr17_50105613_50161696	326	0.074247098	7.5157615	94	1.6761
chr14_104156783_104178863	327	0.0741093	5.7153471	68	3.0797
chr19_11416089_11459652	328	0.074076625	6.602536	92	2.1119
chr19_10271861_10305105	329	0.074068504	6.7184273	91	2.7373
chr2_172078169_172121150	330	0.074063734	8.1794715	60	1.396
chr4_55086132_55111699	331	0.074040756	6.9332128	8	0.3129
chr7_96985565_97023147	332	0.073927235	9.3027013	37	0.9845
chr1_26154619_26201372	333	0.073735019	7.1569383	165	3.5292
chr1_156867624_156913701	334	0.073702715	6.8271518	102	2.2137
chr12_54556443_54584441	335	0.073576684	8.0585758	41	1.4644
chr5_177416440_177486787	336	0.07351652	7.6595771	127	1.8053
chr10_101015191_101032154	337	0.073395036	7.095226	46	2.7118
chr1_161097295_161193247	338	0.073345701	7.0349706	166	1.73
chr16_29867147_29910690	339	0.073345122	6.8435887	78	1.7913
chr7_100002782_100174226	340	0.073193968	6.8499551	367	2.1406
chr2_60500494_60556437	341	0.073175673	10.097201	31	0.5541
chr2_188974919_189017162	342	0.073163996	6.111658	40	0.9469
chr2_44927550_44951354	343	0.073124965	8.28043	46	1.9324
chr4_998692_1027271	344	0.073025648	6.4533629	132	4.6188
chr11_20044127_20065807	345	0.072955105	7.8278315	3	0.1384
chr10_113110033_113152897	346	0.072943885	8.7083711	12	0.28
chr19_47667500_47702835	347	0.072930522	5.7881972	54	1.5282
chr14_24200768_24256689	348	0.072900461	7.3900622	124	2.2174
chr19_38497672_38563051	349	0.072887828	6.2932903	276	4.2215
chr17_18223604_18358422	350	0.072764764	6.2528796	474	3.5159
chr8_144256267_144350943	351	0.072756911	6.4431904	226	2.3871
chr17_3925141_3952694	352	0.072732552	6.270222	101	3.6657
chr12_53959078_53984669	353	0.07260365	9.1946941	52	2.032
chr19_5193003_5251419	354	0.072440199	5.4382882	61	1.0442
chr10_73640906_73887733	355	0.072227377	7.5321005	356	1.4423
chr12_1639668_1647476	356	0.072148224	7.1284694	1	0.1281
chr17_10376626_10617383	357	0.07195914	5.806908	161	0.6687
chr17_61392694_61422156	358	0.071911841	7.4946624	92	3.1227
chr1_244036570_244080885	359	0.071871827	8.0337165	14	0.3159
chr2_144464070_144545070	360	0.07162963	9.9432632	22	0.2716
chr18_44946244_44977570	361	0.071591223	7.0586787	1	0.0319
chr2_238129254_238144795	362	0.071574116	5.7962788	64	4.1181
chr20_53242763_53269865	363	0.071556835	6.3027391	0	0.0
chr5_177387312_177416440	364	0.071534835	6.8972322	56	1.9225
chr11_40105036_40124074	365	0.071523619	5.7092269	0	0.0
chr8_143867013_143896067	366	0.071521994	6.1519786	105	3.614
chr19_1413575_1437186	367	0.071379159	6.8776609	38	1.6094
chr14_20438492_20472467	368	0.071346578	7.0738428	105	3.0905
chr3_4655556_4685263	369	0.071318769	5.3788334	13	0.4376
chr17_75717411_75749446	370	0.071172155	5.8718508	51	1.592
chr11_6213506_6271952	371	0.070988605	7.4521006	144	2.4638
chr1_87337955_87360735	372	0.070910155	9.565181	6	0.2634
chr1_43292284_43315969	373	0.070832454	7.3358629	41	1.7311
chr19_2187718_2251513	374	0.070784022	6.0735404	167	2.6178
chr7_44093588_44139807	375	0.070778973	6.259606	136	2.9425
chr17_73163647_73175510	376	0.070667903	7.3280469	1	0.0843
chr1_161040972_161097295	377	0.070616504	7.051016	116	2.0595
chr12_6805285_6826466	378	0.070597863	7.0099339	43	2.0301
chr19_35119674_35157353	379	0.070543273	7.5991906	106	2.8132
chr3_48369284_48651759	380	0.070505354	6.5358114	498	1.763
chr6_138421035_138444519	381	0.070473514	7.3974111	20	0.8516
chr9_707077_724217	382	0.070361727	7.1123576	33	1.9253
chr16_30374516_30423188	383	0.070341606	6.6040752	87	1.7875
chr3_18416451_18441066	384	0.070282348	10.107593	15	0.6094
chr15_34349020_34372699	385	0.070273238	7.3208425	51	2.1538
chr17_44201473_44255435	386	0.070259318	7.221679	112	2.0755
chr1_6137354_6159303	387	0.070193023	5.4986657	32	1.4579
chr16_707891_744175	388	0.070003307	6.655446	171	4.7128
chr18_75271945_75301487	389	0.069787647	5.6213453	13	0.4401
chr19_1489771_1512094	390	0.069688961	6.7365485	78	3.4942
chr6_33344678_33474798	391	0.069684394	6.9411175	332	2.5515
chr1_153604530_153697023	392	0.069662929	6.9713734	202	2.1839
chr2_74513067_74628989	393	0.069431744	7.5304925	155	1.3371
chr20_56389655_56402542	394	0.069423967	5.8165763	10	0.776
chr12_47745819_47790772	395	0.069331672	7.5797802	170	3.7817
chr20_3678284_3708985	396	0.069302846	6.9475376	110	3.5829
chr17_2372791_2414883	397	0.069245146	7.7843742	121	2.8747
chr13_99856812_99871132	398	0.069180633	8.9961536	5	0.3492
chr19_45711039_45809847	399	0.069069981	6.5650609	213	2.1557
chr19_14061967_14183023	400	0.069028659	6.8299187	187	1.5447
chr11_133922848_133952238	401	0.069014404	6.6277686	83	2.8241
chr17_28538488_28881308	402	0.068987613	7.1592991	426	1.2426
chr11_64097278_64339478	403	0.068965043	6.8223044	565	2.3328
chr5_180598674_180626387	404	0.068884639	6.0355997	110	3.9693
chr2_74883144_74893586	405	0.068856541	7.1031639	35	3.3518
chr18_57423761_57444870	406	0.06884899	8.0278193	13	0.6159
chr17_39589726_39673351	407	0.068847035	7.5546376	211	2.5232
chr6_148508169_148527860	408	0.068830092	7.5413931	2	0.1016
chr11_77153629_77172804	409	0.068787484	5.8239729	25	1.3038
chr16_29910690_30018771	410	0.068775579	7.1031562	218	2.017
chr6_35452851_35489619	411	0.068719176	6.6163517	112	3.0461
chr2_232503632_232549631	412	0.068675406	6.3185654	157	3.4131
chr20_45903616_45983563	413	0.068653816	6.5660309	188	2.3516
chr1_156113677_156146697	414	0.068544317	6.8681581	110	3.3313
chr5_178202558_178232074	415	0.068516511	6.8323042	83	2.812
chr11_65803046_65896512	416	0.06840277	6.7750428	264	2.8246
chr22_39648397_39696563	417	0.068326205	6.0538677	67	1.391
chr2_219589342_219633628	418	0.068313538	6.7454419	59	1.3322
chr7_8750401_8760659	419	0.068304413	6.747188	1	0.0975
chr9_106913624_107015975	420	0.068209723	7.4948352	74	0.723
chr1_31690310_31800425	421	0.068204453	7.8204438	138	1.2532
chr9_35653040_35679064	422	0.068167845	7.3726946	97	3.7273
chr19_51002469_51025576	423	0.068089035	6.1651987	87	3.7651
chr14_23413975_23495210	424	0.068008453	6.728753	187	2.302
chr12_57096317_57147065	425	0.067996112	7.7310839	96	1.8917
