block_id	chrom	observed_top1	observed_total	avi_top1_count	unconditional_ratio	conditional_ratio	eqtl_variant_count	eqtl_variants_per_kb
chr1_3597419_3658462	chr1	42	2159	5228	0.00803366	0.681425	222	3.6368
chr1_3658462_3666645	chr1	0	257	80	0	0	36	4.3994
chr1_3666645_3687362	chr1	5	748	641	0.00780031	0.648125	40	1.9308
chr1_3687362_3716816	chr1	6	1148	1552	0.00386598	0.297566	49	1.6636
chr1_3716816_3764165	chr1	33	1718	4503	0.00732845	0.605928	142	2.999
chr1_3764165_3816032	chr1	27	1726	4131	0.00653595	0.589224	240	4.6272
chr1_3816032_3867334	chr1	33	1767	5122	0.0064428	0.561169	331	6.452
chr1_3867334_3881836	chr1	4	596	655	0.00610687	0.445781	121	8.3437
chr1_3881836_3918389	chr1	10	1390	1383	0.00723066	0.570436	125	3.4197
chr1_3918389_3942706	chr1	0	805	50	0	0	52	2.1384
chr1_3942706_3950282	chr1	3	345	88	0.0340909	2.24585	44	5.8078
chr1_3950282_3995220	chr1	1	1464	92	0.0108696	1.00094	8	0.178
chr1_3995220_4046591	chr1	0	1708	26	0	0	8	0.1557
chr1_4046591_4093147	chr1	1	1452	133	0.0075188	0.723234	4	0.0859
chr1_4093147_4120746	chr1	0	813	8	0	0	3	0.1087
chr1_4120746_4174752	chr1	0	1910	127	0	0	14	0.2592
chr1_4174752_4226801	chr1	1	1716	25	0.04	3.63979	13	0.2498
chr1_4226801_4236223	chr1	0	281	12	0	0	4	0.4245
chr1_4236223_4307920	chr1	1	2173	43	0.0232558	2.30194	33	0.4603
chr1_4307920_4320284	chr1	0	423	4	0	0	0	0.0
chr1_4320284_4359937	chr1	0	1294	54	0	0	92	2.3201
chr1_4359937_4454029	chr1	2	3158	175	0.0114286	1.02154	133	1.4135
chr1_4454029_4480984	chr1	0	1005	18	0	0	2	0.0742
chr1_4480984_4509635	chr1	0	1145	40	0	0	8	0.2792
chr1_4509635_4535091	chr1	0	963	10	0	0	10	0.3928
chr1_4535091_4580842	chr1	1	1530	108	0.00925926	0.830628	75	1.6393
chr1_4580842_4614369	chr1	3	1071	134	0.0223881	2.10253	73	2.1773
chr1_4614369_4652381	chr1	1	1257	124	0.00806452	0.731619	8	0.2105
chr1_4652381_4673288	chr1	4	638	828	0.00483092	0.474922	37	1.7697
chr1_4673288_4691841	chr1	2	634	306	0.00653595	0.573792	3	0.1617
chr1_4691841_4711993	chr1	5	734	407	0.012285	1.01186	1	0.0496
chr1_4711993_4736498	chr1	5	808	682	0.00733138	0.667037	9	0.3673
chr1_4736498_4755417	chr1	1	611	72	0.0138889	1.29017	41	2.1671
chr1_4755417_4793850	chr1	6	1259	1303	0.00460476	0.421703	68	1.7693
chr1_4793850_4840415	chr1	0	1455	120	0	0	1	0.0215
chr1_4840415_4881350	chr1	0	1340	30	0	0	3	0.0733
chr1_4881350_4920299	chr1	0	1266	29	0	0	1	0.0257
chr1_4920299_4942008	chr1	0	685	33	0	0	10	0.4606
chr1_4942008_4959493	chr1	1	560	50	0.02	1.87339	0	0.0
chr1_4959493_4978033	chr1	1	713	111	0.00900901	0.702779	11	0.5933
chr1_4978033_5030937	chr1	1	1580	106	0.00943396	0.947647	14	0.2646
chr1_5030937_5076783	chr1	0	1337	30	0	0	0	0.0
chr1_5082492_5162536	chr1	1	2318	123	0.00813008	0.842232	3	0.0375
chr1_5162536_5200350	chr1	0	1226	79	0	0	2	0.0529
chr1_5200350_5251254	chr1	3	1648	216	0.0138889	1.28701	4	0.0786
chr1_5251254_5287567	chr1	0	1498	30	0	0	7	0.1928
chr1_5287567_5297013	chr1	1	396	38	0.0263158	1.88317	0	0.0
chr1_5297013_5343525	chr1	4	1459	173	0.0231214	2.21129	4	0.086
chr1_5343525_5411457	chr1	1	2399	157	0.00636943	0.541085	37	0.5447
chr1_5411457_5479850	chr1	2	2389	302	0.00662252	0.568774	10	0.1462
chr1_5479850_5514835	chr1	2	1311	251	0.00796813	0.637906	14	0.4002
chr1_5514835_5571302	chr1	1	1612	45	0.0222222	2.33528	18	0.3188
chr1_5571302_5599527	chr1	1	941	44	0.0227273	2.04509	9	0.3189
chr1_5599527_5618723	chr1	1	560	67	0.0149254	1.53486	8	0.4168
chr1_5618723_5629550	chr1	1	332	61	0.0163934	1.60384	12	1.1083
chr1_5629550_5649168	chr1	0	726	53	0	0	9	0.4588
chr1_5649168_5684903	chr1	0	1016	158	0	0	17	0.4757
chr1_5684903_5725512	chr1	1	1307	109	0.00917431	0.855148	22	0.5418
chr1_5725512_5745545	chr1	0	633	80	0	0	1	0.0499
chr1_5745545_5780200	chr1	3	1182	118	0.0254237	2.23619	31	0.8945
chr1_5780200_5841621	chr1	1	1924	61	0.0163934	1.57001	83	1.3513
chr1_5854228_6003595	chr1	80	4987	7410	0.0107962	0.970082	437	2.9257
chr1_6003595_6040795	chr1	6	1155	802	0.0074813	0.722868	76	2.043
chr1_6040795_6084675	chr1	12	1556	1800	0.00666667	0.56401	68	1.5497
chr1_6084675_6137354	chr1	33	1859	10487	0.00314675	0.267511	36	0.6834
chr1_6137354_6159303	chr1	19	743	4622	0.00411077	0.36431	32	1.4579
chr1_6159303_6198732	chr1	7	1283	2651	0.00264051	0.243444	108	2.7391
chr1_6198732_6268780	chr1	58	1961	10214	0.00567848	0.608515	195	2.7838
chr1_6268780_6363444	chr1	14	3024	3232	0.00433168	0.4068	325	3.4332
chr1_6363444_6441736	chr1	20	2086	4408	0.00453721	0.510873	268	3.4231
chr1_6441736_6502103	chr1	124	1762	15036	0.00824687	0.847626	153	2.5345
chr1_6502103_6580056	chr1	48	2370	6890	0.00696662	0.687429	239	3.0659
chr1_6580056_6734025	chr1	76	4387	16477	0.00461249	0.485649	312	2.0264
chr1_6734025_6916308	chr1	27	4603	4753	0.00568062	0.674874	352	1.9311
chr1_6916308_6976742	chr1	15	1691	1926	0.00778816	0.835014	90	1.4892
chr1_6976742_7046903	chr1	4	2034	1186	0.00337268	0.349013	26	0.3706
chr1_7046903_7069445	chr1	0	706	64	0	0	12	0.5323
chr1_7069445_7109719	chr1	2	1211	689	0.00290276	0.289609	8	0.1986
chr1_7109719_7187141	chr1	5	2187	696	0.00718391	0.762953	39	0.5037
chr1_7187141_7264899	chr1	8	2173	1513	0.00528751	0.56762	46	0.5916
chr1_7264899_7303439	chr1	2	1053	527	0.00379507	0.4167	2	0.0519
chr1_7303439_7351991	chr1	4	1359	547	0.00731261	0.783757	48	0.9886
chr1_7351991_7429435	chr1	6	2337	1073	0.0055918	0.555907	183	2.363
chr1_7429435_7449624	chr1	1	633	307	0.00325733	0.311669	39	1.9317
chr1_7449624_7477070	chr1	3	967	738	0.00406504	0.34613	11	0.4008
chr1_7477070_7508211	chr1	12	1154	762	0.015748	1.27489	11	0.3532
chr1_7508211_7547445	chr1	2	1144	425	0.00470588	0.484171	5	0.1274
chr1_7547445_7556533	chr1	0	287	67	0	0	16	1.7606
chr1_7556533_7584742	chr1	4	921	393	0.0101781	0.935226	25	0.8862
chr1_7584742_7650389	chr1	12	2002	1452	0.00826446	0.812993	45	0.6855
chr1_7650389_7661288	chr1	1	389	182	0.00549451	0.461835	37	3.3948
chr1_7661288_7677591	chr1	29	563	4305	0.00673635	0.585201	41	2.5149
chr1_7677591_7739126	chr1	24	1744	3747	0.00640512	0.677992	169	2.7464
chr1_7739126_7850331	chr1	47	2979	9496	0.00494945	0.554284	354	3.1833
chr1_7850331_7909447	chr1	6	1706	710	0.0084507	0.878497	278	4.7026
chr1_7909447_8126081	chr1	57	5525	9018	0.00632069	0.743499	583	2.6912
chr1_8126081_8139203	chr1	0	417	102	0	0	58	4.4201
chr1_8139203_8213791	chr1	7	2261	990	0.00707071	0.699765	104	1.3943
chr1_8213791_8230022	chr1	4	606	142	0.028169	2.26342	35	2.1564
chr1_8230022_8290697	chr1	0	1852	505	0	0	23	0.3791
chr1_8290697_8447516	chr1	93	4474	13936	0.00667336	0.701728	326	2.0788
chr1_8447516_8828055	chr1	35	9028	8569	0.00408449	0.516496	498	1.3087
chr1_8828055_8891970	chr1	25	1699	3791	0.00659457	0.744247	126	1.9714
chr1_8891970_8925891	chr1	4	1010	277	0.0144404	1.45495	138	4.0683
chr1_8925891_8942850	chr1	1	563	96	0.0104167	0.94133	53	3.1252
chr1_8942850_8985236	chr1	15	1312	1410	0.0106383	1.03106	45	1.0617
chr1_8985236_9007994	chr1	12	693	681	0.0176211	1.73603	27	1.1864
chr1_9007994_9019095	chr1	6	405	873	0.00687285	0.565152	23	2.0719
chr1_9019095_9073966	chr1	34	1548	3782	0.00898995	0.955984	156	2.843
chr1_9073966_9145120	chr1	24	1960	2427	0.00988875	1.07698	200	2.8108
chr1_9145120_9186290	chr1	3	1120	567	0.00529101	0.583475	56	1.3602
chr1_9186290_9222350	chr1	2	1011	603	0.00331675	0.354902	102	2.8286
chr1_9222350_9263398	chr1	26	1309	2227	0.0116749	1.09831	112	2.7285
chr1_9263398_9279146	chr1	27	617	2001	0.0134933	1.03319	100	6.35
chr1_9279146_9306426	chr1	2	836	554	0.00361011	0.353411	83	3.0425
chr1_9306426_9322745	chr1	3	612	402	0.00746269	0.596978	13	0.7966
chr1_9322745_9352349	chr1	5	985	797	0.00627353	0.565649	40	1.3512
chr1_9352349_9371164	chr1	6	646	1872	0.00320513	0.280052	21	1.1161
chr1_9371164_9411592	chr1	3	1270	1334	0.00224888	0.214766	21	0.5194
chr1_9411592_9450869	chr1	8	1154	1388	0.00576369	0.588511	27	0.6874
chr1_9450869_9473179	chr1	3	761	453	0.00662252	0.582451	9	0.4034
chr1_9473179_9496002	chr1	0	628	130	0	0	18	0.7887
chr1_9496002_9515653	chr1	0	578	96	0	0	19	0.9669
chr1_9515653_9631661	chr1	39	2951	6600	0.00590909	0.696884	138	1.1896
chr1_9639319_9694823	chr1	5	1456	1107	0.00451671	0.516543	105	1.8918
chr1_9694823_9838135	chr1	64	4150	13772	0.00464711	0.481436	198	1.3816
chr1_9838135_9910413	chr1	13	1907	2588	0.00502318	0.571157	116	1.6049
chr1_9910413_10023878	chr1	21	2622	4339	0.00483982	0.628319	219	1.9301
chr1_10023878_10175888	chr1	33	3619	9561	0.00345152	0.434926	320	2.1051
chr1_10175888_10424113	chr1	113	6412	23822	0.00474351	0.550901	789	3.1786
chr1_10424113_10583662	chr1	71	4121	10253	0.0069248	0.804304	435	2.7264
chr1_10583662_10629885	chr1	39	1261	4915	0.00793489	0.87258	65	1.4062
chr1_10629885_10702147	chr1	140	2300	21942	0.00638046	0.601389	143	1.9789
chr1_10702147_10717203	chr1	12	470	2351	0.00510421	0.490526	9	0.5978
chr1_10717203_10743471	chr1	24	759	4772	0.00502934	0.522176	9	0.3426
chr1_10743471_10754383	chr1	9	384	915	0.00983607	0.838525	4	0.3666
chr1_10754383_10782329	chr1	19	870	3535	0.00537482	0.517948	5	0.1789
chr1_10782329_10799261	chr1	23	469	3235	0.00710974	0.770035	5	0.2953
chr1_10799261_10827148	chr1	8	938	1499	0.00533689	0.476002	32	1.1475
chr1_10827148_10851272	chr1	7	760	1150	0.00608696	0.579638	24	0.9949
chr1_10851272_10874817	chr1	10	666	1760	0.00568182	0.602605	17	0.722
chr1_10874817_10905343	chr1	9	888	1530	0.00588235	0.606638	28	0.9173
chr1_10905343_10933117	chr1	5	790	880	0.00568182	0.599266	24	0.8641
chr1_10933117_10947998	chr1	6	458	1267	0.0047356	0.461597	54	3.6288
chr1_10947998_10969421	chr1	20	662	2634	0.00759301	0.737153	80	3.7343
chr1_10969421_10994596	chr1	2	833	476	0.00420168	0.380951	96	3.8133
chr1_10994596_11329978	chr1	175	9126	40030	0.00437172	0.481984	878	2.6179
chr1_11329978_11367600	chr1	0	1203	505	0	0	61	1.6214
chr1_11367600_11430687	chr1	1	1978	275	0.00363636	0.347938	50	0.7926
chr1_11430687_11526939	chr1	38	2853	5968	0.00636729	0.644442	140	1.4545
chr1_11526939_11559582	chr1	16	1079	3106	0.00515132	0.467529	45	1.3785
chr1_11559582_11592148	chr1	1	1022	152	0.00657895	0.628914	32	0.9826
chr1_11592148_11611007	chr1	1	580	62	0.016129	1.57333	19	1.0075
chr1_11611007_11651323	chr1	16	1179	2381	0.00671987	0.689359	82	2.0339
chr1_11651323_11667863	chr1	18	510	2882	0.00624566	0.607666	59	3.5671
chr1_11667863_11692083	chr1	24	700	3684	0.00651466	0.676221	79	3.2618
chr1_11692083_11716139	chr1	9	699	1414	0.00636492	0.657144	60	2.4942
chr1_11716139_11736183	chr1	7	543	564	0.0124113	1.37444	37	1.8459
chr1_11736183_11763099	chr1	15	810	1399	0.0107219	1.06886	77	2.8608
chr1_11763099_11853700	chr1	108	2962	14809	0.00729286	0.669217	547	6.0375
chr1_11853700_11878809	chr1	10	803	943	0.0106045	0.994772	116	4.6199
chr1_11878809_11926564	chr1	27	1671	4959	0.00544465	0.466803	229	4.7953
chr1_11926564_12015506	chr1	89	2654	11490	0.00774587	0.778748	313	3.5191
chr1_12015506_12054235	chr1	18	1149	1545	0.0116505	1.1781	103	2.6595
chr1_12054235_12097824	chr1	8	1211	1233	0.00648824	0.700617	56	1.2847
chr1_12097824_12116740	chr1	4	568	729	0.00548697	0.548195	42	2.2203
chr1_12116740_12138578	chr1	3	659	822	0.00364964	0.362826	20	0.9158
chr1_12138578_12180767	chr1	7	1119	1680	0.00416667	0.47128	24	0.5689
chr1_12180767_12207235	chr1	7	835	1791	0.00390843	0.371671	2	0.0756
chr1_12207235_12407567	chr1	125	4883	26034	0.00480141	0.590954	206	1.0283
chr1_12407567_12527631	chr1	70	3034	8568	0.00816993	0.969923	44	0.3665
chr1_12527631_12543232	chr1	4	434	402	0.00995025	1.07304	4	0.2564
chr1_12543232_12589320	chr1	15	1563	2273	0.00659921	0.58377	35	0.7594
chr1_12589320_12609748	chr1	8	569	622	0.0128617	1.38527	10	0.4895
chr1_12609748_12615956	chr1	3	172	180	0.0166667	1.80465	1	0.1611
chr1_12615956_12627807	chr1	10	365	1844	0.00542299	0.528229	7	0.5907
chr1_12627807_12710318	chr1	9	2708	1320	0.00681818	0.623237	69	0.8363
chr1_12710318_12717928	chr1	2	261	264	0.00757576	0.662661	8	1.0512
chr1_12717928_12769849	chr1	23	1526	1958	0.0117467	1.19902	135	2.6001
chr1_12769849_12807124	chr1	1	1035	769	0.00130039	0.140499	272	7.2971
chr1_12807124_13376677	chr1	15	3752	8957	0.00167467	0.695692	1030	1.8084
chr1_13376677_13417181	chr1	4	1139	338	0.0118343	1.26252	79	1.9504
chr1_13417181_13446109	chr1	2	1018	292	0.00684932	0.583901	62	2.1433
chr1_13446109_13481690	chr1	6	1140	523	0.0114723	1.0742	57	1.602
chr1_13481690_13493080	chr1	2	364	162	0.0123457	1.15893	29	2.5461
chr1_13493080_13516186	chr1	8	760	1268	0.00630915	0.575444	54	2.3371
chr1_13516186_13542578	chr1	0	834	126	0	0	49	1.8566
chr1_13542578_13569479	chr1	6	862	311	0.0192926	1.80623	45	1.6728
chr1_13569479_13578723	chr1	0	287	37	0	0	24	2.5963
chr1_13578723_13604664	chr1	10	722	1028	0.00972763	1.04852	54	2.0816
chr1_13604664_13621842	chr1	4	599	615	0.00650407	0.559567	58	3.3764
chr1_13621842_13630519	chr1	3	273	142	0.0211268	2.01447	0	0.0
chr1_13630519_13803003	chr1	57	4669	9834	0.00579622	0.642378	151	0.8754
chr1_13803003_13832260	chr1	1	884	493	0.0020284	0.201396	31	1.0596
chr1_13844386_13877514	chr1	0	1016	17	0	0	1	0.0302
chr1_13877514_13913797	chr1	3	1064	404	0.00742574	0.759666	2	0.0551
chr1_13913797_13954956	chr1	0	1199	76	0	0	38	0.9232
chr1_13954956_13975307	chr1	1	633	98	0.0102041	0.984186	0	0.0
chr1_13975307_14026700	chr1	1	1646	135	0.00740741	0.693844	6	0.1167
chr1_14026700_14066132	chr1	2	1172	224	0.00892857	0.901207	3	0.0761
chr1_14066132_14114856	chr1	2	1601	185	0.0108108	0.987032	1	0.0205
chr1_14114856_14139590	chr1	1	844	48	0.0208333	1.83161	0	0.0
chr1_14139590_14181195	chr1	2	1272	502	0.00398406	0.390936	1	0.024
chr1_14181195_14262226	chr1	0	2222	341	0	0	1	0.0123
chr1_14262226_14299469	chr1	0	964	178	0	0	2	0.0537
chr1_14299469_14325023	chr1	4	746	230	0.0173913	1.7872	0	0.0
chr1_14325023_14364916	chr1	0	1236	54	0	0	7	0.1755
chr1_14364916_14380313	chr1	0	583	46	0	0	5	0.3247
chr1_14380313_14393794	chr1	0	369	14	0	0	1	0.0742
chr1_14393794_14406664	chr1	1	394	51	0.0196078	1.92147	0	0.0
chr1_14406664_14466753	chr1	5	1941	282	0.0177305	1.64669	8	0.1331
chr1_14466753_14551306	chr1	9	2367	943	0.00954401	1.02278	40	0.4731
chr1_14551306_14603075	chr1	13	1471	1416	0.00918079	0.969301	14	0.2704
chr1_14603075_14668759	chr1	3	1875	683	0.00439239	0.461615	20	0.3045
chr1_14668759_14733452	chr1	3	1980	261	0.0114943	1.12666	14	0.2164
chr1_14733452_14773226	chr1	3	1222	294	0.0102041	0.996376	39	0.9805
chr1_14773226_14801973	chr1	2	992	223	0.00896861	0.779699	33	1.1479
chr1_14801973_14827510	chr1	2	751	190	0.0105263	1.07381	7	0.2741
chr1_14827510_14855657	chr1	1	950	142	0.00704225	0.625953	3	0.1066
chr1_14855657_14866420	chr1	0	336	41	0	0	4	0.3716
chr1_14866420_14888678	chr1	2	668	178	0.011236	1.12316	9	0.4043
chr1_14888678_14946249	chr1	8	1738	1059	0.0075543	0.750705	55	0.9553
chr1_14946249_14985000	chr1	7	1301	742	0.00943396	0.842987	9	0.2323
chr1_14985000_15021926	chr1	0	1188	502	0	0	15	0.4062
chr1_15021926_15046542	chr1	6	743	816	0.00735294	0.730821	15	0.6094
chr1_15046542_15099573	chr1	16	1818	2886	0.00554401	0.485155	35	0.66
chr1_15099573_15123295	chr1	7	802	1611	0.00434513	0.385568	119	5.0164
chr1_15123295_15180914	chr1	6	1720	906	0.00662252	0.665551	367	6.3694
chr1_15180914_15211362	chr1	1	910	377	0.00265252	0.266255	154	5.0578
chr1_15211362_15244771	chr1	13	1076	1681	0.00773349	0.720358	215	6.4354
chr1_15244771_15293528	chr1	8	1316	1184	0.00675676	0.751001	230	4.7173
chr1_15293528_15322535	chr1	12	807	1348	0.00890208	0.959935	43	1.4824
chr1_15322535_15360068	chr1	13	1140	2529	0.00514037	0.50772	45	1.1989
chr1_15360068_15419366	chr1	39	1787	4042	0.00964869	0.960517	196	3.3053
chr1_15419366_15470313	chr1	46	1616	4646	0.00990099	0.936434	125	2.4535
chr1_15470313_15742120	chr1	174	7624	24269	0.00716964	0.766825	913	3.359
chr1_15742120_15799466	chr1	41	1637	4612	0.00888985	0.934265	157	2.7378
chr1_15799466_16040454	chr1	170	6347	33682	0.00504721	0.574909	894	3.7097
chr1_16040454_16052154	chr1	22	424	2812	0.00782361	0.647662	119	10.1709
chr1_16052154_16116736	chr1	37	1947	4071	0.00908868	0.904414	368	5.6982
chr1_16116736_16165566	chr1	54	1346	8244	0.00655022	0.712884	115	2.3551
chr1_16165566_16220471	chr1	40	1551	6341	0.00630815	0.669921	232	4.2255
chr1_16220471_16407941	chr1	60	4727	11704	0.00512645	0.609936	580	3.0938
chr1_16407941_16479926	chr1	29	1958	3218	0.00901181	0.993945	252	3.5007
chr1_16479926_16857205	chr1	64	4266	12594	0.00508178	1.16959	608	1.6115
chr1_16857205_16975177	chr1	112	2854	10592	0.010574	1.31125	497	4.2129
chr1_16975177_17010026	chr1	48	1031	7813	0.00614361	0.622983	100	2.8695
chr1_17010026_17104073	chr1	62	2559	6631	0.00935002	1.03088	419	4.4552
chr1_17104073_17134576	chr1	11	808	1115	0.00986547	1.1173	93	3.0489
chr1_17134576_17171239	chr1	1	1121	222	0.0045045	0.441968	136	3.7095
chr1_17171239_17214200	chr1	4	1497	774	0.00516796	0.444931	168	3.9105
chr1_17214200_17222032	chr1	0	294	44	0	0	16	2.0429
chr1_17222032_17229436	chr1	15	282	1065	0.0140845	1.10938	2	0.2701
chr1_17229436_17236721	chr1	3	253	737	0.00407056	0.351628	34	4.6671
chr1_17236721_17271815	chr1	33	1073	3259	0.0101258	0.993537	90	2.5645
chr1_17271815_17310923	chr1	27	1230	2357	0.0114552	1.09266	194	4.9606
chr1_17310923_17352277	chr1	19	1442	1505	0.0126246	1.08615	176	4.2559
chr1_17352277_17381263	chr1	17	1018	1944	0.00874486	0.746989	67	2.3115
chr1_17381263_17475388	chr1	20	3064	7140	0.00280112	0.258148	286	3.0385
chr1_17475388_17548912	chr1	6	2047	880	0.00681818	0.734685	92	1.2513
chr1_17548912_17583006	chr1	10	1012	763	0.0131062	1.32463	24	0.7039
chr1_17583006_17593322	chr1	6	338	464	0.012931	1.18399	15	1.4541
chr1_17593322_17640351	chr1	30	1524	5573	0.0053831	0.49835	51	1.0844
chr1_17640351_17694158	chr1	20	1738	2500	0.008	0.74302	34	0.6319
chr1_17694158_17718017	chr1	16	744	1206	0.013267	1.27636	4	0.1677
chr1_17718017_17758795	chr1	0	1282	174	0	0	21	0.515
chr1_17758795_17784206	chr1	0	786	322	0	0	2	0.0787
chr1_17784206_17805774	chr1	1	682	172	0.00581395	0.551592	42	1.9473
chr1_17805774_17825352	chr1	4	567	713	0.0056101	0.581135	0	0.0
chr1_17825352_17856722	chr1	6	897	1095	0.00547945	0.574884	11	0.3507
chr1_17856722_17884014	chr1	3	814	258	0.0116279	1.16959	8	0.2931
chr1_17884014_17937863	chr1	1	1692	275	0.00363636	0.347189	8	0.1486
chr1_17937863_17950986	chr1	1	475	13	0.0769231	6.37555	4	0.3048
chr1_17950986_17996991	chr1	3	1436	250	0.012	1.15333	8	0.1739
chr1_17996991_18006620	chr1	1	303	90	0.0111111	1.0593	9	0.9347
chr1_18006620_18028918	chr1	0	749	58	0	0	29	1.3006
chr1_18028918_18066997	chr1	3	1241	440	0.00681818	0.62763	42	1.103
chr1_18066997_18101121	chr1	1	1088	110	0.00909091	0.855381	34	0.9964
chr1_18101121_18113497	chr1	1	365	300	0.00333333	0.339068	28	2.2624
chr1_18113497_18133212	chr1	3	564	339	0.00884956	0.928027	21	1.0652
chr1_18133212_18161316	chr1	2	958	282	0.0070922	0.624173	29	1.0319
chr1_18161316_18164093	chr1	0	115	7	0	0	0	0.0
chr1_18164093_18186489	chr1	2	724	191	0.0104712	0.971739	22	0.9823
chr1_18186489_18227851	chr1	4	1309	332	0.0120482	1.1421	81	1.9583
chr1_18227851_18243016	chr1	5	484	484	0.0103306	0.971053	22	1.4507
chr1_18243016_18253174	chr1	0	314	7	0	0	0	0.0
chr1_18253174_18283612	chr1	3	982	370	0.00810811	0.753955	9	0.2957
chr1_18283612_18319588	chr1	9	1119	875	0.0102857	0.992061	20	0.5559
chr1_18319588_18336987	chr1	8	584	625	0.0128	1.14404	4	0.2299
chr1_18336987_18377178	chr1	18	1285	1937	0.00929272	0.871946	56	1.3933
chr1_18377178_18407223	chr1	3	929	426	0.00704225	0.683265	34	1.1316
chr1_18407223_18440319	chr1	0	999	264	0	0	28	0.846
chr1_18440319_18454102	chr1	0	442	41	0	0	48	3.4826
chr1_18454102_18488551	chr1	33	1034	2815	0.0117229	1.17169	129	3.7447
chr1_18488551_18545596	chr1	2	1696	226	0.00884956	0.892965	132	2.314
chr1_18545596_18578075	chr1	1	1001	185	0.00540541	0.52616	16	0.4926
chr1_18578075_18597677	chr1	0	570	105	0	0	1	0.051
chr1_18597677_18634767	chr1	14	1156	1817	0.00770501	0.74164	13	0.3505
chr1_18634767_18677099	chr1	25	1116	4566	0.00547525	0.62306	24	0.5669
chr1_18677099_18705778	chr1	10	900	1687	0.00592768	0.566667	10	0.3487
chr1_18705778_18718383	chr1	4	415	698	0.00573066	0.52218	8	0.6347
chr1_18718383_18724413	chr1	4	230	391	0.0102302	0.804626	1	0.1658
chr1_18724413_18732251	chr1	6	275	727	0.00825309	0.705685	14	1.7862
chr1_18732251_18779086	chr1	21	1585	1808	0.011615	1.02964	100	2.1352
chr1_18779086_18807496	chr1	3	929	615	0.00487805	0.447531	20	0.704
chr1_18807496_18852250	chr1	16	1605	1704	0.00938967	0.785468	25	0.5586
chr1_18852250_18878764	chr1	42	953	3076	0.0136541	1.13964	77	2.9041
chr1_18878764_18913701	chr1	29	1122	4337	0.00668665	0.62463	96	2.7478
chr1_18913701_18964100	chr1	32	1461	4624	0.00692042	0.716185	161	3.1945
chr1_18964100_19064683	chr1	9	2956	1175	0.00765957	0.781891	432	4.295
