rank	avi_constraint_percentile	block_id	chrom	start	end	length_bp	avi_top1_fraction	avi_max	avi_top10_mean	avi_top1_count	avi_top1_per_kb	avi_top1_mean	avi_mean	n_scored
43	99.8925	chr17_7341158_7361007	chr17	7341158	7361007	19849	0.12222278	58.90507	54.385939	7278	366.66835	25.418084	8.2365945	59547
44	99.89	chr8_143896067_143969375	chr8	143896067	143969375	73308	0.12201942	59.33338	55.242689	26835	366.05827	24.629763	7.7764603	219924
45	99.8874	chr17_1626977_1692087	chr17	1626977	1692087	65110	0.11984334	65.55954	59.617787	23409	359.53003	26.794082	7.4811866	195330
46	99.8848	chr9_35679064_35779428	chr9	35679064	35779428	100364	0.11954818	65.75904	63.60074	35995	358.64453	25.745403	8.7653398	301092
47	99.8823	chr17_40060269_40098436	chr17	40060269	40098436	38167	0.11945747	69.50959	57.940652	13678	358.37242	24.049754	9.6347245	114501
48	99.8797	chr5_141341879_141498338	chr5	141341879	141498338	156459	0.11919843	63.94898	52.243983	55949	357.59528	24.404771	8.1815493	469377
49	99.8772	chr6_33168368_33230483	chr6	33168368	33230483	62115	0.11888164	61.83944	58.857373	22153	356.64493	25.347996	7.9077506	186345
50	99.8746	chr19_7526703_7544259	chr19	7526703	7544259	17556	0.11859193	58.27517	50.658741	6246	355.7758	25.33284	7.416728	52668
51	99.872	chr6_44228841_44258458	chr6	44228841	44258458	29617	0.11726373	66.2084	55.788459	10419	351.7912	25.88574	7.7475134	88851
52	99.8695	chr2_235034523_235045195	chr2	235034523	235045195	10672	0.1160982	45.26661	40.404058	3717	348.2946	24.700301	6.5642803	32016
53	99.8669	chr7_143378868_143396079	chr7	143378868	143396079	17211	0.11585614	67.3561	54.872337	5982	347.56842	24.963617	9.0161978	51633
54	99.8644	chr1_161193247_161218859	chr1	161193247	161218859	25612	0.115727	57.35471	51.731389	8892	347.18101	25.411986	8.5566665	76836
55	99.8618	chr1_21817172_21858967	chr1	21817172	21858967	41795	0.11510946	56.45831	53.893353	14433	345.32839	25.121465	7.4607109	125385
56	99.8592	chr17_50161696_50196376	chr17	50161696	50196376	34680	0.11484045	57.98992	51.906381	11948	344.52134	25.911987	8.0210598	104040
57	99.8567	chr6_32145794_32184665	chr6	32145794	32184665	38871	0.11460986	61.80945	55.186924	13365	343.82959	25.136468	8.9239323	116613
58	99.8541	chr2_219199061_219292696	chr2	219199061	219292696	93635	0.11391396	63.01174	58.585136	31999	341.74187	25.369655	8.8297809	280905
59	99.8516	chr6_31936529_32107027	chr6	31936529	32107027	170498	0.11336203	65.75904	60.10726	57984	340.0861	25.004955	7.720456	511494
60	99.849	chr14_21020885_21030913	chr14	21020885	21030913	10028	0.11321633	67.14676	52.237574	3406	339.64898	24.648264	10.066554	30084
61	99.8464	chr14_24147569_24173816	chr14	24147569	24173816	26247	0.11296529	62.10722	54.250853	8895	338.89587	25.702974	8.0981135	78741
62	99.8439	chr19_42259242_42388711	chr19	42259242	42388711	129469	0.11295111	72.84097	63.054317	43871	338.85332	25.238525	7.9041033	388407
63	99.8413	chr17_39181928_39189725	chr17	39181928	39189725	7797	0.11273567	53.49955	46.447261	2637	338.207	26.098598	8.131993	23391
64	99.8388	chr8_144447145_144525122	chr8	144447145	144525122	77977	0.1126315	55.43461	53.69156	26348	337.89451	24.907341	7.9654638	233931
65	99.8362	chr5_151537984_151567405	chr5	151537984	151567405	29421	0.112516	61.73901	51.571983	9931	337.54801	24.670668	7.6003174	88263
66	99.8336	chr7_27165663_27181212	chr7	27165663	27181212	15549	0.11199005	51.37145	46.08618	5224	335.97016	23.268061	10.283666	46647
67	99.8311	chr17_10617383_10657443	chr17	10617383	10657443	40060	0.1118905	67.91691	61.681199	13447	335.67149	26.063216	6.5578622	120180
68	99.8285	chr14_21067255_21121723	chr14	21067255	21121723	54468	0.11183325	60.85982	55.564841	18274	335.49974	24.287335	9.1905597	163404
69	99.826	chr9_113387829_113394916	chr9	113387829	113394916	7087	0.11147171	55.17471	48.180145	2370	334.41513	25.790311	7.8156057	21261
70	99.8234	chr1_155007875_155056777	chr1	155007875	155056777	48902	0.11109293	55.55776	47.735414	16298	333.2788	23.948879	8.3851192	146706
71	99.8209	chr17_1708139_1756093	chr17	1708139	1756093	47954	0.11099526	61.38262	56.95209	15968	332.98578	24.694346	8.4829076	143862
72	99.8183	chr7_128349210_128361523	chr7	128349210	128361523	12313	0.1109938	47.48488	45.655786	4100	332.9814	24.041464	8.875043	36939
73	99.8157	chr11_45892911_45927650	chr11	45892911	45927650	34739	0.11095119	58.41829	52.028308	11563	332.85357	25.067613	8.0855113	104217
74	99.8132	chr9_132985422_132991306	chr9	132985422	132991306	5884	0.11075232	53.00534	43.751236	1955	332.25697	25.792807	6.7732037	17652
75	99.8106	chr10_102392676_102451301	chr10	102392676	102451301	58625	0.11043639	70.00637	58.565205	19423	331.30917	24.879281	8.5716744	175875
76	99.8081	chr17_29562968_29599411	chr17	29562968	29599411	36443	0.11025437	59.37799	52.287393	12054	330.76311	24.850934	9.4732583	109329
77	99.8055	chr6_31603888_31707520	chr6	31603888	31707520	103632	0.11020727	66.1674	59.754758	34263	330.62182	25.455235	7.8095335	310896
78	99.8029	chr14_23055257_23104312	chr14	23055257	23104312	49055	0.10989705	64.06672	55.982558	16173	329.69116	24.350029	9.2274845	147165
79	99.8004	chr8_143786838_143867013	chr8	143786838	143867013	80175	0.10931088	60.41217	56.576193	26292	327.93265	24.937282	7.3773383	240525
80	99.7978	chr19_56621088_56626903	chr19	56621088	56626903	5815	0.10914302	36.80806	35.480725	1904	327.42906	24.624192	6.209276	17445
81	99.7953	chr7_155801600_155814531	chr7	155801600	155814531	12931	0.10906607	51.9411	46.077854	4231	327.19821	24.334108	9.6703329	38793
82	99.7927	chr12_6540374_6624723	chr12	6540374	6624723	84349	0.10863595	66.5733	61.137591	27490	325.90784	25.770569	7.9674094	253047
83	99.7901	chr8_22088790_22134128	chr8	22088790	22134128	45338	0.10839325	62.10722	56.980483	14743	325.17976	24.30127	8.6814481	136014
84	99.7876	chr14_23520609_23603356	chr14	23520609	23603356	82747	0.10813282	55.26404	51.87283	26843	324.39847	24.598885	8.5248876	248241
85	99.785	chr15_93045059_93048663	chr15	93045059	93048663	3604	0.10812061	46.10033	40.63517	1169	324.36182	25.203359	6.1738634	10812
86	99.7825	chr9_137142184_137245652	chr9	137142184	137245652	103468	0.10773379	58.16721	54.471523	33441	323.20138	25.130021	7.3943609	310404
87	99.7799	chr3_9709524_9748794	chr3	9709524	9748794	39270	0.10761395	73.40135	56.260005	12678	322.84186	25.799513	8.1054863	117810
88	99.7773	chr6_106083391_106114033	chr6	106083391	106114033	30642	0.10722755	55.96718	49.72987	9857	321.68266	23.5184	10.095542	91926
89	99.7748	chr1_43945917_44021596	chr1	43945917	44021596	75679	0.10717196	62.12127	59.759389	24332	321.51588	25.094843	9.1050491	227037
90	99.7722	chr11_117428557_117444334	chr11	117428557	117444334	15777	0.10652638	66.91057	50.007731	5042	319.57913	24.889171	6.5664383	47331
91	99.7697	chr17_7442983_7509719	chr17	7442983	7509719	66736	0.10619955	60.51081	52.464313	21262	318.59866	25.746761	8.187818	200208
92	99.7671	chr16_88703001_88748968	chr16	88703001	88748968	45967	0.10605434	60.13408	53.726448	14625	318.16303	25.375511	6.9530154	137901
93	99.7645	chr16_2070401_2156590	chr16	2070401	2156590	86189	0.1055007	60.16725	56.116209	27279	316.50211	24.961521	7.3809123	258567
94	99.762	chr19_49125608_49161293	chr19	49125608	49161293	35685	0.10528233	61.68056	56.825578	11271	315.84699	25.742205	7.6814465	107055
95	99.7594	chr12_55716492_55732585	chr12	55716492	55732585	16093	0.10476605	63.26549	51.658245	5058	314.29814	25.231372	9.066738	48279
96	99.7569	chr14_24256689_24334882	chr14	24256689	24334882	78193	0.10468542	64.84975	60.027105	24557	314.05625	25.463655	8.3120469	234579
97	99.7543	chr11_64716177_64819712	chr11	64716177	64819712	103535	0.10438338	62.22901	58.343501	32422	313.15014	25.350516	8.1002709	310605
98	99.7518	chr19_1050131_1076026	chr19	1050131	1076026	25895	0.10403553	61.44404	53.250958	8082	312.10658	24.682963	7.0270875	77685
99	99.7492	chr19_49636811_49683022	chr19	49636811	49683022	46211	0.10387137	62.33316	55.991165	14400	311.61412	25.041948	7.52498	138633
100	99.7466	chr16_72945504_72970638	chr16	72945504	72970638	25134	0.10383014	41.09151	40.718049	7829	311.49041	24.503661	7.8262029	75402
101	99.7441	chr7_151195473_151252440	chr7	151195473	151252440	56967	0.10328787	64.62246	56.745542	17652	309.86361	25.235038	7.5060132	170901
102	99.7415	chr2_163583500_163617371	chr2	163583500	163617371	33871	0.1028707	46.83037	44.681138	10453	308.61209	22.715563	9.6410787	101613
103	99.739	chr2_26455239_26495076	chr2	26455239	26495076	39837	0.10264327	56.80657	52.504362	12267	307.92981	25.654271	7.1843719	119511
104	99.7364	chr16_1947613_1978401	chr16	1947613	1978401	30788	0.10263739	62.67515	57.673151	9480	307.91217	25.973909	6.8327595	92364
105	99.7338	chr12_52805078_52815350	chr12	52805078	52815350	10272	0.10199247	58.15108	48.811884	3143	305.97741	24.675214	7.4166958	30816
106	99.7313	chr2_219435649_219470339	chr2	219435649	219470339	34690	0.10186413	56.16741	51.332974	10601	305.59239	23.769428	8.5886852	104070
107	99.7287	chr19_54449996_54475712	chr19	54449996	54475712	25716	0.10185617	68.95902	54.105885	7858	305.56852	24.969638	6.9864437	77148
108	99.7262	chr17_4527663_4552908	chr17	4527663	4552908	25245	0.10178913	58.87835	50.127159	7709	305.3674	24.644534	7.5125242	75735
109	99.7236	chr10_129942928_129960038	chr10	129942928	129960038	17110	0.10155854	48.79876	42.86523	5213	304.67563	22.028123	10.365427	51330
110	99.721	chr13_23311144_23395536	chr13	23311144	23395536	84392	0.10134847	65.96818	54.249974	25659	304.04541	25.502433	6.9423108	253176
111	99.7185	chr1_10629885_10702147	chr1	10629885	10702147	72262	0.10121502	61.97708	53.678984	21942	303.64507	23.796183	8.6396332	216786
112	99.7159	chr16_2156590_2245074	chr16	2156590	2245074	88484	0.10111433	56.9727	54.408083	26841	303.34298	25.310059	7.4737487	265452
113	99.7134	chr2_218395121_218404080	chr2	218395121	218404080	8959	0.099899542	58.48906	45.543249	2685	299.69863	24.238967	8.468978	26877
114	99.7108	chr19_10103913_10123934	chr19	10103913	10123934	20021	0.099711969	57.96826	53.526859	5989	299.13591	25.520609	7.0413595	60063
115	99.7082	chr22_19759559_19773105	chr22	19759559	19773105	13546	0.098749938	48.4736	45.561118	4013	296.24982	24.885571	7.8764135	40638
116	99.7057	chr14_24074664_24147569	chr14	24074664	24147569	72905	0.097821366	65.50668	58.901973	21395	293.4641	25.559003	8.3529588	218715
117	99.7031	chr19_1437186_1475392	chr19	1437186	1475392	38206	0.097785688	53.65451	50.487252	11208	293.35706	25.397974	6.7307934	114618
118	99.7006	chr1_159913686_159943258	chr1	159913686	159943258	29572	0.097693764	66.86245	55.445689	8667	293.08129	24.795038	8.3328123	88716
119	99.698	chr7_151069712_151132134	chr7	151069712	151132134	62422	0.097556417	60.46121	55.723027	18269	292.66925	25.085963	7.7474964	187266
120	99.6954	chr8_144350943_144447145	chr8	144350943	144447145	96202	0.097451196	60.51081	56.525785	28125	292.35359	25.562979	6.8959647	288606
121	99.6929	chr17_47803382_47853174	chr17	47803382	47853174	49792	0.097177592	61.11654	56.485882	14516	291.53278	25.074633	7.7896674	149376
122	99.6903	chr11_61762358_61771548	chr11	61762358	61771548	9190	0.097170838	54.79737	48.613906	2679	291.51251	23.448698	7.8449825	27570
123	99.6878	chr7_151026178_151069712	chr7	151026178	151069712	43534	0.096560543	68.78798	60.824485	12611	289.68163	25.243972	7.6816639	130602
124	99.6852	chr2_176062438_176113673	chr2	176062438	176113673	51235	0.096190755	55.17471	44.937126	14785	288.57227	23.539938	9.178351	153705
125	99.6827	chr3_62367645_62386263	chr3	62367645	62386263	18618	0.095839152	42.7098	41.48404	5353	287.51746	23.755149	8.3526197	55854
126	99.6801	chr2_144373760_144464070	chr2	144373760	144464070	90310	0.09519064	72.40007	58.194629	25790	285.57192	22.811012	10.125667	270930
127	99.6775	chr11_786234_827993	chr11	786234	827993	41759	0.095061344	73.76918	55.90184	11909	285.18403	25.182543	7.3128838	125277
128	99.675	chr12_56228477_56360038	chr12	56228477	56360038	131561	0.094815333	65.44583	60.156958	37422	284.446	25.283504	8.062455	394683
129	99.6724	chr15_40257672_40311485	chr15	40257672	40311485	53813	0.094698307	62.73947	57.576252	15288	284.09492	25.085392	8.3321231	161439
130	99.6699	chr12_57476372_57610139	chr12	57476372	57610139	133767	0.09451509	62.8711	59.125015	37929	283.54527	24.988122	8.1031258	401301
131	99.6673	chr19_49794860_49897842	chr19	49794860	49897842	102982	0.094039088	69.53354	60.107692	29053	282.11726	25.585765	6.919679	308946
132	99.6647	chr12_6826466_6956472	chr12	6826466	6956472	130006	0.094016174	69.55019	62.18958	36668	282.04852	25.634495	7.7968227	390018
133	99.6622	chr16_2713244_2776597	chr16	2713244	2776597	63353	0.093976081	65.90057	51.033988	17861	281.92824	24.537242	6.6622694	190059
134	99.6596	chr19_1093669_1115783	chr19	1093669	1115783	22114	0.093726448	61.97708	55.003993	6218	281.17934	26.090387	6.797884	66342
135	99.6571	chr8_8879954_8900548	chr8	8879954	8900548	20594	0.093651873	45.37908	41.549348	5786	280.95562	25.215243	7.1577277	61782
136	99.6545	chr8_22688278_22711344	chr8	22688278	22711344	23066	0.093528715	53.40084	43.248197	6472	280.58614	23.347431	8.2769099	69198
137	99.6519	chr12_56098096_56228477	chr12	56098096	56228477	130381	0.093523341	68.31176	62.353092	36581	280.57002	25.739322	7.8392877	391143
138	99.6494	chr4_80070122_80072464	chr4	80070122	80072464	2342	0.093509821	54.91725	45.361449	657	280.52946	24.254648	11.125464	7026
139	99.6468	chr19_48433902_48500494	chr19	48433902	48500494	66592	0.093454669	62.13531	55.367578	18670	280.36401	24.77916	6.9795504	199776
140	99.6443	chr22_20968216_20988220	chr22	20968216	20988220	20004	0.093381324	56.69809	51.263673	5604	280.14397	25.78351	7.0424245	60012
141	99.6417	chr16_638557_668514	chr16	638557	668514	29957	0.093267016	52.6492	48.30862	8382	279.80105	24.612175	7.2152576	89871
142	99.6391	chr11_65597847_65725778	chr11	65597847	65725778	127931	0.093151777	65.86255	56.765236	35751	279.45533	25.369057	6.8284173	383793
143	99.6366	chr14_101949394_102065187	chr14	101949394	102065187	115793	0.093077014	68.80662	60.719196	32333	279.23104	26.676847	5.8424441	347379
144	99.634	chr17_4910822_5032883	chr17	4910822	5032883	122061	0.092811518	65.44583	60.067614	33986	278.43455	25.388617	7.5511231	366183
145	99.6315	chr17_78484296_78492202	chr17	78484296	78492202	7906	0.092798718	46.34193	41.490871	2201	278.39615	25.580045	5.8740226	23718
146	99.6289	chr1_34903159_34913978	chr1	34903159	34913978	10819	0.092768894	51.48095	42.3595	3011	278.30668	23.567947	8.8838868	32457
147	99.6264	chr19_6722011_6745127	chr19	6722011	6745127	23116	0.09227375	56.83144	51.723995	6399	276.82125	24.744463	7.6579544	69348
148	99.6238	chr17_78115987_78132581	chr17	78115987	78132581	16594	0.09196095	56.63178	51.282113	4578	275.88285	24.777147	7.3392837	49782
149	99.6212	chr19_40574908_40640518	chr19	40574908	40640518	65610	0.091937205	63.59096	56.528249	18096	275.81161	25.378035	7.3292483	196830
150	99.6187	chr17_44078470_44114525	chr17	44078470	44114525	36055	0.091924375	60.75891	50.626171	9943	275.77312	24.892641	7.79566	108165
151	99.6161	chr11_6531062_6551738	chr11	6531062	6551738	20676	0.091797253	58.00546	51.347546	5694	275.39176	24.703152	7.7513885	62028
152	99.6136	chr11_64339478_64386086	chr11	64339478	64386086	46608	0.09156511	60.41217	55.404992	12803	274.69533	25.310615	7.0857886	139824
153	99.611	chr11_118441154_118532247	chr11	118441154	118532247	91093	0.091441347	60.85982	56.262013	24989	274.32404	25.578914	7.6394392	273279
154	99.6084	chr17_2021633_2105644	chr17	2021633	2105644	84011	0.091281697	65.09754	55.004309	23006	273.84509	23.477784	8.5559833	252033
155	99.6059	chr11_119308942_119344455	chr11	119308942	119344455	35513	0.091234196	62.64331	53.790951	9720	273.70259	24.433617	7.7424816	106539
156	99.6033	chr17_41500927_41512819	chr17	41500927	41512819	11892	0.091041597	58.78794	51.908328	3248	273.12479	25.191569	7.4070315	35676
157	99.6008	chr5_141830795_141867070	chr5	141830795	141867070	36275	0.090833908	50.02368	43.212485	9885	272.50172	23.574156	8.8819961	108825
158	99.5982	chr19_51712617_51725794	chr19	51712617	51725794	13177	0.090738914	46.94261	43.046322	3587	272.21674	25.624125	5.8561922	39531
159	99.5956	chr1_3403912_3416119	chr1	3403912	3416119	12207	0.090685672	51.9411	43.165278	3321	272.05702	25.219997	5.522619	36621
160	99.5931	chr17_78492202_78504290	chr17	78492202	78504290	12088	0.090668432	53.20425	47.503364	3288	272.00529	25.73044	5.4219774	36264
161	99.5905	chr19_7598431_7668027	chr19	7598431	7668027	69596	0.090613445	65.74052	59.550437	18919	271.84034	25.583913	6.5175083	208788
162	99.588	chr16_3013148_3056358	chr16	3013148	3056358	43210	0.090542313	75.53089	59.400544	11737	271.62694	24.713665	7.3127544	129630
163	99.5854	chr19_38455211_38497672	chr19	38455211	38497672	42461	0.090357426	56.23626	51.935608	11510	271.07228	26.001341	6.1040426	127383
164	99.5828	chr15_36885486_36911898	chr15	36885486	36911898	26412	0.090034833	53.10592	45.194885	7134	270.1045	22.093704	10.338435	79236
165	99.5803	chr17_7385114_7411900	chr17	7385114	7411900	26786	0.090009707	57.98992	52.120882	7233	270.02912	23.986502	8.3399903	80358
166	99.5777	chr15_90901110_90956583	chr15	90901110	90956583	55473	0.089923627	61.88865	57.707836	14965	269.77088	25.428232	6.8494841	166419
167	99.5752	chr11_2409290_2424912	chr11	2409290	2424912	15622	0.089873256	53.65451	48.392662	4212	269.61977	24.704278	6.3057438	46866
168	99.5726	chr17_7784864_7818503	chr17	7784864	7818503	33639	0.089846111	61.50633	55.241775	9067	269.53833	25.091489	6.3279137	100917
169	99.57	chr17_79943122_79952494	chr17	79943122	79952494	9372	0.089806516	54.49922	49.426105	2525	269.41955	25.547727	7.3718278	28116
170	99.5675	chr17_50565660_50609337	chr17	50565660	50609337	43677	0.089719227	56.80657	51.660671	11756	269.15768	25.350107	8.1025733	131031
171	99.5649	chr17_50515342_50548182	chr17	50515342	50548182	32840	0.089514819	61.40981	55.662002	8819	268.54446	24.562713	7.9980236	98520
172	99.5624	chr7_94392234_94429924	chr7	94392234	94429924	37690	0.089510922	67.32943	56.056174	10121	268.53277	26.339123	8.5516824	113070
173	99.5598	chr19_1002190_1050131	chr19	1002190	1050131	47941	0.089415462	56.74674	51.427861	12860	268.24639	25.108346	6.6216093	143823
174	99.5573	chr12_48759242_48796041	chr12	48759242	48796041	36799	0.089323079	69.48769	55.805956	9861	267.96924	25.437066	7.8829625	110397
175	99.5547	chr2_219562958_219589342	chr2	219562958	219589342	26384	0.089094401	55.19586	50.22474	7052	267.2832	24.936082	7.1718731	79152
176	99.5521	chr12_47981692_48009982	chr12	47981692	48009982	28290	0.088912454	49.47799	45.036471	7546	266.73736	25.068648	7.5968022	84870
177	99.5496	chr1_156845318_156867624	chr1	156845318	156867624	22306	0.088884904	50.92762	46.098213	5948	266.65471	24.276598	7.6096291	66918
178	99.547	chr8_122942478_122956965	chr8	122942478	122956965	14487	0.088700214	51.26333	43.732212	3855	266.10064	25.135794	6.5318017	43461
179	99.5445	chr2_74449014_74513067	chr2	74449014	74513067	64053	0.088624524	73.71997	59.050798	17030	265.87357	24.872886	7.6514263	192159
180	99.5419	chr16_30900629_30999862	chr16	30900629	30999862	99233	0.088387935	62.62975	57.301578	26313	265.16381	24.888684	7.2842886	297699
181	99.5393	chr19_50652065_50690186	chr19	50652065	50690186	38121	0.088157883	57.46051	49.907456	10082	264.47365	24.699474	6.7097044	114363
182	99.5368	chr1_7661288_7677591	chr1	7661288	7677591	16303	0.08802061	49.45881	44.328257	4305	264.06183	24.868659	6.1226809	48909
183	99.5342	chr6_7573350_7626897	chr6	7573350	7626897	53547	0.087773358	65.19423	55.369009	14100	263.32007	25.147001	6.6208913	160641
184	99.5317	chr19_55459618_55503257	chr19	55459618	55503257	43639	0.08757457	56.52422	49.493114	11465	262.72371	25.059131	6.8796965	130917
185	99.5291	chr11_77172804_77210681	chr11	77172804	77210681	37877	0.08750253	57.82257	55.425992	9943	262.50759	26.231608	6.5379285	113631
186	99.5265	chr19_12661449_12793586	chr19	12661449	12793586	132137	0.087444597	71.43499	62.480887	34664	262.33379	25.212829	6.9823237	396411
187	99.524	chr6_31707520_31872848	chr6	31707520	31872848	165328	0.087355641	72.42464	60.078116	43327	262.06692	25.164248	7.038794	495984
188	99.5214	chr19_39393348_39418338	chr19	39393348	39418338	24990	0.087341603	55.43461	49.67329	6548	262.02481	24.563773	7.3931388	74970
189	99.5189	chr17_2687304_2730030	chr17	2687304	2730030	42726	0.087339481	64.11734	56.521646	11195	262.01844	25.372126	7.1557203	128178
190	99.5163	chr19_35519906_35557839	chr19	35519906	35557839	37933	0.087338202	75.3988	55.97038	9939	262.0146	25.924173	6.9545735	113799
191	99.5137	chr21_26837076_26857883	chr21	26837076	26857883	20807	0.0872623	59.14723	51.974113	5447	261.7869	25.589337	6.772849	62421
192	99.5112	chr2_215370815_215392258	chr2	215370815	215392258	21443	0.087176856	69.55019	59.329836	5608	261.53057	25.323205	7.1916537	64329
