block_id	chrom	start	end	length_bp	n_positions	n_variant_alleles	n_scored	n_missing_avi	avi_max	avi_top10_mean	avi_top1_count	avi_top1_fraction	avi_top1_per_kb	avi_top1_mean	avi_mean
chr1_3416119_3435977	chr1	3416119	3435977	19858	19858	59574	59574	0	54.08246	48.917201	2409	0.040437103	121.31131	25.263423	4.5918834
chr1_3435977_3488732	chr1	3435977	3488732	52755	52755	158265	158265	0	59.14723	49.154449	3966	0.025059236	75.177708	24.653231	4.1169926
chr1_3488732_3542633	chr1	3488732	3542633	53901	53901	161703	161703	0	54.34173	48.692284	7151	0.044223051	132.66915	25.298397	5.0116075
chr1_3542633_3569559	chr1	3542633	3569559	26926	26926	80778	80778	0	26.09553	25.418346	425	0.0052613335	15.784001	21.681827	3.7389158
chr1_3569559_3597419	chr1	3569559	3597419	27860	27860	83580	83580	0	44.77039	37.48212	427	0.0051088777	15.326633	24.606855	3.6940531
chr1_3597419_3658462	chr1	3597419	3658462	61043	61043	183129	183129	0	56.36555	49.157983	5228	0.028548182	85.644546	25.109307	4.3888803
chr1_3658462_3666645	chr1	3658462	3666645	8183	8183	24549	24549	0	24.95191	24.169636	80	0.0032587885	9.7763656	21.767841	4.328038
chr1_3666645_3687362	chr1	3666645	3687362	20717	20717	62151	62151	0	41.43219	36.302812	641	0.010313591	30.940773	23.176046	4.3069021
chr1_3687362_3716816	chr1	3687362	3716816	29454	29454	88362	88362	0	46.99447	40.134645	1552	0.017564111	52.692334	23.214443	4.1694566
chr1_3716816_3764165	chr1	3716816	3764165	47349	47349	142047	142047	0	49.38269	45.84323	4503	0.031700775	95.102325	24.938782	4.4362118
chr1_3764165_3816032	chr1	3764165	3816032	51867	51867	155601	155601	0	59.17566	52.645912	4131	0.026548673	79.646018	24.89486	4.7603794
chr1_3816032_3867334	chr1	3816032	3867334	51302	51302	153906	153906	0	62.62975	55.11713	5122	0.033280054	99.840162	25.616402	4.4436923
chr1_3867334_3881836	chr1	3867334	3881836	14502	14502	43506	43506	0	55.50406	42.406328	655	0.015055395	45.166184	26.260181	4.1026519
chr1_3881836_3918389	chr1	3881836	3918389	36553	36553	109659	109659	0	52.19453	44.510098	1383	0.012611824	37.835472	25.299302	3.8301082
chr1_3918389_3942706	chr1	3918389	3942706	24317	24317	72951	72951	0	22.86248	21.838406	50	0.00068539156	2.0561747	20.823514	2.9806527
chr1_3942706_3950282	chr1	3942706	3950282	7576	7576	22728	22728	0	24.02482	22.853207	88	0.0038718761	11.615628	21.374917	3.0460731
chr1_3950282_3995220	chr1	3950282	3995220	44938	44938	134814	134814	0	24.23259	23.3826	92	0.00068242171	2.0472651	21.542943	2.8283825
chr1_3995220_4046591	chr1	3995220	4046591	51371	51371	154113	154113	0	21.62291	20.965138	26	0.00016870738	0.50612213	20.575678	2.9046719
chr1_4046591_4093147	chr1	4046591	4093147	46556	46556	139668	139668	0	24.11089	23.688045	133	0.00095225821	2.8567746	21.256556	2.6564168
chr1_4093147_4120746	chr1	4093147	4120746	27599	27599	82797	82797	0	22.3389	20.616492	8	9.6621858e-05	0.28986557	20.907107	2.8135246
chr1_4120746_4174752	chr1	4120746	4174752	54006	54006	162018	162018	0	23.67803	22.275742	127	0.00078386352	2.3515906	20.983566	2.5383315
chr1_4174752_4226801	chr1	4174752	4226801	52049	52049	156147	156147	0	21.7498	20.754402	25	0.00016010554	0.48031662	20.474701	2.6709544
chr1_4226801_4236223	chr1	4226801	4236223	9422	9422	28266	28266	0	22.71312	21.530996	12	0.00042453831	1.2736149	21.289887	2.4765171
chr1_4236223_4307920	chr1	4236223	4307920	71697	71697	215091	215091	0	23.13547	22.307518	43	0.00019991538	0.59974615	21.039436	2.7514805
chr1_4307920_4320284	chr1	4307920	4320284	12364	12364	37092	37092	0	21.99474	19.588708	4	0.00010783997	0.3235199	21.095868	2.8357664
chr1_4320284_4359937	chr1	4320284	4359937	39653	39653	118959	118959	0	22.23222	21.747973	54	0.00045393791	1.3618137	20.927993	2.5477277
chr1_4359937_4454029	chr1	4359937	4454029	94092	94092	282276	282276	0	25.40092	24.174039	175	0.00061996061	1.8598818	21.16336	2.4891267
chr1_4454029_4480984	chr1	4454029	4480984	26955	26955	80865	80865	0	20.68836	20.376345	18	0.00022259321	0.66777963	20.258887	2.3290184
chr1_4480984_4509635	chr1	4480984	4509635	28651	28651	85953	85953	0	23.58266	23.494245	40	0.00046537061	1.3961118	21.908446	2.2931726
chr1_4509635_4535091	chr1	4509635	4535091	25456	25456	76368	76368	0	21.22042	20.815642	10	0.0001309449	0.3928347	20.815642	2.4285209
chr1_4535091_4580842	chr1	4535091	4580842	45751	45751	137253	137253	0	22.8099	21.932813	108	0.00078686805	2.3606041	20.948688	2.6019183
chr1_4580842_4614369	chr1	4580842	4614369	33527	33527	100581	100581	0	23.33248	22.534832	134	0.0013322596	3.9967787	20.818182	2.6704357
chr1_4614369_4652381	chr1	4614369	4652381	38012	38012	114036	114036	0	24.10848	23.345275	124	0.0010873759	3.2621277	21.146725	2.5459055
chr1_4652381_4673288	chr1	4652381	4673288	20907	20907	62721	62721	0	40.61882	35.69458	828	0.01320132	39.60396	21.961853	4.6773342
chr1_4673288_4691841	chr1	4673288	4691841	18553	18553	55659	55659	0	24.68465	24.323634	306	0.0054977632	16.493289	21.77568	3.3723996
chr1_4691841_4711993	chr1	4691841	4711993	20152	20152	60456	60456	0	38.28085	34.892125	407	0.0067321689	20.196507	22.672997	3.5971073
chr1_4711993_4736498	chr1	4711993	4736498	24505	24505	73515	73515	0	47.16463	40.89148	682	0.0092770183	27.831055	23.374968	3.2767832
chr1_4736498_4755417	chr1	4736498	4755417	18919	18919	56757	56757	0	23.73169	23.118741	72	0.001268566	3.805698	21.294272	2.8241968
chr1_4755417_4793850	chr1	4755417	4793850	38433	38433	115299	115299	0	45.20908	41.903433	1303	0.011301052	33.903156	24.717249	3.5520396
chr1_4793850_4840415	chr1	4793850	4840415	46565	46565	139695	139695	0	23.29048	22.762351	120	0.00085901428	2.5770428	21.047225	2.9773792
chr1_4840415_4881350	chr1	4840415	4881350	40935	40935	122805	122805	0	21.42747	20.839029	30	0.00024428973	0.73286918	20.463796	2.8432055
chr1_4881350_4920299	chr1	4881350	4920299	38949	38949	116847	116847	0	23.25139	21.575229	29	0.0002481878	0.7445634	20.88232	2.408913
chr1_4920299_4942008	chr1	4920299	4942008	21709	21709	65127	65127	0	21.8011	21.341368	33	0.00050670229	1.5201069	20.735735	2.7264228
chr1_4942008_4959493	chr1	4942008	4959493	17485	17485	52455	52455	0	21.45192	21.123396	50	0.00095319798	2.8595939	20.678943	2.4429397
chr1_4959493_4978033	chr1	4959493	4978033	18540	18540	55620	55620	0	23.90195	22.962192	111	0.001995685	5.987055	21.081965	2.7894291
chr1_4978033_5030937	chr1	4978033	5030937	52904	52904	158712	158712	0	22.00344	21.654881	106	0.00066787641	2.0036292	20.805318	2.5016398
chr1_5030937_5076783	chr1	5030937	5076783	45846	45846	137538	137538	0	21.02554	20.924183	30	0.00021812154	0.65436461	20.711787	2.8114926
chr1_5076783_5082492	chr1	5076783	5082492	5709	5709	17127	17127	0	18.93204	18.542983	0	0	0		2.2606363
chr1_5082492_5162536	chr1	5082492	5162536	80044	80044	240132	240132	0	22.55711	21.778679	123	0.00051221828	1.5366548	20.853528	2.7064157
chr1_5162536_5200350	chr1	5162536	5200350	37814	37814	113442	113442	0	22.32271	21.64479	79	0.00069639111	2.0891733	20.807712	2.6937527
chr1_5200350_5251254	chr1	5200350	5251254	50904	50904	152712	152712	0	23.81459	23.150545	216	0.0014144272	4.2432815	21.055501	2.5958629
chr1_5251254_5287567	chr1	5251254	5287567	36313	36313	108939	108939	0	22.62552	21.08803	30	0.00027538347	0.82615041	20.763704	2.5466131
chr1_5287567_5297013	chr1	5287567	5297013	9446	9446	28338	28338	0	21.77981	21.469824	38	0.0013409556	4.0228668	20.799029	2.9588334
chr1_5297013_5343525	chr1	5297013	5343525	46512	46512	139536	139536	0	23.59681	23.416699	173	0.0012398234	3.7194702	21.065481	2.5577469
chr1_5343525_5411457	chr1	5343525	5411457	67932	67932	203796	203796	0	23.60702	23.375361	157	0.00077037822	2.3111347	21.143825	2.7578595
chr1_5411457_5479850	chr1	5411457	5479850	68393	68393	205179	205179	0	24.22143	23.477584	302	0.0014718855	4.4156566	21.243865	2.8510284
chr1_5479850_5514835	chr1	5479850	5514835	34985	34985	104955	104955	0	24.50351	23.235189	251	0.0023915011	7.1745034	21.079856	3.0903656
chr1_5514835_5571302	chr1	5514835	5571302	56467	56467	169401	169401	0	21.94302	21.605668	45	0.00026564188	0.79692564	20.84235	3.0010407
chr1_5571302_5599527	chr1	5571302	5599527	28225	28225	84675	84675	0	23.8811	22.687566	44	0.00051963389	1.5589017	21.196574	2.8225953
chr1_5599527_5618723	chr1	5599527	5618723	19196	19196	57588	57588	0	22.87296	22.064664	67	0.0011634368	3.4903105	20.935005	2.9719605
chr1_5618723_5629550	chr1	5618723	5629550	10827	10827	32481	32481	0	22.85542	22.082529	61	0.001878021	5.634063	20.945485	2.9260816
chr1_5629550_5649168	chr1	5629550	5649168	19618	19618	58854	58854	0	22.46008	22.011939	53	0.00090053352	2.7016006	21.051661	2.9826586
chr1_5649168_5684903	chr1	5649168	5684903	35735	35735	107205	107205	0	23.52752	23.264063	158	0.0014738119	4.4214356	21.124275	2.9580455
chr1_5684903_5725512	chr1	5684903	5725512	40609	40609	121827	121827	0	23.20076	22.425794	109	0.00089471135	2.6841341	20.896505	3.1051051
chr1_5725512_5745545	chr1	5725512	5745545	20033	20033	60099	60099	0	24.29175	22.774483	80	0.001331137	3.9934109	21.187708	2.830381
chr1_5745545_5780200	chr1	5745545	5780200	34655	34655	103965	103965	0	25.39466	24.624169	118	0.0011349974	3.4049921	21.558195	3.0559774
chr1_5780200_5841621	chr1	5780200	5841621	61421	61421	184263	184263	0	22.69091	22.040562	61	0.00033104856	0.99314567	20.955772	2.9192257
chr1_5841621_5854228	chr1	5841621	5854228	12607	12607	37821	37821	0	19.02967	18.086555	0	0	0		2.8093499
chr1_5854228_6003595	chr1	5854228	6003595	149367	149367	448101	448101	0	59.7804	53.100897	7410	0.01653645	49.609351	24.684316	4.2355581
chr1_6003595_6040795	chr1	6003595	6040795	37200	37200	111600	111600	0	44.80735	41.727034	802	0.0071863799	21.55914	22.974904	4.247736
chr1_6040795_6084675	chr1	6040795	6084675	43880	43880	131640	131640	0	50.43771	45.158123	1800	0.013673655	41.020966	23.818334	4.3929125
chr1_6084675_6137354	chr1	6084675	6137354	52679	52679	158037	158037	0	63.51835	57.52287	10487	0.066357878	199.07363	26.654636	5.6203698
chr1_6137354_6159303	chr1	6137354	6159303	21949	21949	65847	65847	0	59.30181	51.828017	4622	0.070193023	210.57907	26.339924	5.4986657
chr1_6159303_6198732	chr1	6159303	6198732	39429	39429	118287	118287	0	56.23626	49.827789	2651	0.022411592	67.234776	24.540695	4.6441768
chr1_6198732_6268780	chr1	6198732	6268780	70048	70048	210144	210144	0	68.75086	55.286211	10214	0.048604766	145.8143	24.377839	6.0994416
chr1_6268780_6363444	chr1	6268780	6363444	94664	94664	283992	283992	0	50.40919	47.080779	3232	0.011380602	34.141807	24.918996	4.4752407
chr1_6363444_6441736	chr1	6363444	6441736	78292	78292	234876	234876	0	53.49955	47.902456	4408	0.01876735	56.302049	24.324281	4.8255507
chr1_6441736_6502103	chr1	6441736	6502103	60367	60367	181101	181101	0	59.14723	52.343596	15036	0.083025494	249.07648	24.244316	7.2208317
chr1_6502103_6580056	chr1	6502103	6580056	77953	77953	233859	233859	0	64.38615	55.305016	6890	0.029462197	88.386592	24.544642	4.8097359
chr1_6580056_6734025	chr1	6580056	6734025	153969	153969	461907	461907	0	63.85812	58.325462	16477	0.035671683	107.01505	25.499125	5.1973116
chr1_6734025_6916308	chr1	6734025	6916308	182283	182283	546849	546849	0	55.75533	48.565328	4753	0.0086916132	26.07484	22.209199	5.2672289
chr1_6916308_6976742	chr1	6916308	6976742	60434	60434	181302	181302	0	26.61547	24.724931	1926	0.010623159	31.869477	21.326117	4.8902029
chr1_6976742_7046903	chr1	6976742	7046903	70161	70161	210483	210483	0	24.82667	24.797072	1186	0.0056346593	16.903978	21.24459	4.3603075
chr1_7046903_7069445	chr1	7046903	7069445	22542	22542	67626	67626	0	22.67341	22.075943	64	0.00094638157	2.8391447	20.963082	3.3622796
chr1_7069445_7109719	chr1	7069445	7109719	40274	40274	120822	120822	0	54.88678	49.886275	689	0.0057026038	17.107811	23.516841	4.5201301
chr1_7109719_7187141	chr1	7109719	7187141	77422	77422	232266	232266	0	24.39875	23.444482	696	0.0029965643	8.9896929	21.119651	3.8832259
chr1_7187141_7264899	chr1	7187141	7264899	77758	77758	233274	233274	0	55.94	53.102847	1513	0.006485935	19.457805	23.340565	4.4766274
chr1_7264899_7303439	chr1	7264899	7303439	38540	38540	115620	115620	0	24.892	24.349971	527	0.0045580349	13.674105	21.22132	4.6233967
chr1_7303439_7351991	chr1	7303439	7351991	48552	48552	145656	145656	0	26.0656	24.398504	547	0.0037554237	11.266271	21.209887	4.2439108
chr1_7351991_7429435	chr1	7351991	7429435	77444	77444	232332	232332	0	31.27938	25.094726	1073	0.0046183909	13.855173	21.171476	4.4588591
chr1_7429435_7449624	chr1	7429435	7449624	20189	20189	60567	60567	0	26.00619	23.26164	307	0.0050687668	15.2063	21.080158	4.0835225
chr1_7449624_7477070	chr1	7449624	7477070	27446	27446	82338	82338	0	46.60791	41.630845	738	0.0089630547	26.889164	23.623624	4.373975
chr1_7477070_7508211	chr1	7477070	7508211	31141	31141	93423	93423	0	24.38706	24.160429	762	0.0081564497	24.469349	21.322252	4.0867413
chr1_7508211_7547445	chr1	7508211	7547445	39234	39234	117702	117702	0	24.86817	23.962357	425	0.0036108137	10.832441	21.141928	4.3291055
chr1_7547445_7556533	chr1	7547445	7556533	9088	9088	27264	27264	0	24.01884	23.448194	67	0.0024574531	7.3723592	21.386392	4.6282273
chr1_7556533_7584742	chr1	7556533	7584742	28209	28209	84627	84627	0	24.67276	24.07276	393	0.004643908	13.931724	21.430779	3.8984127
chr1_7584742_7650389	chr1	7584742	7650389	65647	65647	196941	196941	0	41.65513	38.676868	1452	0.0073727665	22.118299	22.881756	4.6625264
chr1_7650389_7661288	chr1	7650389	7661288	10899	10899	32697	32697	0	25.1707	24.69444	182	0.0055662599	16.69878	21.663552	3.9408886
chr1_7661288_7677591	chr1	7661288	7677591	16303	16303	48909	48909	0	49.45881	44.328257	4305	0.08802061	264.06183	24.868659	6.1226809
chr1_7677591_7739126	chr1	7677591	7739126	61535	61535	184605	184605	0	54.60962	47.356571	3747	0.020297392	60.892175	24.844863	4.7005293
chr1_7739126_7850331	chr1	7739126	7850331	111205	111205	333615	333615	0	75.60363	56.840534	9496	0.028463948	85.391844	24.432722	4.9915041
chr1_7850331_7909447	chr1	7850331	7909447	59116	59116	177348	177348	0	44.04747	36.999405	710	0.0040034283	12.010285	22.522826	3.4467205
chr1_7909447_8126081	chr1	7909447	8126081	216634	216634	649902	649902	0	58.05399	50.478032	9018	0.013875938	41.627815	23.748804	4.5417834
chr1_8126081_8139203	chr1	8126081	8139203	13122	13122	39366	39366	0	23.68271	22.962745	102	0.0025910684	7.7732053	21.224684	3.7810085
chr1_8139203_8213791	chr1	8139203	8213791	74588	74588	223764	223764	0	25.77356	25.105049	990	0.0044243042	13.272913	21.523502	4.0083683
chr1_8213791_8230022	chr1	8213791	8230022	16231	16231	48693	48693	0	23.32515	22.932724	142	0.0029162303	8.7486908	21.186511	3.8998014
chr1_8230022_8290697	chr1	8230022	8290697	60675	60675	182025	182025	0	25.22619	24.464108	505	0.0027743442	8.3230326	21.558617	3.746084
chr1_8290697_8447516	chr1	8290697	8447516	156819	156819	470457	470457	0	55.54185	51.50013	13936	0.029622261	88.866783	25.092668	5.3068807
chr1_8447516_8828055	chr1	8447516	8828055	380539	380539	1141617	1141617	0	54.38007	51.459229	8569	0.00750602	22.51806	23.622549	5.517809
chr1_8828055_8891970	chr1	8828055	8891970	63915	63915	191745	191745	0	65.68543	55.33272	3791	0.01977105	59.31315	26.016208	4.7850841
chr1_8891970_8925891	chr1	8891970	8925891	33921	33921	101763	101763	0	25.79389	25.104875	277	0.0027220109	8.1660328	21.342359	4.3556047
chr1_8925891_8942850	chr1	8925891	8942850	16959	16959	50877	50877	0	23.46044	22.548611	96	0.0018869037	5.6607111	20.987355	3.9500679
chr1_8942850_8985236	chr1	8942850	8985236	42386	42386	127158	127158	0	56.76776	41.380825	1410	0.011088567	33.265701	25.078575	4.0339072
chr1_8985236_9007994	chr1	8985236	9007994	22758	22758	68274	68274	0	41.63164	36.511397	681	0.0099745145	29.923543	23.27707	3.9329082
chr1_9007994_9019095	chr1	9007994	9019095	11101	11101	33303	33303	0	43.53944	39.268201	873	0.026213855	78.641564	23.832324	4.8278097
chr1_9019095_9073966	chr1	9019095	9073966	54871	54871	164613	164613	0	57.35471	51.871765	3782	0.022975099	68.925298	25.391764	4.8428088
chr1_9073966_9145120	chr1	9073966	9145120	71154	71154	213462	213462	0	48.25798	43.443711	2427	0.011369705	34.109115	24.112647	4.7450144
chr1_9145120_9186290	chr1	9145120	9186290	41170	41170	123510	123510	0	31.69233	27.513441	567	0.0045907214	13.772164	21.78953	3.9542017
chr1_9186290_9222350	chr1	9186290	9222350	36060	36060	108180	108180	0	25.88477	25.62905	603	0.0055740433	16.72213	21.554511	4.1588628
chr1_9222350_9263398	chr1	9222350	9263398	41048	41048	123144	123144	0	50.07001	44.855207	2227	0.018084519	54.253557	23.647949	4.7153169
chr1_9263398_9279146	chr1	9263398	9279146	15748	15748	47244	47244	0	45.54635	41.902905	2001	0.042354585	127.06375	24.476816	5.0125936
chr1_9279146_9306426	chr1	9279146	9306426	27280	27280	81840	81840	0	29.27581	27.751085	554	0.006769306	20.307918	21.866549	4.6692716
chr1_9306426_9322745	chr1	9306426	9322745	16319	16319	48957	48957	0	24.79121	24.611221	402	0.0082112875	24.633862	21.70621	4.8175771
chr1_9322745_9352349	chr1	9322745	9352349	29604	29604	88812	88812	0	25.77356	24.912325	797	0.0089740125	26.922038	21.661858	4.5750266
chr1_9352349_9371164	chr1	9352349	9371164	18815	18815	56445	56445	0	49.36648	41.667255	1872	0.033165028	99.495084	26.083998	5.0349027
chr1_9371164_9411592	chr1	9371164	9411592	40428	40428	121284	121284	0	27.13739	24.945039	1334	0.010998978	32.996933	21.560673	4.2938364
chr1_9411592_9450869	chr1	9411592	9450869	39277	39277	117831	117831	0	24.79705	24.685966	1388	0.011779583	35.338748	21.513421	5.2096466
chr1_9450869_9473179	chr1	9450869	9473179	22310	22310	66930	66930	0	25.87772	25.499818	453	0.0067682654	20.304796	21.718906	3.9148173
chr1_9473179_9496002	chr1	9473179	9496002	22823	22823	68469	68469	0	27.65896	26.71787	130	0.0018986695	5.6960084	21.938082	3.4422191
chr1_9496002_9515653	chr1	9496002	9515653	19651	19651	58953	58953	0	34.31145	24.683341	96	0.0016284159	4.8852476	21.759148	3.4144136
chr1_9515653_9631661	chr1	9515653	9631661	116008	116008	348024	348024	0	64.84975	52.55899	6600	0.018964209	56.892628	24.813343	4.7437373
chr1_9631661_9639319	chr1	9631661	9639319	7658	7658	22974	22974	0	19.29879	18.681084	0	0	0		3.4531024
chr1_9639319_9694823	chr1	9639319	9694823	55504	55504	166512	166512	0	40.89647	35.274953	1107	0.0066481695	19.944509	22.016727	4.6368452
chr1_9694823_9838135	chr1	9694823	9838135	143312	143312	429936	429936	0	82.9945	62.090419	13772	0.032032675	96.098024	24.895474	5.1062112
chr1_9838135_9910413	chr1	9838135	9910413	72278	72278	216834	216834	0	53.01964	45.309947	2588	0.011935398	35.806193	22.983018	5.3907716
chr1_9910413_10023878	chr1	9910413	10023878	113465	113465	340395	340395	0	60.04853	52.555529	4339	0.012746956	38.240867	24.862469	4.4363846
chr1_10023878_10175888	chr1	10023878	10175888	152010	152010	456030	456030	0	57.26716	53.931482	9561	0.020965726	62.897178	25.748233	4.8933848
chr1_10175888_10424113	chr1	10175888	10424113	248225	248225	744675	744675	0	65.41143	58.704479	23822	0.031989794	95.969383	25.924035	5.5038162
chr1_10424113_10583662	chr1	10424113	10583662	159549	159549	478647	478647	0	64.50965	55.935024	10253	0.021420797	64.26239	22.779543	5.9463222
chr1_10583662_10629885	chr1	10583662	10629885	46223	46223	138669	138669	0	54.30506	47.252336	4915	0.035444115	106.33235	22.542675	6.2247507
chr1_10629885_10702147	chr1	10629885	10702147	72262	72262	216786	216786	0	61.97708	53.678984	21942	0.10121502	303.64507	23.796183	8.6396332
chr1_10702147_10717203	chr1	10702147	10717203	15056	15056	45168	45168	0	32.53659	29.906241	2351	0.052050124	156.15037	21.528779	6.6493158
chr1_10717203_10743471	chr1	10717203	10743471	26268	26268	78804	78804	0	26.25835	25.159545	4772	0.060555302	181.66591	21.480885	7.4336197
chr1_10743471_10754383	chr1	10743471	10754383	10912	10912	32736	32736	0	27.43301	24.568081	915	0.02795088	83.852639	21.240941	5.6574768
chr1_10754383_10782329	chr1	10754383	10782329	27946	27946	83838	83838	0	34.32803	32.598989	3535	0.042164651	126.49395	21.714565	6.7067142
chr1_10782329_10799261	chr1	10782329	10799261	16932	16932	50796	50796	0	33.36614	30.496359	3235	0.063686117	191.05835	21.547155	8.3901148
chr1_10799261_10827148	chr1	10799261	10827148	27887	27887	83661	83661	0	30.86318	28.153633	1499	0.017917548	53.752645	21.497789	4.7157791
chr1_10827148_10851272	chr1	10827148	10851272	24124	24124	72372	72372	0	25.7531	24.758002	1150	0.015890123	47.67037	21.279093	4.3472665
chr1_10851272_10874817	chr1	10851272	10874817	23545	23545	70635	70635	0	25.36943	24.49812	1760	0.024916826	74.750478	21.319587	5.3812744
chr1_10874817_10905343	chr1	10874817	10905343	30526	30526	91578	91578	0	26.3489	25.065371	1530	0.016707069	50.121208	21.633788	4.5904285
chr1_10905343_10933117	chr1	10905343	10933117	27774	27774	83322	83322	0	24.87414	24.624717	880	0.010561436	31.684309	21.207807	3.9207519
chr1_10933117_10947998	chr1	10933117	10947998	14881	14881	44643	44643	0	30.50208	29.096661	1267	0.028380709	85.142128	21.695423	5.0798068
chr1_10947998_10969421	chr1	10947998	10969421	21423	21423	64269	64269	0	41.40827	38.122784	2634	0.040983989	122.95197	23.041756	6.0016889
chr1_10969421_10994596	chr1	10969421	10994596	25175	25175	75525	75525	0	40.41179	35.240781	476	0.0063025488	18.907646	22.654418	4.5566438
chr1_10994596_11329978	chr1	10994596	11329978	335382	335382	1006146	1006146	0	68.90766	60.928774	40030	0.039785478	119.35644	25.716444	5.4398332
chr1_11329978_11367600	chr1	11329978	11367600	37622	37622	112866	112866	0	24.7441	24.051358	505	0.0044743324	13.422997	21.32869	4.1812914
