block_id	chrom	start	end	length_bp	eqtl_variant_count	eqtl_pair_count	eqtl_gene_count	eqtl_tissue_count	eqtl_variants_per_kb
chr1_7661288_7677591	chr1	7661288	7677591	16303	41	106	8	36	2.5149
chr1_7677591_7739126	chr1	7677591	7739126	61535	169	585	11	44	2.7464
chr1_7739126_7850331	chr1	7739126	7850331	111205	354	1009	12	42	3.1833
chr1_7850331_7909447	chr1	7850331	7909447	59116	278	688	14	40	4.7026
chr1_7909447_8126081	chr1	7909447	8126081	216634	583	1473	15	42	2.6912
chr1_8126081_8139203	chr1	8126081	8139203	13122	58	89	6	27	4.4201
chr1_8139203_8213791	chr1	8139203	8213791	74588	104	141	14	19	1.3943
chr1_8213791_8230022	chr1	8213791	8230022	16231	35	47	9	10	2.1564
chr1_8230022_8290697	chr1	8230022	8290697	60675	23	26	12	13	0.3791
chr1_8290697_8447516	chr1	8290697	8447516	156819	326	821	17	37	2.0788
chr1_8447516_8828055	chr1	8447516	8828055	380539	498	1502	15	28	1.3087
chr1_8828055_8891970	chr1	8828055	8891970	63915	126	359	11	23	1.9714
chr1_8891970_8925891	chr1	8891970	8925891	33921	138	219	17	20	4.0683
chr1_8925891_8942850	chr1	8925891	8942850	16959	53	55	9	9	3.1252
chr1_8942850_8985236	chr1	8942850	8985236	42386	45	48	14	14	1.0617
chr1_8985236_9007994	chr1	8985236	9007994	22758	27	28	5	7	1.1864
chr1_9007994_9019095	chr1	9007994	9019095	11101	23	24	3	9	2.0719
chr1_9019095_9073966	chr1	9019095	9073966	54871	156	269	4	19	2.843
chr1_9073966_9145120	chr1	9073966	9145120	71154	200	417	12	22	2.8108
chr1_9145120_9186290	chr1	9145120	9186290	41170	56	94	11	17	1.3602
chr1_9186290_9222350	chr1	9186290	9222350	36060	102	115	10	18	2.8286
chr1_9222350_9263398	chr1	9222350	9263398	41048	112	146	9	38	2.7285
chr1_9263398_9279146	chr1	9263398	9279146	15748	100	158	5	33	6.35
chr1_9279146_9306426	chr1	9279146	9306426	27280	83	114	4	15	3.0425
chr1_9306426_9322745	chr1	9306426	9322745	16319	13	14	9	6	0.7966
chr1_9322745_9352349	chr1	9322745	9352349	29604	40	40	5	8	1.3512
chr1_9352349_9371164	chr1	9352349	9371164	18815	21	21	7	7	1.1161
chr1_9371164_9411592	chr1	9371164	9411592	40428	21	21	6	6	0.5194
chr1_9411592_9450869	chr1	9411592	9450869	39277	27	27	6	6	0.6874
chr1_9450869_9473179	chr1	9450869	9473179	22310	9	9	5	5	0.4034
chr1_9473179_9496002	chr1	9473179	9496002	22823	18	23	11	13	0.7887
chr1_9496002_9515653	chr1	9496002	9515653	19651	19	27	9	12	0.9669
chr1_9515653_9631661	chr1	9515653	9631661	116008	138	203	19	24	1.1896
chr1_9631661_9639319	chr1	9631661	9639319	7658	10	13	4	5	1.3058
chr1_9639319_9694823	chr1	9639319	9694823	55504	105	163	14	33	1.8918
chr1_9694823_9838135	chr1	9694823	9838135	143312	198	352	22	33	1.3816
chr1_9838135_9910413	chr1	9838135	9910413	72278	116	194	13	29	1.6049
chr1_9910413_10023878	chr1	9910413	10023878	113465	219	578	18	29	1.9301
chr1_10023878_10175888	chr1	10023878	10175888	152010	320	986	21	31	2.1051
chr1_10175888_10424113	chr1	10175888	10424113	248225	789	2938	21	34	3.1786
chr1_10424113_10583662	chr1	10424113	10583662	159549	435	1623	21	36	2.7264
chr1_10583662_10629885	chr1	10583662	10629885	46223	65	97	9	17	1.4062
chr1_10629885_10702147	chr1	10629885	10702147	72262	143	214	16	27	1.9789
chr1_10702147_10717203	chr1	10702147	10717203	15056	9	9	5	6	0.5978
chr1_10717203_10743471	chr1	10717203	10743471	26268	9	11	7	8	0.3426
chr1_10743471_10754383	chr1	10743471	10754383	10912	4	5	4	4	0.3666
chr1_10754383_10782329	chr1	10754383	10782329	27946	5	5	4	4	0.1789
chr1_10782329_10799261	chr1	10782329	10799261	16932	5	5	3	3	0.2953
chr1_10799261_10827148	chr1	10799261	10827148	27887	32	39	14	17	1.1475
chr1_10827148_10851272	chr1	10827148	10851272	24124	24	24	5	6	0.9949
chr1_10851272_10874817	chr1	10851272	10874817	23545	17	18	10	9	0.722
chr1_10874817_10905343	chr1	10874817	10905343	30526	28	32	11	9	0.9173
chr1_10905343_10933117	chr1	10905343	10933117	27774	24	27	8	11	0.8641
chr1_10933117_10947998	chr1	10933117	10947998	14881	54	58	7	11	3.6288
chr1_10947998_10969421	chr1	10947998	10969421	21423	80	86	10	16	3.7343
chr1_10969421_10994596	chr1	10969421	10994596	25175	96	111	12	16	3.8133
chr1_10994596_11329978	chr1	10994596	11329978	335382	878	3487	25	40	2.6179
chr1_11329978_11367600	chr1	11329978	11367600	37622	61	76	16	18	1.6214
chr1_11367600_11430687	chr1	11367600	11430687	63087	50	67	13	17	0.7926
chr1_11430687_11526939	chr1	11430687	11526939	96252	140	198	18	29	1.4545
chr1_11526939_11559582	chr1	11526939	11559582	32643	45	74	12	13	1.3785
chr1_11559582_11592148	chr1	11559582	11592148	32566	32	40	13	14	0.9826
chr1_11592148_11611007	chr1	11592148	11611007	18859	19	22	8	9	1.0075
chr1_11611007_11651323	chr1	11611007	11651323	40316	82	116	10	18	2.0339
chr1_11651323_11667863	chr1	11651323	11667863	16540	59	136	13	35	3.5671
chr1_11667863_11692083	chr1	11667863	11692083	24220	79	155	10	31	3.2618
chr1_11692083_11716139	chr1	11692083	11716139	24056	60	116	11	14	2.4942
chr1_11716139_11736183	chr1	11716139	11736183	20044	37	79	9	21	1.8459
chr1_11736183_11763099	chr1	11736183	11763099	26916	77	128	13	27	2.8608
chr1_11763099_11853700	chr1	11763099	11853700	90601	547	2272	21	48	6.0375
chr1_11853700_11878809	chr1	11853700	11878809	25109	116	391	21	44	4.6199
chr1_11878809_11926564	chr1	11878809	11926564	47755	229	1067	17	38	4.7953
chr1_11926564_12015506	chr1	11926564	12015506	88942	313	1024	17	40	3.5191
chr1_12015506_12054235	chr1	12015506	12054235	38729	103	288	19	36	2.6595
chr1_12054235_12097824	chr1	12054235	12097824	43589	56	71	12	17	1.2847
chr1_12097824_12116740	chr1	12097824	12116740	18916	42	47	4	7	2.2203
chr1_12116740_12138578	chr1	12116740	12138578	21838	20	21	7	9	0.9158
chr1_12138578_12180767	chr1	12138578	12180767	42189	24	30	7	11	0.5689
chr1_12180767_12207235	chr1	12180767	12207235	26468	2	2	2	2	0.0756
chr1_12207235_12407567	chr1	12207235	12407567	200332	206	256	11	14	1.0283
chr1_12407567_12527631	chr1	12407567	12527631	120064	44	68	8	11	0.3665
chr1_12527631_12543232	chr1	12527631	12543232	15601	4	5	4	4	0.2564
chr1_12543232_12589320	chr1	12543232	12589320	46088	35	35	9	10	0.7594
chr1_12589320_12609748	chr1	12589320	12609748	20428	10	10	5	3	0.4895
chr1_12609748_12615956	chr1	12609748	12615956	6208	1	1	1	1	0.1611
chr1_12615956_12627807	chr1	12615956	12627807	11851	7	7	5	4	0.5907
chr1_12627807_12710318	chr1	12627807	12710318	82511	69	98	13	18	0.8363
chr1_12710318_12717928	chr1	12710318	12717928	7610	8	9	4	5	1.0512
chr1_12717928_12769849	chr1	12717928	12769849	51921	135	156	4	5	2.6001
chr1_12769849_12807124	chr1	12769849	12807124	37275	272	499	9	6	7.2971
chr1_12807124_13376677	chr1	12807124	13376677	569553	1030	2161	16	19	1.8084
chr1_13376677_13417181	chr1	13376677	13417181	40504	79	138	5	3	1.9504
chr1_13417181_13446109	chr1	13417181	13446109	28928	62	62	2	3	2.1433
chr1_13446109_13481690	chr1	13446109	13481690	35581	57	57	2	4	1.602
chr1_13481690_13493080	chr1	13481690	13493080	11390	29	47	4	5	2.5461
chr1_13493080_13516186	chr1	13493080	13516186	23106	54	83	3	13	2.3371
chr1_13516186_13542578	chr1	13516186	13542578	26392	49	62	2	3	1.8566
chr1_13542578_13569479	chr1	13542578	13569479	26901	45	71	3	4	1.6728
chr1_13569479_13578723	chr1	13569479	13578723	9244	24	24	1	10	2.5963
chr1_13578723_13604664	chr1	13578723	13604664	25941	54	54	2	16	2.0816
chr1_13604664_13621842	chr1	13604664	13621842	17178	58	94	3	18	3.3764
chr1_13621842_13630519	chr1	13621842	13630519	8677	0	0	0	0	0.0
chr1_13630519_13803003	chr1	13630519	13803003	172484	151	151	4	6	0.8754
chr1_13803003_13832260	chr1	13803003	13832260	29257	31	31	3	4	1.0596
chr1_13832260_13844386	chr1	13832260	13844386	12126	1	1	1	1	0.0825
chr1_13844386_13877514	chr1	13844386	13877514	33128	1	1	1	1	0.0302
chr1_13877514_13913797	chr1	13877514	13913797	36283	2	2	1	1	0.0551
chr1_13913797_13954956	chr1	13913797	13954956	41159	38	41	3	4	0.9232
chr1_13954956_13975307	chr1	13954956	13975307	20351	0	0	0	0	0.0
chr1_13975307_14026700	chr1	13975307	14026700	51393	6	6	3	2	0.1167
chr1_14026700_14066132	chr1	14026700	14066132	39432	3	3	1	2	0.0761
chr1_14066132_14114856	chr1	14066132	14114856	48724	1	1	1	1	0.0205
chr1_14114856_14139590	chr1	14114856	14139590	24734	0	0	0	0	0.0
chr1_14139590_14181195	chr1	14139590	14181195	41605	1	1	1	1	0.024
chr1_14181195_14262226	chr1	14181195	14262226	81031	1	1	1	1	0.0123
chr1_14262226_14299469	chr1	14262226	14299469	37243	2	2	2	2	0.0537
chr1_14299469_14325023	chr1	14299469	14325023	25554	0	0	0	0	0.0
chr1_14325023_14364916	chr1	14325023	14364916	39893	7	7	2	2	0.1755
chr1_14364916_14380313	chr1	14364916	14380313	15397	5	5	3	3	0.3247
chr1_14380313_14393794	chr1	14380313	14393794	13481	1	1	1	1	0.0742
chr1_14393794_14406664	chr1	14393794	14406664	12870	0	0	0	0	0.0
chr1_14406664_14466753	chr1	14406664	14466753	60089	8	8	3	3	0.1331
chr1_14466753_14551306	chr1	14466753	14551306	84553	40	40	5	7	0.4731
chr1_14551306_14603075	chr1	14551306	14603075	51769	14	14	3	3	0.2704
chr1_14603075_14668759	chr1	14603075	14668759	65684	20	20	3	3	0.3045
chr1_14668759_14733452	chr1	14668759	14733452	64693	14	14	4	5	0.2164
chr1_14733452_14773226	chr1	14733452	14773226	39774	39	40	7	8	0.9805
chr1_14773226_14801973	chr1	14773226	14801973	28747	33	33	7	8	1.1479
chr1_14801973_14827510	chr1	14801973	14827510	25537	7	7	3	5	0.2741
chr1_14827510_14855657	chr1	14827510	14855657	28147	3	3	1	1	0.1066
chr1_14855657_14866420	chr1	14855657	14866420	10763	4	4	2	2	0.3716
chr1_14866420_14888678	chr1	14866420	14888678	22258	9	9	5	5	0.4043
chr1_14888678_14946249	chr1	14888678	14946249	57571	55	55	6	6	0.9553
chr1_14946249_14985000	chr1	14946249	14985000	38751	9	9	5	6	0.2323
chr1_14985000_15021926	chr1	14985000	15021926	36926	15	15	6	6	0.4062
chr1_15021926_15046542	chr1	15021926	15046542	24616	15	15	8	8	0.6094
chr1_15046542_15099573	chr1	15046542	15099573	53031	35	38	11	13	0.66
chr1_15099573_15123295	chr1	15099573	15123295	23722	119	216	9	32	5.0164
chr1_15123295_15180914	chr1	15123295	15180914	57619	367	794	11	37	6.3694
chr1_15180914_15211362	chr1	15180914	15211362	30448	154	270	7	29	5.0578
chr1_15211362_15244771	chr1	15211362	15244771	33409	215	460	16	29	6.4354
chr1_15244771_15293528	chr1	15244771	15293528	48757	230	483	15	23	4.7173
chr1_15293528_15322535	chr1	15293528	15322535	29007	43	48	9	9	1.4824
chr1_15322535_15360068	chr1	15322535	15360068	37533	45	50	11	9	1.1989
chr1_15360068_15419366	chr1	15360068	15419366	59298	196	312	24	37	3.3053
chr1_15419366_15470313	chr1	15419366	15470313	50947	125	312	24	32	2.4535
chr1_15470313_15742120	chr1	15470313	15742120	271807	913	5390	35	49	3.359
chr1_15742120_15799466	chr1	15742120	15799466	57346	157	524	32	42	2.7378
chr1_15799466_16040454	chr1	15799466	16040454	240988	894	5064	41	47	3.7097
chr1_16040454_16052154	chr1	16040454	16052154	11700	119	811	28	41	10.1709
chr1_16052154_16116736	chr1	16052154	16116736	64582	368	2131	46	44	5.6982
chr1_16116736_16165566	chr1	16116736	16165566	48830	115	437	31	37	2.3551
chr1_16165566_16220471	chr1	16165566	16220471	54905	232	1201	39	48	4.2255
chr1_16220471_16407941	chr1	16220471	16407941	187470	580	3040	40	45	3.0938
chr1_16407941_16479926	chr1	16407941	16479926	71985	252	1873	45	48	3.5007
chr1_16479926_16857205	chr1	16479926	16857205	377279	608	3974	54	49	1.6115
chr1_16857205_16975177	chr1	16857205	16975177	117972	497	3581	39	49	4.2129
chr1_16975177_17010026	chr1	16975177	17010026	34849	100	885	22	48	2.8695
chr1_17010026_17104073	chr1	17010026	17104073	94047	419	3338	29	48	4.4552
chr1_17104073_17134576	chr1	17104073	17134576	30503	93	315	23	34	3.0489
chr1_17134576_17171239	chr1	17134576	17171239	36663	136	402	24	31	3.7095
chr1_17171239_17214200	chr1	17171239	17214200	42961	168	196	20	25	3.9105
chr1_17214200_17222032	chr1	17214200	17222032	7832	16	16	5	6	2.0429
chr1_17222032_17229436	chr1	17222032	17229436	7404	2	3	3	5	0.2701
chr1_17229436_17236721	chr1	17229436	17236721	7285	34	68	5	7	4.6671
chr1_17236721_17271815	chr1	17236721	17271815	35094	90	161	8	11	2.5645
chr1_17271815_17310923	chr1	17271815	17310923	39108	194	277	12	23	4.9606
chr1_17310923_17352277	chr1	17310923	17352277	41354	176	241	14	25	4.2559
chr1_17352277_17381263	chr1	17352277	17381263	28986	67	94	13	15	2.3115
chr1_17381263_17475388	chr1	17381263	17475388	94125	286	678	12	17	3.0385
chr1_17475388_17548912	chr1	17475388	17548912	73524	92	198	6	11	1.2513
chr1_17548912_17583006	chr1	17548912	17583006	34094	24	28	4	10	0.7039
chr1_17583006_17593322	chr1	17583006	17593322	10316	15	17	5	5	1.4541
chr1_17593322_17640351	chr1	17593322	17640351	47029	51	51	3	6	1.0844
chr1_17640351_17694158	chr1	17640351	17694158	53807	34	34	8	12	0.6319
chr1_17694158_17718017	chr1	17694158	17718017	23859	4	4	4	4	0.1677
chr1_17718017_17758795	chr1	17718017	17758795	40778	21	23	9	16	0.515
chr1_17758795_17784206	chr1	17758795	17784206	25411	2	2	2	2	0.0787
chr1_17784206_17805774	chr1	17784206	17805774	21568	42	42	5	4	1.9473
chr1_17805774_17825352	chr1	17805774	17825352	19578	0	0	0	0	0.0
chr1_17825352_17856722	chr1	17825352	17856722	31370	11	11	2	3	0.3507
chr1_17856722_17884014	chr1	17856722	17884014	27292	8	8	2	2	0.2931
chr1_17884014_17937863	chr1	17884014	17937863	53849	8	8	2	2	0.1486
chr1_17937863_17950986	chr1	17937863	17950986	13123	4	4	2	2	0.3048
chr1_17950986_17996991	chr1	17950986	17996991	46005	8	8	1	1	0.1739
chr1_17996991_18006620	chr1	17996991	18006620	9629	9	9	1	1	0.9347
chr1_18006620_18028918	chr1	18006620	18028918	22298	29	29	2	3	1.3006
chr1_18028918_18066997	chr1	18028918	18066997	38079	42	43	3	6	1.103
chr1_18066997_18101121	chr1	18066997	18101121	34124	34	34	4	7	0.9964
chr1_18101121_18113497	chr1	18101121	18113497	12376	28	41	3	7	2.2624
chr1_18113497_18133212	chr1	18113497	18133212	19715	21	21	3	4	1.0652
chr1_18133212_18161316	chr1	18133212	18161316	28104	29	32	5	8	1.0319
chr1_18161316_18164093	chr1	18161316	18164093	2777	0	0	0	0	0.0
chr1_18164093_18186489	chr1	18164093	18186489	22396	22	26	3	2	0.9823
chr1_18186489_18227851	chr1	18186489	18227851	41362	81	81	2	4	1.9583
chr1_18227851_18243016	chr1	18227851	18243016	15165	22	22	2	3	1.4507
chr1_18243016_18253174	chr1	18243016	18253174	10158	0	0	0	0	0.0
chr1_18253174_18283612	chr1	18253174	18283612	30438	9	9	3	5	0.2957
chr1_18283612_18319588	chr1	18283612	18319588	35976	20	21	8	11	0.5559
chr1_18319588_18336987	chr1	18319588	18336987	17399	4	6	5	6	0.2299
chr1_18336987_18377178	chr1	18336987	18377178	40191	56	71	10	21	1.3933
chr1_18377178_18407223	chr1	18377178	18407223	30045	34	37	7	14	1.1316
chr1_18407223_18440319	chr1	18407223	18440319	33096	28	30	4	22	0.846
chr1_18440319_18454102	chr1	18440319	18454102	13783	48	52	8	20	3.4826
chr1_18454102_18488551	chr1	18454102	18488551	34449	129	130	3	19	3.7447
chr1_18488551_18545596	chr1	18488551	18545596	57045	132	159	9	30	2.314
chr1_18545596_18578075	chr1	18545596	18578075	32479	16	18	5	8	0.4926
chr1_18578075_18597677	chr1	18578075	18597677	19602	1	1	1	1	0.051
chr1_18597677_18634767	chr1	18597677	18634767	37090	13	14	6	7	0.3505
chr1_18634767_18677099	chr1	18634767	18677099	42332	24	29	7	14	0.5669
chr1_18677099_18705778	chr1	18677099	18705778	28679	10	10	5	6	0.3487
chr1_18705778_18718383	chr1	18705778	18718383	12605	8	8	3	3	0.6347
chr1_18718383_18724413	chr1	18718383	18724413	6030	1	2	2	2	0.1658
chr1_18724413_18732251	chr1	18724413	18732251	7838	14	14	4	4	1.7862
chr1_18732251_18779086	chr1	18732251	18779086	46835	100	157	6	14	2.1352
chr1_18779086_18807496	chr1	18779086	18807496	28410	20	22	8	13	0.704
