block_id	genes_per_kb	n_genes_tss	avi_top1_fraction	avi_mean	eqtl_variants_per_kb
chr1_102500873_102735029	0	0	0.00019075602	2.9967182	0.7388
chr1_102735029_102886895	0.0131695	1	0.0042098517	3.4232851	1.2248
chr1_102886895_102986836	0.0100059	0	0.01832748	4.1566013	1.9311
chr1_102986836_103115063	0.0155973	2	0.017864152	4.2995941	1.4116
chr1_103115063_103347535	0	0	0.001300515	3.4940472	3.2692
chr1_103347535_103830994	0.0248211	12	0.012319556	3.5415122	0.6846
chr1_103830994_103982054	0.00661989	1	0.00062668255	2.904651	1.3703
chr1_103982054_104245823	0.0113736	3	0.00042840516	2.9748992	1.8918
chr1_10424113_10583662	0.0438737	7	0.021420797	5.9463222	2.7264
chr1_104245823_104309084	0	0	0.0007640305	2.9335661	0.6165
chr1_104309084_104348624	0	0	0.00053110774	3.0926747	1.6186
chr1_104348624_104404964	0	0	4.1415217e-05	3.2338087	0.071
chr1_104404964_104443165	0	0	0.0	2.4598306	0.1047
chr1_104443165_104568791	0	0	0.00015389596	2.8223184	0.2308
chr1_104568791_104650400	0	0	0.00037169103	2.725684	0.0123
chr1_104650400_104752948	0	0	8.1262758e-05	2.7865557	0.0293
chr1_104752948_104871998	0	0	0.00062158757	3.0911722	0.0
chr1_104871998_105011742	0.00715594	0	0.00023376078	2.8144304	0.0143
chr1_105011742_105120758	0.00917297	1	0.00011313324	2.7670329	0.0275
chr1_105120758_105158328	0	0	1.7744654e-05	2.620267	0.0
chr1_105158328_105189166	0	0	0.0018267505	2.6734778	0.0
chr1_105189166_105367199	0	0	0.00010297716	2.6352007	0.0
chr1_105367199_105469949	0.00973236	1	9.4079481e-05	2.7129019	0.0
chr1_105469949_105544876	0	0	0.00021354118	2.7995278	0.0
chr1_105544876_105587410	0	0	9.4042413e-05	2.7893971	0.7288
chr1_105587410_105636933	0.0201926	1	0.00026923517	2.7214789	0.0202
chr1_105636933_105817418	0.00554063	1	0.00036014073	2.6607081	0.0111
chr1_105817418_105913619	0.0207898	2	0.0053880244	3.3507382	0.0208
chr1_10583662_10629885	0.0649028	2	0.035444115	6.2247507	1.4062
chr1_105913619_106035268	0.0164407	2	0.00015892719	2.5767506	0.0
chr1_106035268_106073636	0.0260634	0	5.2126772e-05	2.8249949	0.0
chr1_106073636_106099255	0.0780671	1	0.0039684089	2.8779654	0.0
chr1_106099255_106227476	0.00779903	0	0.00043934561	2.7849766	0.039
chr1_106227476_106424860	0	0	0.00033943987	2.8957343	0.0811
chr1_10629885_10702147	0.0415156	1	0.10121502	8.6396332	1.9789
chr1_106424860_106538583	0	0	0.00046311359	3.0941877	0.9321
chr1_106538583_106648863	0.00906783	1	0.00080401402	3.2472769	0.4534
chr1_106648863_106890445	0.0165575	4	0.00066092121	3.4153628	0.8486
chr1_106890445_106946922	0	0	0.0011686173	3.8182572	1.027
chr1_106946922_106994038	0	0	0.0028369697	4.3372492	1.9951
chr1_106994038_107091494	0.010261	1	0.0081472665	4.0442125	2.3293
chr1_10702147_10717203	0.0664187	0	0.052050124	6.6493158	0.5978
chr1_107091494_107164762	0.027297	2	0.0093674364	5.0216186	1.3103
chr1_107164762_107302693	0.00725	0	0.0025737506	4.9469923	0.4713
chr1_10717203_10743471	0.0380691	0	0.060555302	7.4336197	0.3426
chr1_107302693_107332494	0.0335559	0	0.020413185	5.2537119	0.2684
chr1_107332494_107376744	0.0225989	0	0.0042787194	5.0135248	0.7006
chr1_107376744_107388538	0.0847889	0	0.0044655475	4.4029409	0.0
chr1_107388538_107476225	0.0114042	0	0.012134068	5.5521773	0.1026
chr1_10743471_10754383	0.0916422	0	0.02795088	5.6574768	0.3666
chr1_107476225_107497657	0.0466592	0	0.021789847	6.2434395	0.0467
chr1_107497657_107530223	0.0307069	1	0.0020266536	4.2165862	0.1842
chr1_107530223_107643095	0.00885959	0	0.0089983935	5.0981195	0.7442
chr1_10754383_10782329	0.0357833	0	0.042164651	6.7067142	0.1789
chr1_107643095_107703447	0.0165695	0	0.0066995847	5.529444	0.2154
chr1_107703447_107751599	0.0207676	0	0.012162873	5.035115	1.3707
chr1_107751599_107866458	0.00870633	0	0.0071972302	4.5758866	2.0112
chr1_10782329_10799261	0.0590598	1	0.063686117	8.3901148	0.2953
chr1_107866458_107893466	0.0370261	0	0.006701718	4.5291721	1.1848
chr1_107893466_107982850	0.0335631	3	0.0046055968	4.5815835	2.8305
chr1_107982850_108027076	0.0226111	0	0.0036027073	4.1501285	3.5273
chr1_10799261_10827148	0	0	0.017917548	4.7157791	1.1475
chr1_108027076_108150039	0.0162651	0	0.0062864439	4.4937026	4.1069
chr1_108150039_108187137	0.0269556	0	0.012165975	4.8395801	3.8547
chr1_108187137_108527234	0.0411647	14	0.0018220292	3.6458588	1.5966
chr1_10827148_10851272	0	0	0.015890123	4.3472665	0.9949
chr1_10851272_10874817	0	0	0.024916826	5.3812744	0.722
chr1_108527234_108714644	0.0320154	6	0.019901108	5.4297031	1.7182
chr1_108714644_108725819	0.0894855	0	0.044504101	6.3842836	3.0425
chr1_108725819_108823664	0.0511012	3	0.02556765	5.6035584	3.3318
chr1_10874817_10905343	0.032759	1	0.016707069	4.5904285	0.9173
chr1_108823664_108850093	0.0378372	0	0.01649703	5.5464528	3.6324
chr1_108850093_108912757	0.0638325	2	0.021889229	5.5724368	3.431
chr1_108912757_108961034	0.0621414	0	0.026589611	5.3342419	3.5835
chr1_108961034_109044042	0.0722822	6	0.027226291	5.4581715	2.5299
chr1_109044042_109158041	0.0789481	9	0.01318725	5.2715488	3.2018
chr1_10905343_10933117	0	0	0.010561436	3.9207519	0.8641
chr1_109158041_109197851	0.0251193	0	0.042552123	6.6099439	3.8433
chr1_109197851_109246725	0.0409216	1	0.04242201	6.1654396	2.1688
chr1_109246725_109279887	0.06031	1	0.2055063	10.819908	3.3774
chr1_109279887_109297332	0.114646	1	0.059673259	7.201409	2.6369
chr1_109297332_109510068	0.0329046	7	0.039504362	6.7569178	1.8756
chr1_10933117_10947998	0.0671998	0	0.028380709	5.0798068	3.6288
chr1_10947998_10969421	0.0466788	0	0.040983989	6.0016889	3.7343
chr1_109510068_109535119	0	0	0.011430016	5.1174711	3.5927
chr1_109535119_109622035	0.103548	9	0.040284106	6.6977781	1.9214
chr1_109622035_109657738	0.112035	3	0.061133985	6.2949664	2.6888
chr1_109657738_109713885	0.089052	4	0.023444411	5.2976207	2.5825
chr1_10969421_10994596	0.0794439	2	0.0063025488	4.5566438	3.8133
chr1_109713885_109760883	0.08511	2	0.031866604	6.4103984	2.4682
chr1_109760883_109792419	0.0951294	1	0.0137092	4.9897636	3.6149
chr1_109792419_109823461	0.0322144	1	0.0085475592	5.2681218	1.7396
chr1_109823461_109847464	0.0416615	1	0.0040550487	4.8413193	2.2497
chr1_109847464_109892270	0.0446369	1	0.0054754572	4.9910091	1.5623
chr1_109892270_109909068	0.0595309	1	0.010259158	5.1734006	0.9525
chr1_109909068_109962041	0.0188775	1	0.021457472	5.9017963	2.3031
chr1_10994596_11329978	0.0417434	14	0.039785478	5.4398332	2.6179
chr1_109962041_110095684	0.0448957	6	0.041862774	6.6425404	1.4516
chr1_110095684_110131078	0.0565068	1	0.01411727	4.5714627	1.1019
chr1_110131078_110182462	0.0583839	3	0.022108049	5.1398019	1.771
chr1_110182462_110227560	0.0665218	2	0.057282659	6.5552925	1.397
chr1_110227560_110294855	0.0594398	2	0.016568839	5.9965975	3.3732
chr1_110294855_110459425	0.0425351	7	0.027850357	5.6962784	2.9288
chr1_110459425_110488500	0.171969	4	0.0060189166	4.2261376	2.6139
chr1_110488500_110529007	0.148123	2	0.023716066	4.5445659	0.4937
chr1_110529007_110574130	0.0221616	0	0.004690882	4.3134607	0.9086
chr1_110574130_110592321	0.0549722	0	0.006450076	4.432448	1.0994
chr1_110592321_110613072	0.0481904	0	0.079562431	8.5007193	2.6023
chr1_110613072_110694717	0.0367444	3	0.018506951	5.4672621	1.5923
chr1_110694717_110814219	0.00836806	1	0.0012217369	3.9836272	1.7071
chr1_110814219_110875595	0.048879	3	0.0019280066	3.9728043	2.949
chr1_110875595_111001238	0.0397953	4	0.012402866	4.4622895	2.4275
chr1_111001238_111042526	0.0484402	2	0.0035603565	4.1067808	3.8268
chr1_111042526_111198073	0.0321446	4	0.020377549	5.5582629	2.6359
chr1_111198073_111256089	0.0517099	3	0.022597215	5.808436	3.7059
chr1_111256089_111305073	0.0816593	3	0.0016672111	4.027522	5.6549
chr1_111305073_111366426	0.0814956	3	0.016032902	4.6996222	4.8082
chr1_111366426_111483530	0.111012	12	0.020033475	5.0118238	3.245
chr1_111483530_111526753	0.0694075	2	0.026490526	5.618949	3.1465
chr1_111526753_111561100	0.0582292	1	0.0043186693	4.634639	2.2127
chr1_111561100_111588002	0.0743439	1	0.0042623845	4.9639023	1.1523
chr1_111588002_111593336	0.187477	0	0.016060492	5.8600846	2.4372
chr1_111593336_111721757	0.0389344	3	0.010813392	5.8665602	2.9357
chr1_111721757_111805015	0.0600543	4	0.039075324	6.5285544	2.7745
chr1_111805015_111814522	0.105186	0	0.0013674135	4.5475238	1.683
chr1_111814522_111833499	0.0526954	0	0.0017038169	4.557975	2.2132
chr1_111833499_111879232	0.0437321	1	0.00420557	4.7355349	1.4869
chr1_111879232_111895334	0.0621041	0	0.0067486441	5.0018667	0.6831
chr1_111895334_111934492	0.0510751	1	0.010955616	4.8513948	1.8642
chr1_111934492_111943911	0.106168	0	0.0018048625	4.702188	2.0172
chr1_111943911_111996245	0.0382161	2	0.02764296	5.9398347	1.9299
chr1_111996245_112021228	0.0400272	0	0.0020947578	4.3007448	2.0014
chr1_112021228_112070406	0	0	0.0056664904	4.2405279	1.9318
chr1_112070406_112112372	0	0	0.0012708701	3.9783333	1.6442
chr1_112112372_112145689	0	0	0.00066032356	3.7975859	1.9209
chr1_112145689_112231546	0.0116473	0	0.00036494792	3.6870572	1.9218
chr1_112231546_112245754	0.0703829	0	0.0015484234	4.1868437	3.5895
chr1_112245754_112258831	0.0764701	0	0.0024725345	5.1862509	0.9176
chr1_112258831_112316620	0.0173043	0	0.002924432	4.6173199	1.2113
chr1_112316620_112333136	0.0605473	0	0.011261807	5.4452599	1.6348
chr1_112333136_112376413	0.0693209	3	0.0035276629	4.5849129	1.7561
chr1_112376413_112477676	0.0296258	3	0.018048711	5.7312811	2.696
chr1_112477676_112511232	0.0298009	0	0.014701792	4.9520079	3.3377
chr1_112511232_112711604	0.0548979	9	0.039789325	6.8942413	2.166
chr1_112711604_112726198	0.205564	3	0.076721027	7.3238457	2.5353
chr1_112726198_112788512	0.0320955	1	0.0014763937	3.8673303	1.1875
chr1_112788512_112802328	0	0	0.0013993438	4.671612	2.6057
chr1_112802328_112871190	0.0290436	2	0.002197632	4.3629741	3.0641
chr1_112871190_113054942	0.0326527	4	0.0085151001	4.9237334	1.9973
chr1_113054942_113210232	0.0321978	5	0.016805117	5.1949578	2.8141
chr1_113210232_113232935	0	0	0.0028043284	4.5772838	0.925
chr1_113232935_113276642	0	0	0.0025243859	4.6683787	0.6178
chr1_113276642_113320316	0	0	0.0024499702	5.2124844	1.9462
chr1_11329978_11367600	0	0	0.0044743324	4.1812914	1.6214
chr1_113320316_113531326	0.00947822	2	0.002908235	5.0956881	1.4596
chr1_113531326_113880403	0.0257823	7	0.023337735	5.6301185	1.7303
chr1_11367600_11430687	0.0158511	1	0.0014530199	3.5592058	0.7926
chr1_113880403_113908685	0.141433	3	0.075890437	7.4729264	1.8386
chr1_113908685_113983638	0.0533668	3	0.065654477	7.7601743	1.3075
chr1_113983638_114012715	0.0687829	1	0.0014788321	4.822276	2.7857
chr1_114012715_114082803	0.0285356	1	0.002630027	4.8120936	1.3554
chr1_114082803_114108787	0.0384852	0	0.026708744	6.2843987	2.7325
chr1_114108787_114121129	0.0810241	0	0.0081294226	5.3484783	3.403
chr1_114121129_114128582	0.134174	0	0.0065745337	5.2229097	4.1594
chr1_114128582_114138618	0.0996413	0	0.040587219	5.619299	1.1957
chr1_114138618_114180022	0.0241523	1	0.014507455	5.2536157	0.4589
chr1_114180022_114206731	0.0374406	0	0.0005116877	3.8977759	4.3431
chr1_114206731_114221916	0.0658545	0	0.0052683569	4.8415519	2.7
chr1_114221916_114281401	0.0336219	2	0.0015297974	4.0294813	1.2944
chr1_114281401_114331102	0	0	0.001656573	3.850839	0.8853
chr1_11430687_11526939	0.0207788	2	0.020667969	4.5216901	1.4545
chr1_114331102_114367937	0.0271481	1	0.0010949731	4.0285668	0.6787
chr1_114367937_114524608	0.0255312	4	0.019510099	5.5256605	2.1829
chr1_114524608_114772418	0.0363181	8	0.031335835	5.5759094	1.8563
chr1_114772418_115076192	0.0164596	4	0.010407957	4.8503844	2.6665
chr1_115076192_115113033	0.0542873	2	0.0084688255	4.6729602	3.203
chr1_115113033_115133336	0	0	0.0026268696	4.2521084	0.9358
chr1_115133336_115179598	0	0	0.0029541885	4.832067	1.1024
chr1_115179598_115263838	0	0	0.0047997784	4.819379	1.3889
chr1_115263838_115289162	0.118465	2	0.022666245	5.3517214	2.3693
chr1_11526939_11559582	0.0306344	0	0.031716856	4.3137539	1.3785
chr1_115289162_115337511	0.0413659	0	0.010665508	5.8026474	2.2751
chr1_115337511_115378743	0.072759	2	0.0078337214	4.5344636	0.9459
chr1_115378743_115452959	0	0	0.0039748841	4.2089182	1.6439
chr1_115452959_115476489	0.0424989	1	0.0034990792	4.429847	1.9125
chr1_115476489_115557655	0.0246409	2	0.004472316	4.2656183	1.3183
chr1_115557655_115662186	0.0478327	5	0.0059599545	4.3311923	2.9274
chr1_11559582_11592148	0	0	0.0015558149	3.3920027	0.9826
chr1_115662186_115686764	0.0406868	0	0.03641468	5.518643	1.6682
chr1_115686764_115760302	0.0271968	0	0.016585529	4.9788801	4.0115
chr1_115760302_115794596	0.0291596	1	0.01074046	4.4087498	3.6158
chr1_115794596_115857708	0.0316897	1	0.015152956	4.8454483	2.1549
chr1_115857708_115978436	0.0331323	4	0.005309456	4.1329833	3.5203
chr1_11592148_11611007	0.0530251	1	0.0010958517	3.3216758	1.0075
chr1_115978436_116112871	0.0223156	2	0.010404037	4.5269312	2.7746
chr1_11611007_11651323	0.0744121	1	0.019686146	4.5373511	2.0339
chr1_116112871_116167027	0.0369303	1	0.012162395	4.2488244	2.8436
chr1_116167027_116262478	0.0104766	0	0.0021721442	4.1326729	1.5505
chr1_116262478_116344833	0.0242851	2	0.0023435128	4.2527937	1.9792
chr1_116344833_116454994	0.0544657	5	0.029683826	5.2063644	0.935
chr1_116454994_116488097	0.0302087	1	0.0060920964	4.2943375	1.5406
chr1_116488097_116565932	0.0642385	4	0.00556305	4.7271573	1.2205
chr1_11651323_11667863	0.241838	3	0.058081419	6.9858989	3.5671
chr1_116565932_116645482	0.0251414	1	0.033928347	5.5921683	0.9554
chr1_116645482_116712804	0.044562	3	0.009452086	5.2133247	1.3814
chr1_11667863_11692083	0.123865	2	0.050701899	6.1506482	3.2618
chr1_116712804_116735601	0.0438654	1	0.0038455352	4.2848117	1.0528
chr1_116735601_116755162	0.102244	2	0.019290084	5.4020129	0.7157
chr1_116755162_116800859	0.0437665	1	0.0064190939	4.1784505	0.2845
chr1_116800859_116878441	0	0	0.0067283648	4.8182206	0.4254
chr1_116878441_116924368	0.0435474	2	0.012331163	5.4339162	0.7621
chr1_11692083_11716139	0.0415697	0	0.019593171	4.9432787	2.4942
chr1_116924368_116971712	0.042244	1	0.026423623	5.7696247	1.8799
chr1_116971712_117026994	0.0542672	1	0.033464781	6.1337385	2.8943
chr1_117026994_117094874	0.0589275	3	0.019441171	5.0941609	2.7254
chr1_117094874_117140754	0.065388	2	0.032069166	5.4886333	2.0924
chr1_117140754_117173484	0.030553	0	0.019645585	5.6855512	2.6581
chr1_11716139_11736183	0.0997805	1	0.0093793654	4.2964267	1.8459
chr1_117173484_117193673	0.0495319	0	0.0016675748	4.5953429	2.9719
chr1_117193673_117237905	0.0226081	1	0.0036851148	3.9695484	2.0121
chr1_117237905_117266881	0.0345113	1	0.00048315848	3.9755506	1.0699
chr1_117266881_117574352	0.0162617	5	0.0064970897	4.6607401	2.7482
chr1_11736183_11763099	0.0743052	1	0.017325507	4.9249392	2.8608
chr1_117574352_117584112	0	0	0.0030737705	3.4748415	1.127
chr1_117584112_117639417	0.0361631	2	0.022469337	5.4609089	2.8569
chr1_11763099_11853700	0.0882992	7	0.054484314	6.0379908	6.0375
chr1_117639417_117685286	0.0218012	1	0.003924219	4.5094265	2.5289
chr1_117685286_117734901	0.0403104	2	0.0010682253	3.7092755	1.1892
chr1_117734901_117978727	0.0164051	3	0.015978608	4.6449002	0.5537
chr1_117978727_118183659	0.00487967	0	0.018604545	4.8208391	1.3712
chr1_118183659_118296134	0.0266726	3	0.0048040305	4.2367725	1.7426
chr1_118296134_118393868	0	0	0.005293279	4.0423417	0.266
chr1_118393868_118442812	0	0	0.0020703934	3.5255326	0.1226
chr1_118442812_118477806	0	0	0.0002476615	3.3107093	0.6858
chr1_118477806_118564313	0	0	0.0027049834	3.5397399	2.9015
chr1_11853700_11878809	0.0796527	2	0.012518752	4.3183263	4.6199
chr1_118564313_118866969	0.00660816	2	0.0015661345	3.6483871	1.5001
chr1_11878809_11926564	0.104701	4	0.034614177	5.1368849	4.7953
chr1_118866969_118904087	0.0269411	0	0.020753633	5.3708835	1.3201
chr1_118904087_118996082	0.0108702	1	0.01972571	5.7894826	2.8697
chr1_118996082_119252682	0.035074	8	0.0065861263	4.768826	2.8176
chr1_119252682_119293166	0.0494022	0	0.0060517735	4.124385	1.7044
chr1_11926564_12015506	0.0337298	3	0.043061771	5.747611	3.5191
chr1_119293166_119349977	0.0528067	3	0.0052806675	4.4507632	1.0913
chr1_119349977_119450305	0.0697712	6	0.014170188	4.3847775	2.0533
chr1_119450305_119472944	0.0883431	2	0.0037251351	3.8610381	2.3853
chr1_119472944_119585136	0.062393	6	0.0078110145	3.9203894	2.7275
chr1_119585136_119625730	0.0985367	3	0.023763775	4.9667036	4.1139
chr1_119625730_119665849	0.0498517	2	0.010153128	5.2127318	1.6451
chr1_119665849_119731832	0.0151554	0	0.0094418259	4.6950783	2.3188
chr1_119731832_119767245	0.0564764	0	0.045068195	5.4273397	2.5132
chr1_119767245_119804616	0.0535174	1	0.010587532	4.5120316	3.6392
chr1_119804616_119893148	0.0451814	4	0.0043035287	3.9104157	1.7395
chr1_119893148_120101779	0.0143795	3	0.033764557	5.9914565	1.4619
chr1_120101779_120960082	0.025632	22	0.0074332724	4.4241454	1.3294
chr1_12015506_12054235	0.129102	5	0.013297529	4.4208657	2.6595
chr1_12054235_12097824	0.0917663	4	0.0094289844	4.5886329	1.2847
chr1_120960082_121411623	0.0465074	20	0.0087109107	5.3423258	1.4594
chr1_12097824_12116740	0.0528653	0	0.012846268	4.0398506	2.2203
chr1_12116740_12138578	0.0457917	0	0.012546937	4.8241408	0.9158
chr1_12138578_12180767	0.0711086	2	0.013273602	5.1327608	0.5689
chr1_121411623_121547320	0.0442162	5	0.0019111206	3.8163166	1.9381
chr1_12180767_12207235	0.0755629	1	0.022555539	5.3534612	0.0756
chr1_12207235_12407567	0.0199669	3	0.043318092	5.8533806	1.0283
chr1_12407567_12527631	0.0249867	2	0.023787313	5.8088234	0.3665
chr1_12527631_12543232	0.0640985	0	0.008589193	4.2834132	0.2564
chr1_12543232_12589320	0.0650929	2	0.016439565	4.5167025	0.7594
chr1_12589320_12609748	0.0489524	0	0.010149468	4.8624277	0.4895
chr1_12609748_12615956	0.161082	0	0.0096649485	5.0164061	0.1611
chr1_12615956_12627807	0.168762	2	0.051866228	7.0588517	0.5907
chr1_12627807_12710318	0.0242392	2	0.0053326223	3.8237269	0.8363
chr1_12710318_12717928	0.131406	1	0.011563732	4.714024	1.0512
chr1_12717928_12769849	0.0385201	1	0.012570379	3.5884491	2.6001
chr1_12769849_12807124	0.0536553	2	0.0068768165	2.8928284	7.2971
chr1_12807124_13376677	0.0632075	36	0.0057466065	2.6559465	1.8084
chr1_13376677_13417181	0.0493778	2	0.0027816183	2.6223093	1.9504
chr1_13417181_13446109	0.0345686	0	0.0033646755	3.0465987	2.1433
chr1_13446109_13481690	0.0281049	0	0.0048996187	3.274432	1.602
chr1_13481690_13493080	0.0877963	0	0.0047410009	3.6604485	2.5461
chr1_13493080_13516186	0.0865576	2	0.018292507	4.222778	2.3371
chr1_13516186_13542578	0.0378903	0	0.0015913913	3.3553154	1.8566
chr1_13542578_13569479	0.0371733	1	0.0038536362	3.8844989	1.6728
chr1_13569479_13578723	0	0	0.0013341988	3.2222994	2.5963
chr1_13578723_13604664	0.038549	1	0.013209462	4.6266345	2.0816
chr1_13604664_13621842	0.058214	0	0.011933869	4.584334	3.3764
chr1_13621842_13630519	0.115247	1	0.0054550344	3.635335	0.0
chr1_13630519_13803003	0.0231906	4	0.019004661	4.9705039	0.8754
chr1_13803003_13832260	0.0341799	0	0.0056168894	3.982625	1.0596
chr1_13832260_13844386	0	0	0.0	3.3096865	0.0825
chr1_13844386_13877514	0	0	0.00017105369	3.3941195	0.0302
chr1_13877514_13913797	0.0275611	1	0.0037115637	3.4755079	0.0551
chr1_13913797_13954956	0.024296	0	0.00061549924	3.6240536	0.9232
chr1_13954956_13975307	0.0491376	0	0.0016051627	2.8861458	0.0
chr1_13975307_14026700	0.0194579	0	0.00087560563	3.7846246	0.1167
chr1_14026700_14066132	0.0253601	0	0.0018935551	3.8617794	0.0761
chr1_14066132_14114856	0.0205238	0	0.0012656323	3.4211879	0.0205
chr1_14114856_14139590	0.0808604	1	0.00064688283	3.6885962	0.0
chr1_14139590_14181195	0.0240356	0	0.0040219525	4.0054367	0.024
chr1_14181195_14262226	0.0246819	0	0.0014027553	3.5910558	0.0123
chr1_14262226_14299469	0.0537014	0	0.0015931405	3.7948648	0.0537
chr1_14299469_14325023	0.0782656	1	0.0030001826	4.1739961	0.0
chr1_14325023_14364916	0.0501341	0	0.00045120698	3.6764775	0.1755
chr1_14364916_14380313	0.129895	0	0.000995865	4.0403977	0.3247
chr1_14380313_14393794	0.148357	0	0.00034616621	4.4123113	0.0742
chr1_14393794_14406664	0.1554	0	0.0013209013	3.6124881	0.0
chr1_14406664_14466753	0.033284	1	0.0015643462	3.6556116	0.1331
chr1_14466753_14551306	0.0118269	0	0.0037175894	4.4709292	0.4731
chr1_144920682_145711946	0.0328588	26	0.013761105	4.5390219	0.7558
chr1_14551306_14603075	0.0193166	0	0.0091174255	4.6701917	0.2704
chr1_145711946_145879427	0.0417958	6	0.034704434	5.9006699	2.0838
chr1_145879427_145997002	0.127578	15	0.063304274	7.1101275	1.8031
chr1_145997002_146052270	0.054281	3	0.020403609	4.917463	1.8094
chr1_14603075_14668759	0.0152244	0	0.0034660902	4.2042583	0.3045
chr1_146052270_146349801	0.0302489	8	0.013515678	4.4037019	0.3932
chr1_146349801_147061959	0.0238711	17	0.0051145017	4.0878968	2.0108
chr1_14668759_14733452	0.0309152	1	0.0013448132	3.9529772	0.2164
chr1_147061959_147238135	0.0624376	10	0.013032422	4.5800238	4.9099
chr1_147238135_147437645	0.035086	5	0.0093595977	4.3616849	4.4509
chr1_14733452_14773226	0.0251421	0	0.0024639212	4.0332797	0.9805
chr1_147437645_147528010	0.0331987	3	0.0011545768	3.8302488	3.4527
chr1_147528010_147604909	0.0130041	1	0.010368579	5.6823689	2.4708
chr1_147604909_147692188	0.0572875	4	0.044634639	5.7191989	2.3259
chr1_147692188_147895411	0.0246035	5	0.0067085583	4.3257644	3.0508
chr1_14773226_14801973	0.0695725	1	0.0025857771	4.3522826	1.1479
chr1_147895411_148353326	0.0567791	25	0.0080851978	4.2200242	2.0593
chr1_14801973_14827510	0.0391589	0	0.0024800616	3.8702185	0.2741
chr1_14827510_14855657	0.0355278	0	0.0016816475	4.0445754	0.1066
chr1_148353326_149244435	0.0381547	33	0.01283831	4.6066117	1.2905
chr1_14855657_14866420	0.0929109	0	0.0012697823	3.7348759	0.3716
chr1_14866420_14888678	0.0449277	0	0.0026657082	4.1923005	0.4043
chr1_14888678_14946249	0.0173699	0	0.0061315593	4.6793945	0.9553
chr1_149244435_149643815	0.0325505	12	0.014136912	4.4325122	0.6886
chr1_14946249_14985000	0.0258058	0	0.006382631	4.246013	0.2323
chr1_149643815_149754082	0.0544134	5	0.001311967	3.8416373	1.4329
chr1_149754082_149843756	0.111515	10	0.01576451	4.5356123	1.3159
chr1_149843756_149909986	0.181187	10	0.043283507	5.0998328	1.2683
chr1_14985000_15021926	0.0270812	0	0.0045315857	4.1030261	0.4062
chr1_149909986_150026821	0.0342363	4	0.049611275	6.7815347	1.7803
chr1_150026821_150186607	0.0312919	5	0.018220203	5.36669	2.3531
chr1_150186607_150240354	0.0558171	3	0.016999398	4.948533	2.549
chr1_15021926_15046542	0.040624	0	0.011049724	4.0900324	0.6094
chr1_150240354_150554818	0.0508802	15	0.03582498	5.587631	3.2277
chr1_15046542_15099573	0.0188569	0	0.018140333	4.3607153	0.66
chr1_150554818_150642490	0.136874	11	0.033237522	5.8718029	2.2926
chr1_150642490_150977206	0.0478017	16	0.0275796	5.6093021	2.0614
chr1_150977206_151026938	0.0804311	4	0.045249202	6.2472817	3.0564
chr1_15099573_15123295	0.0843099	0	0.022637214	3.9669456	5.0164
chr1_151026938_151163379	0.0952793	11	0.046659973	6.2919605	2.7118
